original	polished	Count
Total count: 	545	
37,7 x 42,8 cm, lehti 44 x 49 cm.	37,7 x 42,8 cm, plate 44 x 49 cm.	6
37,7 x 42,7 cm, lehti 44 x 49 cm.	37,7 x 42,7 cm, plate 44 x 49 cm.	6
37,5 x 42,8 cm, lehti 44 x 50 cm.	37,5 x 42,8 cm, plate 44 x 50 cm.	6
48,2 x 32 cm, lehti 58 x 41 cm.	48,2 x 32 cm, plate 58 x 41 cm.	4
40 x 53,7 cm, lehti 45 x 60 cm.	40 x 53,7 cm, plate 45 x 60 cm.	3
48,2 x 32 cm, lehti 58 x 45 cm.	48,2 x 32 cm, plate 58 x 45 cm.	3
48,2 x 32 cm, lehti 58,2 x 41 cm.	48,2 x 32 cm, plate 58,2 x 41 cm.	3
42,2 x 32,3 cm, lehti 45,8 x 36,5 cm.	42,2 x 32,3 cm, plate 45,8 x 36,5 cm.	3
37,7 x 42,7 cm, lehti 45 x 50 cm.	37,7 x 42,7 cm, plate 45 x 50 cm.	3
37,5 x 42,8 cm, lehti 43 x 49 cm.	37,5 x 42,8 cm, plate 43 x 49 cm.	3
37,7 x 42,7 cm, lehti 43 x 48 cm.	37,7 x 42,7 cm, plate 43 x 48 cm.	3
61,5 x 92 cm, lehti 65,5 x 96 cm.	61,5 x 92 cm, plate 65,5 x 96 cm.	3
50,6 x 43 cm, lehti 58 x 50,3 cm.	50,6 x 43 cm, plate 58 x 50,3 cm.	2
51,4 x 43,1 cm, lehti 58,2 x 50,4 cm.	51,4 x 43,1 cm, plate 58,2 x 50,4 cm.	2
51 x 42,8 cm, lehti 58 x 50,3 cm.	51 x 42,8 cm, plate 58 x 50,3 cm.	2
lehti 88,7 x 58 cm.	plate 88,7 x 58 cm.	2
72,5 x 47,4 cm, lehti 83 x 58 cm.	72,5 x 47,4 cm, plate 83 x 58 cm.	2
50 x 33,8 cm, lehti 58,2 x 40,7 cm.	50 x 33,8 cm, plate 58,2 x 40,7 cm.	2
40,9 x 54,9 cm, lehti 45 x 60 cm.	40,9 x 54,9 cm, plate 45 x 60 cm.	2
41 x 55 cm, lehti 45 x 60 cm.	41 x 55 cm, plate 45 x 60 cm.	2
40,7 x 54,4 cm, lehti 45 x 60 cm.	40,7 x 54,4 cm, plate 45 x 60 cm.	2
41 x 55,5 cm, lehti 45 x 60 cm.	41 x 55,5 cm, plate 45 x 60 cm.	2
25,5 x 17 cm, lehti 29,3 x 23 cm.	25,5 x 17 cm, plate 29,3 x 23 cm.	2
25,5 x 17 cm, lehti 29,3 x 22,8 cm.	25,5 x 17 cm, plate 29,3 x 22,8 cm.	2
42,2 x 32,3 cm, lehti 46 x 36,8 cm.	42,2 x 32,3 cm, plate 46 x 36,8 cm.	2
42,2 x 32,3 cm, lehti 45,8 x 36,8 cm.	42,2 x 32,3 cm, plate 45,8 x 36,8 cm.	2
37,6 x 42,8 cm, lehti 44 x 50 cm.	37,6 x 42,8 cm, plate 44 x 50 cm.	2
37,7 x 43 cm, lehti 44 x 50 cm.	37,7 x 43 cm, plate 44 x 50 cm.	2
37,8 x 42,9 cm, lehti 44 x 49 cm.	37,8 x 42,9 cm, plate 44 x 49 cm.	2
37,7 x 42,9 cm, lehti 44 x 49 cm.	37,7 x 42,9 cm, plate 44 x 49 cm.	2
37,7 x 42,8 cm, lehti 45 x 50 cm.	37,7 x 42,8 cm, plate 45 x 50 cm.	2
37,7 x 42,8 cm, lehti 43 x 48 cm.	37,7 x 42,8 cm, plate 43 x 48 cm.	2
37,8 x 42,8 cm, lehti 43 x 48 cm.	37,8 x 42,8 cm, plate 43 x 48 cm.	2
37,8 x 43 cm, lehti 44 x 49 cm.	37,8 x 43 cm, plate 44 x 49 cm.	2
37,5 x 42,8 cm, lehti 44 x 49 cm.	37,5 x 42,8 cm, plate 44 x 49 cm.	2
37,7 x 42,8 cm, lehti 44 x 50 cm.	37,7 x 42,8 cm, plate 44 x 50 cm.	2
32 x 42 cm, lehti 35 x 45 cm.	32 x 42 cm, plate 35 x 45 cm.	2
46,7 x 41,5 cm, lehti 51,1 x 43,6 cm.	46,7 x 41,5 cm, plate 51,1 x 43,6 cm.	2
61,8 x 92 cm, lehti 65,5 x 96 cm.	61,8 x 92 cm, plate 65,5 x 96 cm.	2
62 x 93 cm, lehti 65,5 x 96 cm.	62 x 93 cm, plate 65,5 x 96 cm.	2
79,2 x 60,8 cm, lehti 85 x 65 cm.	79,2 x 60,8 cm, plate 85 x 65 cm.	1
50 x 49,3 cm, lehti 55 x 68 cm.	50 x 49,3 cm, plate 55 x 68 cm.	1
49,8 x 48,9 cm, lehti 53,5 x 53 cm.	49,8 x 48,9 cm, plate 53,5 x 53 cm.	1
56,8 x 48 cm, lehti 73,5 x 53,5 cm.	56,8 x 48 cm, plate 73,5 x 53,5 cm.	1
46,8 x 56,5 cm, lehti 55 x 65,5 cm.	46,8 x 56,5 cm, plate 55 x 65,5 cm.	1
69,2 x 101,7 cm, lehti 73,6 x 110,3 cm.	69,2 x 101,7 cm, plate 73,6 x 110,3 cm.	1
52,1 x 72,5 cm, lehti 57,8 x 77 cm.	52,1 x 72,5 cm, plate 57,8 x 77 cm.	1
97,7 x 67,4 cm, lehti 98,4 x 67,7 cm.	97,7 x 67,4 cm, plate 98,4 x 67,7 cm.	1
87,5 x 70,8 cm, lehti 97,8 x 73,8 cm.	87,5 x 70,8 cm, plate 97,8 x 73,8 cm.	1
72,5 x 109,5 cm, lehdet 75,5 x 64,5, 75,8 x 64 cm.	72,5 x 109,5 cm, plates 75,5 x 64,5, 75,8 x 64 cm.	1
65,5 x 99,3 cm, lehti 74 x 110 cm.	65,5 x 99,3 cm, plate 74 x 110 cm.	1
64,7 x 98,7 cm, lehti 67 x 100 cm.	64,7 x 98,7 cm, plate 67 x 100 cm.	1
66,3 x 98,8 cm, lehti 68,5 x 101,5 cm.	66,3 x 98,8 cm, plate 68,5 x 101,5 cm.	1
62,8 x 93,8 cm, lehti 65,5 x 96 cm.	62,8 x 93,8 cm, plate 65,5 x 96 cm.	1
68,3 x 103 cm, lehti 72,5 x 109,5 cm.	68,3 x 103 cm, plate 72,5 x 109,5 cm.	1
74 x 97,7 cm, lehti 68 x 101,5 cm.	74 x 97,7 cm, plate 68 x 101,5 cm.	1
65,5 x 100,2 cm, lehti 67,7 x 102,2 cm.	65,5 x 100,2 cm, plate 67,7 x 102,2 cm.	1
64,2 x 98,5 cm, lehti 67,5 x 100 cm.	64,2 x 98,5 cm, plate 67,5 x 100 cm.	1
43,4 x 64 cm, lehti 46 x 66 cm.	43,4 x 64 cm, plate 46 x 66 cm.	1
43 x 61,6 cm, lehti 45,8 x 64,3 cm.	43 x 61,6 cm, plate 45,8 x 64,3 cm.	1
51,3 x 68,3 cm, lehti 57,5 x 77 cm.	51,3 x 68,3 cm, plate 57,5 x 77 cm.	1
72 x 51 cm, lehti 77 x 57,7 cm.	72 x 51 cm, plate 77 x 57,7 cm.	1
52,7 x 71,5 cm, lehti 57,5 x 77,2 cm.	52,7 x 71,5 cm, plate 57,5 x 77,2 cm.	1
51,5 x 67,5 cm, lehti 59,5 x 77 cm.	51,5 x 67,5 cm, plate 59,5 x 77 cm.	1
52,7 x 68,7 cm, lehti 57,3 x 77 cm.	52,7 x 68,7 cm, plate 57,3 x 77 cm.	1
51,5 x 68,7 cm, lehti 57 x 76,7 cm.	51,5 x 68,7 cm, plate 57 x 76,7 cm.	1
51,5 x 43,3 cm, lehti 64,5 x 50 cm.	51,5 x 43,3 cm, plate 64,5 x 50 cm.	1
49,5 x 69,1 cm, lehti 51,2 x 70,5 cm.	49,5 x 69,1 cm, plate 51,2 x 70,5 cm.	1
42,2 x 60,8 cm, lehti 46,7 x 65,5 cm, kansi 25 x 18 cm.	42,2 x 60,8 cm, plate 46,7 x 65,5 cm, kansi 25 x 18 cm.	1
30,8 x 34,2 cm, lehti 37,3 x 41,7 cm.	30,8 x 34,2 cm, plate 37,3 x 41,7 cm.	1
23,2 x 33,2 cm, lehti 28 x 37,5 cm.	23,2 x 33,2 cm, plate 28 x 37,5 cm.	1
23,4 x 33,4 cm, lehti 33 x 43,5 cm.	23,4 x 33,4 cm, plate 33 x 43,5 cm.	1
46,8 x 63,8 cm, lehti 54 x 70 cm.	46,8 x 63,8 cm, plate 54 x 70 cm.	1
74,3 x 58 cm, lehti 83 x 62 cm.	74,3 x 58 cm, plate 83 x 62 cm.	1
73,5 x 57,7 cm, lehti 80,5 x 63 cm.	73,5 x 57,7 cm, plate 80,5 x 63 cm.	1
52,8 x 70,3 cm, lehti 57,5 x 77 cm.	52,8 x 70,3 cm, plate 57,5 x 77 cm.	1
n. 136 x 158 cm, lehdet n. 34 x 52,5 cm.	n. 136 x 158 cm, plates n. 34 x 52,5 cm.	1
lehti 46,3 x 37,8 cm.	plate 46,3 x 37,8 cm.	1
19,5 x 53,3 cm, lehti 22,5 x 55,5 cm.	19,5 x 53,3 cm, plate 22,5 x 55,5 cm.	1
40,5 x 41,4 cm, lehti 47,1 x 48 cm.	40,5 x 41,4 cm, plate 47,1 x 48 cm.	1
40,4 x 41,4 cm, lehti 48,3 x 49,5 cm.	40,4 x 41,4 cm, plate 48,3 x 49,5 cm.	1
35,5 x 87,5 cm, lehti 43 x 95 cm.	35,5 x 87,5 cm, plate 43 x 95 cm.	1
lehti 44,1 x 51 cm, kansi 16 x 11 cm.	plate 44,1 x 51 cm, kansi 16 x 11 cm.	1
44,4 x 49,4 cm, lehti 51 x 66,5 cm.	44,4 x 49,4 cm, plate 51 x 66,5 cm.	1
51,4 x 42,7 cm, lehti 58 x 50,3 cm.	51,4 x 42,7 cm, plate 58 x 50,3 cm.	1
50,8 x 42,8 cm, lehti 58 x 50,4 cm.	50,8 x 42,8 cm, plate 58 x 50,4 cm.	1
50,4 x 43,1 cm, lehti 58 x 50,6 cm.	50,4 x 43,1 cm, plate 58 x 50,6 cm.	1
50,8 x 42,9 cm, lehti 58 x 50,3 cm.	50,8 x 42,9 cm, plate 58 x 50,3 cm.	1
51,2 x 42,7 cm, lehti 58 x 50,2 cm.	51,2 x 42,7 cm, plate 58 x 50,2 cm.	1
51,1 x 43 cm, lehti 58 x 50,3 cm.	51,1 x 43 cm, plate 58 x 50,3 cm.	1
51,3 x 43 cm, lehti 58 x 51 cm.	51,3 x 43 cm, plate 58 x 51 cm.	1
51,3 x 43,1 cm, lehti 58 x 50,2 cm.	51,3 x 43,1 cm, plate 58 x 50,2 cm.	1
51,3 x 42,8 cm, lehti 58 x 50,3 cm.	51,3 x 42,8 cm, plate 58 x 50,3 cm.	1
51,1 x 42,8 cm, lehti 58 x 50,4 cm.	51,1 x 42,8 cm, plate 58 x 50,4 cm.	1
51,3 x 43,1 cm, lehti 58 x 50,4 cm.	51,3 x 43,1 cm, plate 58 x 50,4 cm.	1
51,5 x 42,9 cm, lehti 58,2 x 50,4 cm.	51,5 x 42,9 cm, plate 58,2 x 50,4 cm.	1
51 x 42,9 cm, lehti 58,2 x 50,4 cm.	51 x 42,9 cm, plate 58,2 x 50,4 cm.	1
51,5 x 43 cm, lehti 58 x 50,3 cm.	51,5 x 43 cm, plate 58 x 50,3 cm.	1
51,5 x 43,1 cm, lehti 58 x 50,4 cm.	51,5 x 43,1 cm, plate 58 x 50,4 cm.	1
51,5 x 43,2 cm, lehti 58 x 50,4 cm.	51,5 x 43,2 cm, plate 58 x 50,4 cm.	1
51,6 x 42,9 cm, lehti 58 x 50,3 cm.	51,6 x 42,9 cm, plate 58 x 50,3 cm.	1
51,4 x 42,9 cm, lehti 58,2 x 50,5 cm.	51,4 x 42,9 cm, plate 58,2 x 50,5 cm.	1
51,1 x 43 cm, lehti 58 x 50,4 cm.	51,1 x 43 cm, plate 58 x 50,4 cm.	1
51,3 x 43,1 cm, lehti 58 x 50,3 cm.	51,3 x 43,1 cm, plate 58 x 50,3 cm.	1
51,4 x 43,1 cm, lehti 58 x 50,4 cm.	51,4 x 43,1 cm, plate 58 x 50,4 cm.	1
51 x 43 cm, lehti 58 x 50,4 cm.	51 x 43 cm, plate 58 x 50,4 cm.	1
51 x 42,9 cm, lehti 58 x 50,3 cm.	51 x 42,9 cm, plate 58 x 50,3 cm.	1
51 x 43,1 cm, lehti 58 x 50,3 cm.	51 x 43,1 cm, plate 58 x 50,3 cm.	1
50,6 x 43,1 cm, lehti 58 x 50,2 cm.	50,6 x 43,1 cm, plate 58 x 50,2 cm.	1
n. 51,3 x 42,6 cm, lehti 58 x 51 cm +	n. 51,3 x 42,6 cm, plate 58 x 51 cm +	1
