original	polished	count
NA	[4] s.	3948
NA	16 s.	1705
NA	[1] s.	1703
NA	[8] s.	1619
NA	[2] s.	1214
NA	8 s.	1159
NA	32 s.	971
NA	24 s.	852
NA	1 kartta	785
NA	15 s.	699
NA	[16] s.	691
NA	12 s.	659
NA	[?] s.	613
NA	4 s.	606
NA	[3] s.	531
NA	20 s.	527
NA	48 s.	476
NA	14 s.	475
NA	31 s.	452
NA	1 lehti (verso tyhjä)	443
NA	40 s.	420
NA	23 s.	406
NA	36 s.	401
NA	64 s.	400
NA	7 s.	368
NA	22 s.	363
NA	30 s.	345
NA	10 s.	342
NA	11 s.	314
NA	28 s.	312
NA	18 s.	304
NA	[12] s.	299
NA	1 lehti	294
NA	19 s.	283
NA	39 s.	255
NA	29 s.	247
NA	80 s.	239
NA	96 s.	238
NA	[24] s.	236
NA	47 s.	233
NA	27 s.	228
NA	26 s.	227
NA	35 s.	225
NA	52 s.	223
NA	21 s.	222
NA	13 s.	221
NA	[20] s.	215
NA	34 s.	212
NA	56 s.	208
NA	38 s.	205
NA	44 s.	202
NA	46 s.	201
NA	6 s.	199
NA	72 s.	187
NA	[6] s.	184
NA	63 s.	174
NA	60 s.	171
NA	25 s.	171
NA	42 s.	170
NA	[32] s.	165
NA	2 s.	164
NA	17 s.	160
NA	[48] s.	160
NA	54 s.	153
NA	37 s.	150
NA	43 s.	149
NA	45 s.	149
NA	55 s.	147
NA	62 s.	145
NA	50 s.	140
NA	128 s.	139
NA	68 s.	138
NA	[1] lehti	137
NA	112 s.	136
NA	51 s.	133
NA	95 s.	131
NA	3 s.	130
NA	104 s.	124
NA	100 s.	123
NA	59 s.	123
NA	41 s.	121
NA	160 s.	120
NA	76 s.	118
NA	33 s.	118
NA	9 s.	117
NA	84 s.	116
NA	70 s.	115
NA	79 s.	107
NA	88 s.	107
NA	132 s.	106
NA	78 s.	105
NA	92 s.	105
NA	[28] s.	105
NA	120 s.	104
NA	58 s.	103
NA	66 s.	102
NA	61 s.	101
NA	83 s.	96
NA	108 s.	95
NA	94 s.	94
NA	124 s.	94
NA	144 s.	94
NA	75 s.	93
NA	87 s.	92
NA	136 s.	91
NA	74 s.	91
NA	111 s.	91
NA	67 s.	90
NA	102 s.	84
NA	86 s.	83
NA	71 s.	83
NA	[2], 16 s.	82
NA	49 s.	82
NA	[40] s.	82
NA	110 s.	81
NA	4 lehteä	81
NA	103 s.	81
NA	90 s.	81
NA	119 s.	78
NA	82 s.	77
NA	143 s.	77
NA	15, [1] s.	77
NA	116 s.	76
NA	53 s.	76
NA	5 s.	75
NA	176 s.	74
NA	57 s.	74
NA	152 s.	73
NA	192 s.	73
NA	98 s.	73
NA	114 s.	71
NA	77 s.	70
NA	[4] s. (s. [4] tyhjä)	70
NA	126 s.	69
NA	69 s.	69
NA	81 s.	67
NA	180 s.	64
NA	91 s.	64
NA	127 s.	63
NA	[10] s.	62
NA	[36] s.	62
NA	31, [1] s.	61
NA	134 s.	61
NA	118 s.	61
NA	106 s.	61
NA	156 s.	60
NA	168 s.	60
NA	117 s.	60
NA	109 s.	60
NA	2 lehteä	58
NA	164 s.	57
NA	122 s.	57
NA	107 s.	57
NA	101 s.	57
NA	93 s.	57
NA	148 s.	56
NA	99 s.	56
NA	85 s.	55
NA	[96] s.	55
NA	[2], 12 s.	54
NA	115 s.	54
NA	140 s.	53
NA	224 s.	53
NA	154 s.	53
NA	184 s.	52
NA	130 s.	52
NA	123 s.	52
NA	[8] s. (s. [8] tyhjä)	51
NA	200 s.	50
NA	150 s.	50
NA	135 s.	50
NA	73 s.	50
NA	[18] s.	50
NA	[14] s.	49
NA	65 s.	48
NA	138 s.	47
NA	125 s.	47
NA	89 s.	47
NA	105 s.	46
NA	172 s.	45
NA	159 s.	45
NA	163 s.	45
NA	131 s.	44
NA	[2], 14 s.	43
NA	139 s.	43
NA	167 s.	43
NA	216 s.	42
NA	97 s.	42
NA	[2], [1] 2-16 s.	42
NA	[2], 18 s.	42
NA	[22] s.	42
NA	173 s.	41
NA	175 s.	41
NA	151 s.	41
NA	[4] s. (s. [2] tyhjä)	41
NA	166 s.	39
NA	256 s.	39
NA	208 s.	39
NA	162 s.	39
NA	212 s.	37
NA	158 s.	37
NA	113 s.	37
NA	121 s.	37
NA	[2], 10 s.	37
NA	196 s.	36
NA	188 s.	36
NA	204 s.	36
NA	[4], 16 s.	36
NA	[4?] s.	36
NA	7, [1] s.	35
NA	178 s.	35
NA	141 s.	35
NA	1 arkki	35
NA	182 s.	34
NA	146 s.	34
NA	142 s.	34
NA	157 s.	34
NA	[26] s.	34
NA	19, [1] s.	33
NA	155 s.	33
NA	[2], [1] 2-12 s.	33
NA	[64] s.	33
NA	198 s.	32
NA	190 s.	32
NA	147 s.	32
NA	[8] s. (s. [2] tyhjä)	32
NA	170 s.	31
NA	187 s.	31
NA	[2], [1] 2-20 s.	31
NA	[2], [1] 2-8 s.	31
