original	from	till	count
1916.	1916	1916	1947
1912.	1912	1912	1888
1917.	1917	1917	1880
1908.	1908	1908	1772
1915.	1915	1915	1744
1913.	1913	1913	1731
1907.	1907	1907	1643
1910.	1910	1910	1635
1906.	1906	1906	1632
1909.	1909	1909	1616
1911.	1911	1911	1566
1914.	1914	1914	1542
1903.	1903	1903	1243
1905.	1905	1905	1235
1904.	1904	1904	1167
1899.	1899	1899	1127
1901.	1901	1901	1108
1902.	1902	1902	1095
1900.	1900	1900	1062
1898.	1898	1898	900
1897.	1897	1897	809
1892.	1892	1892	800
1896.	1896	1896	787
1891.	1891	1891	762
1895.	1895	1895	757
1893.	1893	1893	742
1894.	1894	1894	723
1890.	1890	1890	591
1889.	1889	1889	564
1887.	1887	1887	508
1886.	1886	1886	484
1888.	1888	1888	476
[s.a.]	NA	NA	414
1884.	1884	1884	304
1885.	1885	1885	266
[1808]	1808	1808	257
[1807]	1807	1807	251
[1790]	1790	1790	250
1883.	1883	1883	248
1879.	1879	1879	246
1880.	1880	1880	242
1878.	1878	1878	234
1881.	1881	1881	231
[1806]	1806	1806	229
[1789]	1789	1789	227
[1791]	1791	1791	226
[1809]	1809	1809	218
[1788]	1788	1788	215
1876.	1876	1876	208
1882.	1882	1882	204
[1792]	1792	1792	202
[1786]	1786	1786	196
[1801]	1801	1801	189
[1802]	1802	1802	189
[1787]	1787	1787	186
1877.	1877	1877	176
[1798]	1798	1798	171
[1803]	1803	1803	170
[1775]	1775	1775	169
[1785]	1785	1785	168
[1797]	1797	1797	165
[1800]	1800	1800	165
[1772]	1772	1772	163
[1799]	1799	1799	162
1875.	1875	1875	157
[1697]	1697	1697	156
[1778]	1778	1778	155
[1784]	1784	1784	146
[1777]	1777	1777	136
[1796]	1796	1796	135
[1795]	1795	1795	129
[1776]	1776	1776	128
1913	1913	1913	123
[1694]	1694	1694	123
[1774]	1774	1774	123
[1773]	1773	1773	122
1872.	1872	1872	120
[1771]	1771	1771	120
1912	1912	1912	119
1874.	1874	1874	118
[1908]	1908	1908	118
[1748]	1748	1748	117
1855.	1855	1855	116
[1766]	1766	1766	116
1873.	1873	1873	115
[1741]	1741	1741	115
[1695]	1695	1695	113
[1762]	1762	1762	112
[1693]	1693	1693	111
[1782]	1782	1782	108
[1688]	1688	1688	107
[1780]	1780	1780	106
[1690]	1690	1690	104
[1760]	1760	1760	104
1871.	1871	1871	103
[1751]	1751	1751	103
[1745]	1745	1745	102
[1805]	1805	1805	101
[1779]	1779	1779	98
[1712]	1712	1712	98
[1679]	1679	1679	97
[1685]	1685	1685	97
1862.	1862	1862	96
1870.	1870	1870	96
[1735]	1735	1735	96
[1757]	1757	1757	93
1908	1908	1908	91
[1691]	1691	1691	91
[1692]	1692	1692	90
[1781]	1781	1781	89
[1709]	1709	1709	89
1910	1910	1910	88
[1907]	1907	1907	88
[1754]	1754	1754	88
[1700]	1700	1700	88
1907	1907	1907	87
1869.	1869	1869	87
[1744]	1744	1744	87
[1732]	1732	1732	86
[1763]	1763	1763	86
[1698]	1698	1698	86
[1783]	1783	1783	85
[1753]	1753	1753	85
[1707]	1707	1707	84
[1752]	1752	1752	84
1863.	1863	1863	83
[1708]	1708	1708	83
[1909]	1909	1909	82
1917	1917	1917	81
1915	1915	1915	81
[1687]	1687	1687	81
[1680]	1680	1680	81
[1689]	1689	1689	79
[1737]	1737	1737	79
1909	1909	1909	78
1866.	1866	1866	78
[1730]	1730	1730	78
1861.	1861	1861	77
1864.	1864	1864	77
1906	1906	1906	77
[1769]	1769	1769	77
1856.	1856	1856	76
1914	1914	1914	76
[1664]	1664	1664	76
1899	1899	1899	75
[1804]	1804	1804	75
[1682]	1682	1682	75
[1738]	1738	1738	75
[1764]	1764	1764	75
[1793]	1793	1793	75
[1913]	1913	1913	74
[1696]	1696	1696	74
[1912]	1912	1912	73
[1703]	1703	1703	73
[1699]	1699	1699	72
[1759]	1759	1759	72
[1914]	1914	1914	71
1905	1905	1905	70
[1729]	1729	1729	70
[1655]	1655	1655	70
[1765]	1765	1765	70
[1917]	1917	1917	69
1911	1911	1911	67
[1686]	1686	1686	67
[1656]	1656	1656	67
1868.	1868	1868	66
1857.	1857	1857	66
1808.	1808	1808	66
[1740]	1740	1740	66
[1767]	1767	1767	66
