publication_frequency_text publication_frequency_annual n
Annual 1 270
Monthly 12 200
Weekly 52 188
Two per Week 104 72
Irregular NA 67
Every two Weeks 24 66
Three per Week 156 52
Two per Year 2 41
Six per Week 312 30
Every two Years 0.67 23
Every two Months 6 19
Every two Years 0.5 16
Every two Weeks 26 15
Every four Months 3 14
Every three Months 4 14
Daily 365 10
Annual 1.33 9
Two per Year 1.5 6
Every two Years 0.6 5
Annual 0.83 5
Every four Months 2.5 5
Five per Year 5 5
Annual 0.8 3
Annual 1.14 3
Two per Year 1.67 3
Eight per Year 8 3
Three per Month 36 3
Every four Years 0.23 2
Every four Years 0.29 2
Every three Years 0.31 2
Every three Years 0.33 2
Every three Years 0.35 2
Every three Years 0.38 2
Every three Years 0.4 2
Every two Years 0.56 2
Every two Years 0.62 2
Annual 0.75 2
Annual 0.88 2
Annual 0.94 2
Annual 1.1 2
Annual 1.25 2
Every three Months 3.5 2
Every three Weeks 18 2
Four per Week 208 2
Every five Years 0.2 1
Every four Years 0.24 1
Every four Years 0.25 1
Every four Years 0.27 1
Every three Years 0.3 1
Every two Years 0.43 1
Every two Years 0.44 1
Every two Years 0.46 1
Every two Years 0.57 1
Every two Years 0.64 1
Every two Years 0.7 1
Every two Years 0.74 1
Annual 0.86 1
Annual 0.91 1
Annual 0.92 1
Annual 1.07 1
Annual 1.11 1
Annual 1.2 1
Two per Year 2.08 1
Two per Year 2.14 1
Two per Year 2.33 1
Two per Year 2.4 1
Every four Months 2.57 1
Every four Months 2.67 1
Every four Months 2.73 1
Every four Months 3.2 1
Every three Months 3.67 1
Every three Months 4.33 1
Seven per Year 7 1
Eight per Year 8.2 1
Nine per Year 8.5 1
Nine per Year 9 1
Every three Weeks 15 1
Every three Weeks 17 1
Single NA 1
