Name	Count
Total count: 	1220
Annual	300
Monthly	200
Weekly	188
Twice per Week	 72
Irregular	 68
Twice per Month	 66
Every six Months	 59
Three per Week	 52
Six per Week	 30
0.666666666666667	 23
Every two months	 19
Every four Months	 18
Every three Months	 18
Every two Years	 17
Every three Years	 16
Every two Weeks	 15
Daily	 10
1.33333333333333	  9
0.6	  5
Eight per Year	  5
Five per Year	  5
Every three Weeks	  4
Three per Month	  3
0.230769230769231	  2
0.5625	  2
0.625	  2
Four per Week	  2
0.2	  1
0.235294117647059	  1
0.565217391304348	  1
0.636363636363636	  1
0.7	  1
0.739130434782609	  1
Every four Years	  1
Nine per Year	  1
Seven per Year	  1
Single	  1
