original	publication_interval_from	publication_interval_till	Count
Total count: 	2027		
1910.	1910	1910	25
1902.	1902	1902	24
1913.	1913	1913	23
1901.	1901	1901	21
1914.	1914	1914	21
1909.	1909	1909	18
1908.	1908	1908	18
1911.	1911	1911	17
1904.	1904	1904	16
1912.	1912	1912	15
1915.	1915	1915	15
1903.	1903	1903	14
1910-1914.	1910	1914	14
1916.	1916	1916	13
1899.	1899	1899	11
1912-1913.	1912	1913	11
1900.	1900	1900	11
1906.	1906	1906	11
1905.	1905	1905	10
1911-1914.	1911	1914	10
1912-1914.	1912	1914	10
1911-1913.	1911	1913	10
1908-1914.	1908	1914	10
1913-1914.	1913	1914	10
1887.	1887	1887	 9
1908-1909.	1908	1909	 9
1907.	1907	1907	 9
1894.	1894	1894	 8
1917.	1917	1917	 8
1889.	1889	1889	 7
1884-1885.	1884	1885	 7
1895.	1895	1895	 7
1898.	1898	1898	 7
1910-1915.	1910	1915	 7
1879.	1879	1879	 6
1884.	1884	1884	 6
1897-1906.	1897	1906	 6
1905-1914.	1905	1914	 6
1891.	1891	1891	 6
1893.	1893	1893	 6
1912-1915.	1912	1915	 6
1909-1914.	1909	1914	 6
1914-1915.	1914	1915	 6
1915-1916.	1915	1916	 6
1892.	1892	1892	 5
1906-1909.	1906	1909	 5
1910-1913.	1910	1913	 5
1907-1914.	1907	1914	 5
1901, 0.	1901	1901	 4
1892-1895.	1892	1895	 4
1897.	1897	1897	 4
1904-1905.	1904	1905	 4
1902-1905.	1902	1905	 4
1901-1902.	1901	1902	 4
1903-1905.	1903	1905	 4
1899-1905.	1899	1905	 4
1905-1913.	1905	1913	 4
1906-1912.	1906	1912	 4
1910-1911.	1910	1911	 4
1914-1916.	1914	1916	 4
1903-1911.	1903	1911	 4
1913-1916.	1913	1916	 4
1913-1915.	1913	1915	 4
1911-1912.	1911	1912	 4
1907-1908.	1907	1908	 4
1900, 0.	1900	1900	 4
1889, 1-1890, 12.	1890	1890	 4
1908-1916.	1908	1916	 4
[1901]	1901	1901	 3
[1900].	1900	1900	 3
1902, 0.	1902	1902	 3
1891-1895.	1891	1895	 3
1903-1904.	1903	1904	 3
