publication_interval	publication_time	publication_frequency	Count
Total count: 	596		
N:o 1.	1906-1906.	NA	11
1.	1907-1907.	NA	 7
1.	1917-1917.	NA	 7
1.	1915-1915.	NA	 6
N:o 1.	1917-1917.	NA	 6
1.	1901-1901.	NA	 5
N:o 1.	1910-1910.	NA	 5
1.	1890-1890.	NA	 4
1-2.	1898-1899.	NA	 4
N:o 1.	1908-1908.	NA	 4
1.	1906-1906.	NA	 4
N:o 1.	1915-1915.	NA	 4
N:o 1.	1912-1912.	NA	 4
N:o 1.	1916-1916.	NA	 4
1.	1916-1916.	NA	 4
1-2.	1900-1900.	NA	 3
1-2.	1896-1897.	NA	 3
N:o 1-n:o 2.	1908-1908.	NA	 3
N:o 1.	1909-1909.	NA	 3
1.	1914-1914.	NA	 3
1-3.	1913-1915.	NA	 3
N:o 1-n:o 7.	1914-1915.	NA	 3
1.	1913-1913.	NA	 3
1.	1908-1908.	NA	 3
1-2.	1906-1906.	NA	 3
2.	1917-1917.	NA	 3
1-2.	1917-1917.	NA	 3
Häft 1.	1895-1895.	NA	 2
1-6.	1895-1895.	NA	 2
1-2.	1910-1911.	NA	 2
1.	1903-1903.	NA	 2
N:o 1-n:o 3.	1909-1910.	NA	 2
N:o 1-n:o 2.	1909-1910.	NA	 2
1-2.	1909-1909.	NA	 2
1-2.	1908-1908.	NA	 2
1.	1912-1912.	NA	 2
N:o 1-n:o 2.	1906-1906.	NA	 2
N:o 1-n:o 4.	1912-1912.	NA	 2
1.	1911-1911.	NA	 2
1-4.	1910-1914.	NA	 2
1-2.	1912-1914.	NA	 2
N:o 1-n:o 2.	1911-1913.	NA	 2
1-2.	1911-1913.	NA	 2
1-7.	1909-1915.	NA	 2
1-2.	1913-1915.	NA	 2
N:o 1.	1913-1913.	NA	 2
1-3.	1906-1906.	NA	 2
N:o 1.	1907-1907.	NA	 2
1-2.	1910-1910.	NA	 2
1-2.	1914-1916.	NA	 2
N:o 9-n:o 40.	1896-1908.	NA	 1
N:o 1-n:o 8	1895-1896.	NA	 1
No. 1-no. 15.	1900-1902.	NA	 1
[1]-3 .	1901-1903.	Kerran vuodessa.	 1
1.	1905.	NA	 1
1. sarja, n:o 1-10.	1902-1904.	NA	 1
1-16.	1867-1880.	NA	 1
1-11.	1811-1845.	NA	 1
[1]-4.	1909-1912.	Kerran vuodessa	 1
1-5.	1882-1887.	NA	 1
1.	1886-1886.	NA	 1
1.	1896-1896.	NA	 1
1-3.	1896-1898.	NA	 1
1.	1893-1893.	NA	 1
1.	1892-1892.	NA	 1
N:o 1-N:o 5.	1893-1899.	NA	 1
1-6.	1891-1892.	NA	 1
N:o 1-N:o 68.	1896-1900.	NA	 1
1-4.	1899-1900.	NA	 1
1.	1897-1897.	NA	 1
1-2.	1899-1899.	NA	 1
2-3.	1886-1886.	NA	 1
3-4.	1887-1889.	NA	 1
1.	1891-1891.	NA	 1
Häft 1-Häft 2.	1891-1895.	NA	 1
Häft 1-Häft 2.	1891-1891.	NA	 1
N:o 1-N:o 6.	1891-1893.	Epäsäännöllinen.	 1
N:o 1-N:o 2.	1895-1895.	NA	 1
N:o 1-N:o 9.	1892-1894.	NA	 1
27-42.	1885-1900.	Kerran vuodessa.	 1
1-2.	1890-1891.	NA	 1
1-4.	1887-1890.	NA	 1
1-3.	1887-1887.	NA	 1
N:o 21-N:o 44.	1886-1888.	NA	 1
Häft 13-Häft 37.	1886-1887.	Epäsäännöllinen.	 1
1.	1890-1890.	Epäsäännöllinen.	 1
N:o 1.	1887-1887.	NA	 1
4-5.	1887-1889.	NA	 1
1-2.	1899-1905.	NA	 1
4-6.	1886-1893.	NA	 1
4-5.	1888-1891.	NA	 1
1-5.	1890-1891.	NA	 1
Häft 155/169-Häft 310/314.	1901-1903.	Epäsäännöllinen.	 1
N:o 1-N:o 3.	1902-1903.	NA	 1
1-2.	1901-1901.	NA	 1
N:o 4.	1904-1904.	NA	 1
3.	1902-1902.	NA	 1
1-3.	1903-1904.	Epäsäännöllinen.	 1
N:o 1-N:o 4.	1902-1902.	NA	 1
[1]-5.	1903-1903.	Epäsäännöllinen.	 1
N:o 2-N:o 4.	1905-1906.	NA	 1
Band 1.	1904-1904.	NA	 1
1-13.	1903-1905.	Epäsäännöllinen.	 1
1-8.	1903-1904.	Epäsäännöllinen.	 1
[1]-2.	1903-1906.	NA	 1
1.	1905-1905.	NA	 1
1-11.	1901-1903.	Epäsäännöllinen.	 1
1-4.	1904-1905.	Epäsäännöllinen.	 1
1-2.	1902-1903.	NA	 1
1-2.	1901-1902.	NA	 1
N:o 1.	1905-1905.	NA	 1
1-3.	1899-1901.	Epäsäännöllinen.	 1
1-16.	1903-1914.	Epäsäännöllinen.	 1
N:o 1-N:o 42.	1898-1899.	NA	 1
1-5.	1898-1899.	Epäsäännöllinen.	 1
N:o 1-N:o 5.	1899-1899.	NA	 1
Häft 1-Häft 5.	1895-1898.	NA	 1
Serie 1:1-Serie 2:6.	1898-1899.	NA	 1
N:o 1.	[1899-1899?]	NA	 1
N:o 1-n:o 3.	1900-1900.	NA	 1
1-37; ny följd, häft 1-ny följd, häft 6.	1866-1900.	Epäsäännöllinen.	 1
N:o 1-n:o 2.	1900-1900.	Epäsäännöllinen.	 1
1-6.	1888-1903.	NA	 1
N:o 1-30.	1895-1896.	NA	 1
1-79:2.	1888-1900.	Epäsäännöllinen.	 1
1-9.	1899-1904.	Epäsäännöllinen.	 1
1-49 a.	1888-1903.	Epäsäännöllinen.	 1
1-4.	1899-1900.	Epäsäännöllinen.	 1
1-2.	1899-1900.	Epäsäännöllinen.	 1
N:o 1-n:o 6.	1899-1900.	Epäsäännöllinen.	 1
1-16.	1898-1902.	Epäsäännöllinen.	 1
N:o 7-n:o 18.	1899-1899.	NA	 1
1.	1898-1898.	NA	 1
1.	1899-1899.	NA	 1
N:o 163-n:o 170.	1887-1897.	Epäsäännöllinen.	 1
1-4.	1898-1903.	Epäsäännöllinen.	 1
1-4.	1895-1903.	NA	 1
1-6.	1896-1904.	NA	 1
1-2.	1896-1896.	NA	 1
Häft 1-häft 6.	1907-1908.	NA	 1
1-19.	1890-1912.	NA	 1
61 s.	1897.	NA	 1
1-13.	1889-1911.	NA	 1
1-5.	1908-1915.	NA	 1
1. årg.-3. årg.	[1910]-1912.	NA	 1
1-2.	1914.	NA	 1
[N:o 1]-n:o 12.	1909-1915.	NA	 1
Häft 49-häft 137.	1886-1906.	NA	 1
N:o 6.	1913-1913.	NA	 1
1-2.	1908-1910.	NA	 1
N:o 5-n:o 9.	1907-1907.	NA	 1
[N:o 1]-n:o 2.	1907-1908.	NA	 1
N:o 5.	1907-1907.	NA	 1
Årg. [1]-Årg. 3.	1904-1912.	NA	 1
N:o 1-n:o 6.	1906-1911.	NA	 1
N:o 1-n:o 15.	1909-1910.	NA	 1
1-5 ; Band 2, häft 1-Band 7, häft 5.	1897-1912.	NA	 1
1 årg.	1906-1906.	NA	 1
1-3.	1911-1913.	NA	 1
Heft 1-Heft 14.	1901-1914.	NA	 1
1. årg.	1910-1910.	NA	 1
6-8.	1913-1915.	NA	 1
1. årg, 1-10 årg., 56.	1905-1915.	NA	 1
2-7.	1904-1915.	NA	 1
2-4.	1910-1911.	NA	 1
1-11.	1905-1914.	NA	 1
5-6.	1906-1907.	NA	 1
3-18.	1899-1915.	NA	 1
1-4.	1874-1879.	NA	 1
H. 1-14(1-3 ; N.S. 1-11)	1848-1875.	NA	 1
1-2.	1883-1883.	NA	 1
2 vihko-3 vihko.	1880-1881.	NA	 1
6-8.	1883-1883.	NA	 1
1-4.	1888-1890.	NA	 1
1.	1887-1887.	NA	 1
N:o 1-n:o 2.	1906.	NA	 1
N:o 1-n:o 3.	1908-1913.	NA	 1
1-6.	1909-1909.	NA	 1
N:o 2.	[1914-1914]	NA	 1
1-7.	1912-1914.	NA	 1
N:o 1-n:o 6.	1908-1910.	NA	 1
[N:o 1]-n:o 3.	1909-1912.	NA	 1
7-13.	1908-1915.	NA	 1
Vol. 1-Vol. 19.	1886-1900.	Kerran vuodessa.	 1
1.	1914.	NA	 1
N:o 1-n:o 2.	1912-1912.	NA	 1
[N:o 1]-n:o 5a.	1911-1915.	NA	 1
1 vihko-5 vihko.	1885-1893.	NA	 1
1 vihko-3 vihko.	1894-1895.	NA	 1
1 vihko-7 vihko.	1892-1895.	NA	 1
1-10.	1885-1893.	NA	 1
1-2.	1894-1895.	NA	 1
1-30.	1885-1895.	NA	 1
6-20.	1881-1894.	NA	 1
N:o 1-n:o 2.	1895-1895.	NA	 1
1-4.	1910-1912.	NA	 1
2.	1916.	NA	 1
1-2.	1897-1898.	NA	 1
1-5.	1898-1900.	NA	 1
5-6.	1912-1917.	NA	 1
1-10.	1894-1904.	NA	 1
1-5.	1899-1903.	Kerran vuodessa	 1
1 vihko-4 vihko.	1904-1906.	NA	 1
1-4.	1904-1905.	NA	 1
1-3.	1916-1916.	NA	 1
1-4.	1902-1907.	NA	 1
1-2.	1901-1904.	NA	 1
9-10.	1898-1902.	NA	 1
1-3.	1901-1901.	NA	 1
4-7.	1912-1916.	NA	 1
1-4.	1901-1903.	NA	 1
1-4.	1903-1905.	NA	 1
1-4.	1905-1905.	NA	 1
[1] ; 2 wsk.-6. wsk. ; 7-8.	1892-1899.	Kerran vuodessa	 1
2-3.	1897-1899.	NA	 1
1-4.	1897-1898.	NA	 1
N:o 1-n:o 9.	1906-[1913]	NA	 1
1-3.	1899-1899.	NA	 1
N:o 1-2.	1911-1912.	NA	 1
1-7.	1899-1905.	NA	 1
N:o 17-n:o 34.	1892-1900.	NA	 1
N:o 173-n:o 176.	1893-1897.	NA	 1
24-39.	1899-1899.	NA	 1
1-4.	1898-1900	NA	 1
1-2.	1897-1897.	NA	 1
4-7.	1896-1896.	NA	 1
1-6.	1898-1899.	NA	 1
1-2.	1898-1898.	NA	 1
Vihko 1-13.	1899.	NA	 1
6-7.	1897-1897.	NA	 1
N:o 57-n:o 72.	1894-1896.	NA	 1
1-7.	1898-1898.	NA	 1
1, 1-2, 5.	1892-1897.	NA	 1
1-30.	1895-1896.	NA	 1
1 vihko-8 vihko.	1900-1901.	NA	 1
2-4.	1903-1905.	NA	 1
2-4.	1901-1905.	NA	 1
N:o 1-n:o 3.	1905-1905.	NA	 1
N:o 1-18.	1898-1904.	NA	 1
[12]-15.	1894-1906.	NA	 1
N:o 1-n:o 8.	1902-1904.	NA	 1
1-4.	1904-1907.	NA	 1
2-3.	1905-1906.	NA	 1
1-16.	1892-[1905?]	NA	 1
1-3 vihko.	1905-1905.	NA	 1
1-6 vihko.	1904-1904.	NA	 1
3-20.	[1896?]-1910.	NA	 1
3-5.	1893-1903.	NA	 1
[1]-5.	1898-1902.	NA	 1
1-18.	1898-1904.	NA	 1
2-3.	1905-1905.	NA	 1
1-2.	1904-1904.	NA	 1
1-8.	1883-1905.	NA	 1
1-2.	1900-1902.	NA	 1
[1]-[5]	1900-1904.	Kerran vuodessa	 1
3-14.	1901-1905.	NA	 1
N:o 2-n:o 4.	1901-1905.	NA	 1
1-2.	1905-1905.	NA	 1
[1]-2.	1903-1903.	NA	 1
1-3.	1908-1910.	NA	 1
1-2.	1908-1909.	NA	 1
1-3.	1896-1908.	NA	 1
N:o 4.	1908-1908.	NA	 1
1.	1909.	NA	 1
1-2.	1907-1907.	NA	 1
1-2.	1906-1908.	NA	 1
1-8.	1910-1910.	NA	 1
Näytenumero 1.	1906-1906.	NA	 1
