name;synonyme
Turku;abo
Tsingshi;abo
Turku;åbo
Frankfurt;åbo
Turku;aboâ turku
Inari;aboâ turku
Turku;abost
Cassel;abost
Helsinki;åggelby
NA;åggelby
NA;agnifitiae
Akureyri;agnifitiae
Tornio;ala tornio
Alfend;ala tornio
Alfend;alfeld leine
Liège;alfeld leine
Almena Wi;almena wis
London;almena wis
Altdorf;altdorfi
Altenstein;altdorfi
Altenstein;alten stettin
Maastricht;alten stettin
Amsterdam;amsterodami
Ancova;amsterodami
Turku;åpo
Hyvinkää;åpo
Archangelsk;arhangel sk
Riga;arhangel sk
Västerås;arosiae
Ashtabula Oh;arosiae
Ashtabula Oh;ashtabula ohio
Askersund;ashtabula ohio
Askersund;askersundiae
Stockholm;askersundiae
Astoria Or;astoria oregon
St Petersburg;astoria oregon
Turku;athenis auräicis
Imatra;athenis auräicis
Stockholm;auctoritate regia privilegialis holmiae
Augsburg;auctoritate regia privilegialis holmiae
Augsburg;augsburg
Utrecht;augsburg
Basel;basel
Pori;basel
Pori;b borg
Pännäinen;b borg
Pännäinen;bennäs
Bergen;bennäs
Bergen;bergen stockholm kjobenhavn
Berlin;bergen stockholm kjobenhavn
Pori;björbeborg
Birmingham;björbeborg
Pori;björneborg
Björkboda;björneborg
Raahe;brahestads
Brändö;brahestads
Hanko;breidablick
Forssa;breidablick
Bremen;bremae
Breslau;bremae
Breslau;breslau
Bridgeport Ct;breslau
Bridgeport Ct;bridgeport conn
Brisbane;bridgeport conn
New York;brooklyn ny
Brunn;brooklyn ny
St Petersburg;burgo sancti petri
Greifswald;burgo sancti petri
Calcutta;calcutta
Buenos aires;calcutta
Calumet Mi;calumet
Calcutta;calumet
Chicago IL;chicago ill
NA;chicago ill
Chisholm Mn;chisholm minn
Chicago IL;chisholm minn
Oslo;christiania
Chisholm Mn;christiania
Copenhagen;christianstad
Oslo;christianstad
Cincinnati Oh;cincinati
Copenhagen;cincinati
Clear Creek UT;clear creek utah
Cincinnati Oh;clear creek utah
Cleveland Oh;cleveland
Clear Creek UT;cleveland
Cologne;cologne
Cleveland Oh;cologne
Copenhagen;copenhagen
Dantzig;copenhagen
Copenhagen;copenhague
Turku;copenhague
Dessau;dessau
Stralsund;dessau
Stralsund;deutschland stralsund
Dieren;deutschland stralsund
Dordrecht;dordrecht
Terni;dordrecht
Tartu;dorpati livonúm
Arnstadt;dorpati livonúm
Tartu;dorpt i lieflandh
Dresden;dorpt i lieflandh
Dresden;dresden
Duluth Mn;dresden
Duluth Mn;duluth mn
Edinburgh;duluth mn
Edinburgh;edinburgh
Wittenberg;edinburgh
Tammisaari;ekenäs
Ely Mi;ekenäs
Ely Mi;ely minn
Turku;ely minn
Inari;enare
Greifswald;enare
Turku;enthlimmenon aboe
Erfurt;enthlimmenon aboe
Eveleth Mi;eveleth minnesota
Eura;eveleth minnesota
Exeter;exeter
Stockholm;exeter
Falun;fahlun
Exeter;fahlun
Fitchburg Ma;fichtburg mass
Falun;fichtburg mass
Fitchburg Ma;fitchburg massachusetts
Hanko;fitchburg massachusetts
Frankfurt;francfort leipzig
Helsinki;francfort leipzig
Frankfurt;frankfurt und leipzig
Hamina;frankfurt und leipzig
Hamina;fredrikshamn
Freiburg im Breisgau;fredrikshamn
Geneve;genève
Helsinki;genève
Gera;gera
Geneve;gera
Giessen;giessae
Gera;giessae
Greifswald;gryfisbaldia greifswald
Turku;gryfisbaldia greifswald
Greifswald;gryphisuualdiae
Impilahti;gryphisuualdiae
Greifswald;gryphiswaldiae
Gutersloh;gryphiswaldiae
Gutersloh;gutersloh
The Hague;gutersloh
Hamina;hamina
Hämeenlinna;hamina
Hancock Mi;hancock
Hamina;hancock
Helsinki;helsignfors
Helsingborg;helsignfors
Helsinki;helsingofrs
Helsingör;helsingofrs
Stockholm;holmiae
Eveleth Mi;holmiae
Stockholm;holmiae svecorum
Vyborg;holmiae svecorum
Houghton Mi;houghton mi
Stockholm;houghton mi
Hull;hull
Houghton Mi;hull
Hämeenlinna;hus
Turku;hus
Jena;i.e nae
Turku;i.e nae
Inkoo;ingå
Visingsborg;ingå
Inkeri;inkerinmaalla
St Petersburg;inkerinmaalla
Ironwood Mi;ironwood mich
Inkoo;ironwood mich
Ironwood Mi;ironwood michigan
Inkeri;ironwood michigan
Ísafjördur;isafjördur
Ironwood Mi;isafjördur
Ishpeming Mi;ishpeming mi
Ironwood Mi;ishpeming mi
Ishpeming Mi;ishpeming mich
Ísafjördur;ishpeming mich
Isokyrö;isokyrö
Ishpeming Mi;isokyrö
Jacobson Mi;jacobson minn
Jääski;jacobson minn
Pietarsaari;jacobstad
Jacobson Mi;jacobstad
Joensuu;joensuussa
Jönnköping;joensuussa
Jönnköping;jönköping
Uppsala;jönköping
Uppsala;junekopiae
Jurjew;junekopiae
Jyväskylä;jywäskylästä
Kainuu;jywäskylästä
Kajaani;kajana
Käkisalmi;kajana
Kaleva Mi;kalevassa mich
Kallislahti;kalevassa mich
Kemi;kemissä
Kettuvaara;kemissä
Lybeck;keyserligh frij rijkzstad lybeck
Visingsborg;keyserligh frij rijkzstad lybeck
Kiel;kiel
Kiiminki;kiel
Kiel;kiliae
Copenhagen;kiliae
Copenhagen;kiobenhavn
Kirchhain;kiobenhavn
Oslo;kristiania
Kristiinankaupunki;kristiania
Kristiinankaupunki;kristinestad
Kruunupyy;kristinestad
Kruunupyy;kronoby
Kuopio;kronoby
Lappeenranta;lappeenranta
Lapua;lappeenranta
Lapua;lapualla
Lausanne;lapualla
Lausanne;lausanne
Leeuwarden;lausanne
Leeuwarden;leeuwarden
Leipzig;leeuwarden
Leipzig;leipzig und amsterdam
Litoměřice;leipzig und amsterdam
