original	polished	Count
Helsinki	Helsinki	13236
Helsingfors	Helsinki	11741
Aboae	Turku	4871
Porvoo	Porvoo	3092
[Vasa]	Vaasa	2312
Tampere	Tampere	2224
Stockholm	Stockholm	2215
Åbo	Turku	2169
[Åbo]	Turku	2092
Kuopio	Kuopio	1529
Turku	Turku	1332
[Aboae]	Turku	1312
Hämeenlinna	Hämeenlinna	1283
Jyväskylä	Jyväskylä	971
Turusa	Turku	856
Stockholmisa	Stockholm	715
Pori	Pori	625
Viipuri	Vyborg	605
[Helsinki]	Helsinki	548
Oulu	Oulu	533
Borgå	Porvoo	517
Sortavala	Sortavala	494
Helsingissä	Helsinki	481
[Helsingfors]	Helsinki	477
Upsaliae	Uppsala	364
Tryckt i Åbo	Turku	295
Wiipuri	Vyborg	245
[Stockholm]	Stockholm	242
Rauma	Rauma	237
Vaasa	Vaasa	235
S.-Peterburg'	St Petersburg	225
[Turku]	Turku	221
Mikkeli	Mikkeli	210
Vasa	Vaasa	204
[Wasa]	Vaasa	181
Leipzig	Leipzig	179
Holmiae	Stockholm	177
Helsingforsiae	Helsinki	173
Kotka	Kotka	171
Wasasa	Vaasa	166
Hancock (Mich.)	Hancock MI	163
Lahti	Lahti	153
London	London	147
Wiborg	Vyborg	147
Tammerfors	Tampere	144
Ekenäs	Tammisaari	140
Paris	Paris	138
Gel'singfors'	Helsinki	138
Berlin	Berlin	137
Wasa	Vaasa	130
Upsala	Uppsala	123
Joensuu	Joensuu	123
Porvoossa	Porvoo	121
Hamina	Hamina	118
Fitchburg (Mass.)	Fitchburg MA	110
Örebro	Örebro	93
Nikolaistad	Vaasa	91
Savonlinna	Savonlinna	86
Tryckt i Stockholm	Stockholm	78
[Viipuri]	Vyborg	77
Viborg	Vyborg	73
Björneborg	Pori	70
Dorpati Livonorum	Tartu	70
Turusa prändätty	Turku	67
Mariehamn	Maarianhamina	64
Stokholmisa	Stockholm	61
Dorpati	Tartu	60
Tukholma	Stockholm	59
Käkisalmi	Käkisalmi	58
Kokkola	Kokkola	58
[Vaasa]	Vaasa	58
Jakobstad	Pietarsaari	57
[S.-Peterburg']	St Petersburg	56
Tavastehus	Hämeenlinna	56
St. Petersburg	St Petersburg	56
Stockholmis	Stockholm	54
Kjøbenhavn	Copenhagen	52
[Oulu]	Oulu	51
Lappeenranta	Lappeenranta	51
Brooklyn (N.Y.)	New York NY	49
[Tampere]	Tampere	49
Kaleva (Mich.)	Kaleva MI	49
Tampereella	Tampere	48
Uleåborg	Oulu	48
Gamlakarleby	Kokkola	48
Uppsala	Uppsala	48
Hangö	Hanko	48
Sanktpeterburg'	St Petersburg	47
Tryckt i Upsala	Uppsala	46
Hämeenlinnassa	Hämeenlinna	45
Pietari	St Petersburg	44
Uusikaupunki	Uusikaupunki	44
Fredrikshamn	Hamina	40
Kajaani	Kajaani	40
[Upsaliae]	Uppsala	40
Wiipurissa	Vyborg	39
[Tukholma]	Stockholm	39
Stockholmisa ja Turusa	Stockholm	39
Kemi	Kemi	37
[Sanktpeterburg']	St Petersburg	37
Prändätty Turusa	Turku	37
New York	New York NY	36
Ashtabula (Ohio)	Ashtabula OH	34
[Turusa]	Turku	34
[Aboae?]	Turku	34
Heinola	Heinola	32
Hanko	Hanko	32
Moskva	Moscow	32
Turussa	Turku	32
Lund	Lund	31
[Stockholmisa]	Stockholm	31
Duluth (Minn.)	Duluth MN	30
Kristiania	Oslo	29
Calumet (Mich.)	Calumet MI	28
Vyborg'	Vyborg	28
Nikolainkaupunki	Vaasa	28
Lapua	Lapua	28
Rostochii	Rostock	28
Ubsaliae	Uppsala	28
Tryckt i Abo	Turku	28
Jyväskylässä	Jyväskylä	27
København	Copenhagen	27
Waasa	Vaasa	27
Petrograd'	St Petersburg	26
Kristiina	Kristiinankaupunki	26
Kristinestad	Kristiinankaupunki	25
[Holmiae]	Stockholm	25
[Kuopio]	Kuopio	24
Lovisa	Loviisa	24
Präntätty Turusa	Turku	23
Hki	Helsinki	22
Nykarleby	Uusikaarlepyy	21
Kronoby	Kruunupyy	21
[Helsingforsiae]	Helsinki	20
Tammisaari	Tammisaari	20
[Jyväskylä]	Jyväskylä	20
München	München	20
Stuttgart	Stuttgart	20
Abo	Turku	20
Dresden	Dresden	20
Sordavala	Sortavala	20
Skara	Skara	20
Parkano	Parkano	20
Stockholmiae	Stockholm	20
A Paris	Paris	19
[Amsterdam]	Amsterdam	19
Excusa Aboae	Turku	19
Port Arthur (Ont.)	Port Arthur ON	18
[Wasasa]	Vaasa	18
Präntätty Stockholmis	Stockholm	18
Wien	Vienna	17
Jena	Jena	17
Brooklyn (N. Y.)	New York NY	17
Wiburgi	Vyborg	17
Pietarsaari	Pietarsaari	16
[Sortavala]	Sortavala	16
Braunschweig	Braunschweig	16
Abogiae	Turku	16
Wittebergae	Wittenberg	16
[Porvoo]	Porvoo	15
Reval	Tallinn	15
Budapest	Budapest	15
Riga	Riga	15
Brooklyn, (N. Y.)	New York NY	15
Hyvinkää	Hyvinkää	15
Revaliae	Tallinn	15
[Dorpat]	Tartu	15
Oulussa	Oulu	14
[Raahe]	Raahe	14
S:t Michel	Mikkeli	14
Hancock, (Mich.)	Hancock MI	14
Kaskö	Kaskinen	14
Iisalmi	Iisalmi	13
Götheborg	Gothenburg	13
Chicago	Chicago IL	13
Karis	Karjaa	13
Hancock, Mich.	Hancock MI	13
[Upsala]	Uppsala	13
Brooklyn, (N.Y.)	New York NY	13
[Dorpati]	Tartu	13
Kuopiossa	Kuopio	12
[London]	London	12
Raahe	Raahe	12
Turengi	Turenki	12
Sairala	Sairala	12
Dorpt	Tartu	12
Hancock, Michigan	Hancock MI	11
Superior (Wis.)	Superior WI	11
Nystad	Uusikaupunki	11
Astoria (Or.)	Astoria OR	11
[Tryckt i Stockholm]	Stockholm	11
[Åbo?]	Turku	11
Tryckt i Wiborg	Vyborg	11
Tryckt i Vpsala	Uppsala	11
[Borgå]	Porvoo	10
Ironwood (Mich.)	Ironwood MI	10
[Viborg]	Vyborg	10
Tartu	Tartu	10
Brooklyn	New York NY	10
Turuusa	Turku	10
Forssa	Forssa	10
Laihia	Laihia	10
Ashtabula, (Ohio)	Ashtabula OH	10
Fitchburg, (Mass.)	Fitchburg MA	10
Tornio	Tornio	10
Pernaviae	Pärnu	10
Helsinki ;;Viipuri	Helsinki	9
Tukholmassa	Stockholm	9
[Berlin]	Berlin	9
Hamburg	Hamburg	9
Heidelberg	Heidelberg	9
Wiburg	Vyborg	9
