original polished n
Helsingfors Helsinki 149
Aboae Turku 62
Åbo Turku 34
[Aboae] Turku 30
[Vasa] Vaasa 29
[Åbo] Turku 27
Viipuri Vyborg 14
[Helsinki] Helsinki 10
Borgå Porvoo 8
Tryckt i Åbo Turku 7
Stockholmisa Stockholm 6
Ekenäs Tammisaari 5
Helsingissä Helsinki 5
Turusa Turku 5
[S.-Peterburg'] St Petersburg 4
Hancock (Mich.) Hancock Mi 4
Wasasa Vaasa 4
[Helsingfors] Helsinki 3
[Stockholm] Stockholm 3
Tammerfors Tampere 3
Upsaliae Uppsala 3
Vasa Vaasa 3
[Amsterdam] Amsterdam 2
[Raahe] Raahe 2
[Turku] Turku 2
A Paris Paris 2
Fitchburg (Mass.) Fitchburg Ma 2
Holmiae Stockholm 2
Oulussa Oulu 2
S.-Peterburg' St Petersburg 2
Stockholmis Stockholm 2
Tavastehus Hämeenlinna 2
Tryckt i Upsala Uppsala 2
Tryckt i Wasa Vaasa 2
Wiipuri Vyborg 2
[A Paris] Paris 1
[Berlin] Berlin 1
[Dorpati Livonorum] Tartu 1
[Dorpati] Tartu 1
[Holmiae] Stockholm 1
[København] Copenhagen 1
[Prändäty Turusa] Turku 1
[Rostochii] Rostock 1
[Tammerfors] Tampere 1
[Tampere] Tampere 1
[Turusa prändätty] Turku 1
[Upsaliae] Uppsala 1
[Viipuri] Vyborg 1
[Wasasa] Vaasa 1
[Wiburgi] Vyborg 1
Arhangel'sk' Archangelsk 1
Arosiae Västerås 1
Astoria (Ore.) Astoria Or 1
Brooklyn New York NY 1
Dorpati Tartu 1
Duluth (MN) Duluth MN 1
Excusa Aboae Turku 1
Excusum primo Rostochii, nunc recusum Stockholmiae Rostock 1
Excusus Aboae Turku 1
Greiffswald Greifswald 1
Hämeenlinna ;;Porvoo Hämeenlinna 1
Hancock, (Mich.) Hancock Mi 1
Helsingforsiae Helsinki 1
I Åbo Turku 1
Impressum Gryphiswaldiae Greifswald 1
Ironwood (Mich.) Ironwood Mi 1
Kaleva (Mich.) Kaleva Mi 1
Kristiania Oslo 1
München München 1
New York New York NY 1
Orisberg Isokyrö 1
Pernaviae Pärnu 1
Rostochii Rostock 1
Stockh. Stockholm 1
Stockholmisa ja Turusa Stockholm 1
Stokholmisa Stockholm 1
Strengnes Strängnäs 1
Tryckt i Abo Turku 1
Tryckt och vplagdt i Stockholm Stockholm 1
Turun kaupungisa Turku 1
Turussa Turku 1
Turuusa Turku 1
Ubsaliae Uppsala 1
Upsalae Uppsala 1
Viborg Vyborg 1
Waasa Vaasa 1
Wasa Vaasa 1
Westerås Västerås 1
Wiipurissa Vyborg 1
Wilno Vilnius 1
