Name	Count
Total count: 	n= 2376  ( 100 % non-NA values)
[S.l.]	2271
[s.l.]	  14
[S. l.]	  12
[S.l]	   9
S.l.	   8
[S.I]	   6
Ienae	   6
[S.I.]	   5
[S.n.]	   4
[S.l.	   4
[Nytorp]	   4
Regiomonti Borvssiae	   3
[s.n.]	   2
[ s. l. ]	   2
[Fürth]	   2
Wib.	   1
Tryckt samma åhr	   1
Trukketum Hernösandesne	   1
St. Louis Kaunti (Minn.)	   1
[S.n.	   1
Sl	   1
s.l.	   1
Regiomonti Borussorum	   1
Piitem	   1
Pejteri	   1
Orisberg	   1
Nytorp	   1
Nya Wasa	   1
Helsingör	   1
Heinjoki	   1
Gütersloh	   1
Gedruckt [s.l.]	   1
Folkhögskolan Breidablick	   1
[Brünn]	   1
Berttula	   1
Ancova	   1
[Agnifitiae]	   1
204 s.	   1
-	   1
