Name	Count
helsinki	13810
helsingfors	12228
porvoo	3111
vasa	2517
tampere	2273
turku	1563
kuopio	1555
hämeenlinna	1303
jyväskylä	991
stockholmisa	749
viipuri	686
pori	628
oulu	587
borgå	527
sortavala	510
helsingissä	491
wasa	323
vaasa	295
wiipuri	252
rauma	240
mikkeli	213
holmiae	205
wasasa	189
kotka	172
lahti	154
tammerfors	148
gel'singfors'	146
ekenäs	142
joensuu	125
porvoossa	121
hamina	118
tukholma	103
örebro	94
nikolaistad	93
savonlinna	90
stockholmis	84
viborg	83
turusa prändätty	75
dorpati	73
björneborg	71
stokholmisa	65
mariehamn	65
käkisalmi	62
kokkola	58
jakobstad	58
tavastehus	56
lappeenranta	52
kjøbenhavn	52
hangö	49
gamlakarleby	49
uleåborg	48
tampereella	48
uusikaupunki	46
pietari	46
hämeenlinnassa	45
wiipurissa	41
kajaani	41
fredrikshamn	41
kemi	37
lund	36
rostochii	35
waasa	33
jyväskylässä	33
heinola	33
turussa	32
hanko	32
petrograd'	29
lapua	29
kristiania	29
nikolainkaupunki	28
københavn	28
kristinestad	27
raahe	26
kristiina	26
wiburgi	25
lovisa	25
stockholmiae	24
riga	24
Dorp	24
hki	22
nykarleby	21
kronoby	21
wien	20
tammisaari	20
stuttgart	20
sordavala	20
skara	20
reval	20
parkano	20
budapest	19
revaliae	18
jena	18
pietarsaari	16
hyvinkää	16
braunschweig	16
abogiae	16
chicago	15
oulussa	14
kaskö	14
kuopiossa	13
karis	13
iisalmi	13
turengi	12
sairala	12
pernaviae	11
nystad	11
linköping	11
witebergae	10
turuusa	10
tornio	10
tartu	10
laihia	10
forssa	10
wiburg	9
tukholmassa	9
porissa	9
isokyrö	9
Fitchburg	9
viipurissa	8
terijoki	8
strengnäs	8
salo	8
rostochi	8
pest	8
norrköping	8
kjöbenhavn	8
copenhague	8
wiesbaden	7
weimar	7
stokholmiae	7
stocholmis	7
rostock	7
roma	7
petrograd	7
mikkelissä	7
Härnösand	7
firenze	7
eura	7
augsburg	7
westerås	6
wästerås	6
warszawa	6
sortawala	6
Riga	6
raumo	6
lincopiae	6
Jelgava	6
Ísafjördur	6
haparanda	6
bonn	6
bergen	6
Vilnius	5
Tromsö	5
tallinnas	5
stockholmissa	5
sortavola	5
sortavalassa	5
rigae	5
raumalla	5
Odense	5
Nytorp	5
nikolainkaupungissa	5
lundae	5
köpenhamn	5
Jönnköping	5
christiania	5
carlscrona	5
Brahe	5
wittenberg	4
upsaliae impressum	4
turenki	4
tartus	4
Szczecin	4
strängnäs	4
stokholm	4
stocholmisa	4
seinäjoki	4
scarae	4
rovaniemi	4
rostochiae	4
porwoo	4
pietarissa	4
peterburis	4
parainen	4
orivesi	4
Odessa	4
laitila	4
lahtis	4
kouvola	4
kotkassa	4
kööpenhamina	4
Köningsberg	4
kaskinen	4
hfors	4
helsingis	4
helsingfros	4
helsigfors	4
greifswald	4
göttingen	4
Gotha	4
giessen	4
fahlun	4
Cassel	4
wiburisa	3
wasae	3
waasassa	3
vaasassa	3
upsaliae impressa	3
turusa präntätty	3
tartto	3
tallinna	3
strengnesiae	3
stregnesiae	3
Stralsund	3
stokholmis	3
stockholmis präntätty	3
stocholmiae	3
parikkala	3
oulusa	3
Nyslott	3
narvae	3
narva	3
loviisa	3
köbenhavn	3
kobenhavn	3
kiøbenhavn	3
kiobenhavn	3
kiel	3
Kharkiv	3
Kauvatsa	3
jenae	3
helsinkai	3
Helmstedt	3
hancock	3
gelsingfors'	3
gelsingfors	3
gel'singfors	3
Gefle	3
Brooklyn	3
borgo	3
berliini	3
barcelona	3
Altenstein	3
aboa	3
wittenbergae	2
willmanstrand	2
wiburis	2
wiburgiae	2
wiborgh	2
Wandsbek	2
vitembergae	2
Visingsborg	2
virolahti	2
Vicenza	2
theater in oxford	2
suomussalmi	2
stuckhulmisa	2
stuckholmis	2
strängnäsis	2
stokkholmisa sic	2
stockholmin caupungis	2
stockh	2
sorau	2
sibbo	2
rijasa	2
revelis	2
Pargas	2
Ottawa	2
och vplagdt i stockholm	2
moskau	2
medh egen bekostnadt vplagd och tryckt i stockholm	2
köping	2
kjobenhavn	2
Kazan	2
Karlstad	2
Jurjew	2
jacobstad	2
huopalahti	2
helsinkissä	2
helsingfos	2
helsingforsisa	2
Helsingborg	2
Hancock	2
haaparanta	2
gryphiae	2
gottingae	2
goettingae	2
gissae	2
gelʼsingfors'	2
gel'singfors''	2
Fürth	2
Freiburg im Breisgau	2
förut tryckt i stockholm och å nyo uplagd i åbo	2
esbo	2
Erfurt	2
Ely MI	2
Dessau	2
cleveland	2
cincinnati	2
carlskrona	2
Breslau	2
Braniewo	2
ashtabula	2
Århus	2
altdorf	2
aboe	2
abodiae	2
aboae impressit	2
abóa	2
Aalborg	2
Aabenraa	2
wyburg	1
wjburgi	1
Wismar	1
wijborg	1
wijbor	1
wiiburisa	1
wiburgae	1
westeråhs	1
Weida	1
wastudesta prändätty turusa	1
wästeråhs	1
wästeråås	1
wasasa prändättyt	1
wasasa prändätty	1
waasasa	1
vthi wästeråås	1
vthi stockholm	1
Vreta	1
Vjatka	1
vitebergae	1
villmanstrand	1
viburgiae	1
vibourg	1
verteutscht und gedruckt zu riga	1
västerås	1
vammala	1
Valamo	1
v telči	1
uusikaarlepyy	1
uusikaarlebyy	1
uti westerås	1
uti lund	1
uthi dorpt	1
upsalie impressum	1
upsalie impressa	1
upsaiae sic	1
Ulm	1
Ugra	1
tuusula	1
turusa prändäty	1
turusa pränd	1
turusa anomuxen jälkeen präntätyt	1
turus	1
turura sic	1
turasa prändätty	1
tulkittu sures fangiuxes olles mutta painettu stocholmisa	1
Tsingshi	1
tryckt i åbo	1
