Name	Count
Helsinki	26937
Turku	13591
Tukholma	3956
Porvoo	3769
Vaasa	3499
Tampere	2469
Kuopio	1568
Hämeenlinna	1408
Viipuri	1289
Jyväskylä	1028
Pori	709
Oulu	652
Pietari	594
Sortavala	547
Upsaliae	405
Uppsala	260
Rauma	251
Mikkeli	240
Hancock MI	217
Leipzig	190
Kotka	176
Karjaa	175
Lontoo	168
Tartto	167
Tammisaari	162
Hamina	160
Lahti	158
Berliini	152
Fitchburg MA	140
Joensuu	125
Kööpenhamina	123
Brooklyn NY	110
Kokkola	107
Örebro	94
Savonlinna	91
Hanko	81
Pietarsaari	76
Maarianhamina	66
New York NY	63
Käkisalmi	62
Uusikaupunki	57
Rostock	55
Lappeenranta	55
Kristiinankaupunki	54
Lund	51
Ashtabula OH	51
Kaleva MI	50
Tallinna	49
Duluth MN	42
Kajaani	41
Wittenberg	38
Kemi	38
Moskova	37
Calumet MI	37
Amsterdam	37
Oslo	36
Ubsaliae	34
Riika	34
Heinola	33
Göteborg	31
Vyborg'	29
Loviisa	29
Lapua	29
Jena	27
Raahe	26
Skara	25
Astoria OR	25
Västerås	24
Port Arthur ON	24
Dorp	24
Uusikaarlepyy	23
Strängnäs	23
München	22
Chicago IL	22
Kruunupyy	21
Wien	20
Stuttgart	20
Parkano	20
Dresden	20
Dorpt	19
Budapest	19
Linköping	18
Kaskinen	18
Turenki	16
Hyvinkää	16
Braunschweig	16
meime Aboae	15
Greifswald	15
Superior WI	14
Ironwood MI	13
Iisalmi	13
Hampuri	13
Sairala	12
Pärnu	11
Tornio	10
printÅbo	10
Norrköping	10
New York Mills MN	10
Laihia	10
Forssa	10
Vpsaliae	9
Nürnberg	9
Leiden	9
Isokyrö	9
Heidelberg	9
Worcester MA	8
Utrecht	8
Terijoki	8
Salo	8
Rooma	8
Pest	8
Lübeck	8
Karlskrona	8
Haaparanta	8
Göttingen	8
Giessen	8
Zürich	7
Wiesbaden	7
Weimar	7
Upsalis	7
Upsaliae meime	7
Tübingen	7
Quincy MA	7
printStockholm	7
Ishpeming MI	7
Härnösand	7
Firenze	7
Eura	7
Augsburg	7
Varsova	6
Norimbergae	6
Narva	6
Ísafjördur	6
Haarlem	6
Frankfurt	6
Bonn	6
Bergen	6
Wilno	5
Upsalae	5
Strasbourg	5
printÅpo	5
Pernau	5
Odense	5
Nytorp	5
Milano	5
Jämsä	5
Halle	5
Haapajärvi	5
Falun	5
Cambridge	5
Bern	5
Almena WI	5
Upsalas	4
Tromsø	4
Seinäjoki	4
Seattle WA	4
S Peterburg' A È Vineke	4
Rovaniemi	4
Reykjavik	4
printUpsala	4
Parainen	4
Orivesi	4
Odessa	4
Marburg	4
Madrid	4
Laitila	4
Kuortane	4
Kouvola	4
Kiel	4
Karjalohja	4
Jönköping	4
Gotha	4
Cassel	4
Brahestad	4
Basel	4
Anvers	4
Amstelodami	4
Stettin	3
Scaris	3
Satakunta	3
Sääksmäki	3
Rock Island IL	3
Rigae Livonum	3
Regiomonti Borvssiae	3
printe i Åbo	3
Port Arthur Ont Can	3
Piikkis	3
Piikkiö	3
Petersburg	3
Peterisa	3
Parikkala	3
Nyslott	3
Mitau	3
Malm	3
Leeuwarden	3
Kauvatsa	3
Kainuu	3
Juva	3
Hauniae	3
Har'kov'	3
Hankoniemi	3
Gefle	3
Espoo	3
Cincinnati OH	3
Brussels	3
Barcelona	3
Arhangel'sk'	3
Altdorf	3
Ypäjä	2
Ylistaro	2
Weimar Verlage des Industrie Comptoirs	2
Wandsbek	2
Virolahti	2
Viitasaari	2
Vicenza	2
V' Sanktpeterburgě	2
Urjala	2
Upsalie meime	2
Upsal	2
Tyrvää	2
Tukhulmissa	2
Trieste	2
the Theater in Oxford	2
Suomussalmi	2
Stokkholmisa sic	2
Stockton	2
Sorau	2
Smithville MN	2
Sipoo	2
Saarijärvi	2
s	2
Pihlava	2
Pietärissä	2
Philadelphia PA	2
Petrozavodsk'	2
Petropoli	2
Petäjävesi	2
Pernå	2
Pargas	2
Oxford	2
Offenbach am Main	2
Nyköping	2
Nuremberg	2
New Haven Ma	2
Napoli	2
Naantali	2
Mustiala	2
Mu Helsinki	2
Montréal	2
Minneapolis MN	2
Maastricht	2
Lvgd Batav	2
Lubecae	2
Lojo	2
Lipsiae	2
Lapualla	2
Lahdessa	2
Kyrkslätt	2
Krakow	2
Köping	2
Koningsberg	2
Köln	2
Koivisto	2
Kiiminki	2
Kazan'	2
Karstula	2
Karlstad	2
Karkku	2
Karhula	2
Jurjew	2
Junecopiae	2
Joensuussa	2
Jelgawâ	2
Janakkala	2
Jaakkima	2
Ja Turusa	2
Ilmajoki	2
Ikaalinen	2
Huopalahti	2
Helsingborg	2
