Name	Count
[s.a.]	414
[189?]	 41
[190?]	 26
[18??]	 25
[184?]	 16
[191?]	 10
[19??-19??]	  8
[18?]	  5
[19??]	  5
[16??]	  4
[17??].	  4
[-1913]	  3
s.a.	  3
[ s. a. ]	  2
[-1911]	  2
[164?]	  2
[17??]	  2
[19?]	  2
[1909]-1915.	  2
[1914]-1915.	  2
[s. a.]	  2
[s.a.].	  2
[s.a]	  2
555 s.	  2
An XII. - 1804.	  2
[-1879]	  1
[-1896]	  1
[-1898]	  1
[-1903]	  1
[-1910]	  1
[-1914]	  1
[-1915]	  1
[-1916]	  1
[-1917]	  1
[1.12.1584 jälkeen]	  1
[167?]	  1
[168?]	  1
[17?]	  1
[172?]	  1
[175?]	  1
[177?].	  1
[18??-19??]	  1
[18??]-[19??]	  1
[18??].	  1
[182?]	  1
[182?].	  1
[184?].	  1
[185?]	  1
[185?].	  1
[186?]	  1
[188?]	  1
[1883]-1888?	  1
[1894]-1897.	  1
[1895]-1917.	  1
[1896?]-1910.	  1
[1897-]-1898.	  1
[19??].	  1
[1900?]-	  1
[1903]-1905.	  1
[1908]-1909.	  1
[1908]-1910.	  1
[1909]-1911.	  1
[191?].	  1
[1910]-1912.	  1
[1910]-1914.	  1
[1911]- 1913.	  1
[1912]-1917.	  1
[jälkeen] 17.8.1488.	  1
[S. a.]	  1
[s.n.]	  1
1???.	  1
19??-19??	  1
190?.	  1
8:o.	  1
anno radix ingen vae artis est amara frvctvs vetò eivs sapit tibi benè.	  1
gedruckt den 30. Augusti 1714.	  1
le 28 januier 1729.	  1
MDCCXIV. X. Marti.	  1
Olavi H. Puro.	  1
prändätty tänä wuonna.	  1
prändätty wuonna [...]	  1
prändätty, tänä wuonna [17-?]	  1
prändätyt tänä wuodena.	  1
tryckt i åhr.	  1
trykt i år.	  1
Winther.	  1
