Name	Count
Total count: 	n= 71248  ( 100 % non-NA values)
1912	2239
1908	2150
1916	2119
1917	2089
1913	2043
1907	1976
1915	1962
1906	1961
1910	1928
1909	1919
1911	1849
1914	1788
1905	1425
1903	1388
1904	1338
1899	1321
1901	1317
1902	1241
1900	1201
1898	1074
1897	 964
1896	 954
1892	 934
1891	 880
1895	 877
1893	 869
1894	 851
1890	 712
1889	 681
1887	 608
1886	 605
1888	 564
1884	 386
1885	 373
1808	 326
1881	 321
1790	 318
1880	 305
1883	 303
1789	 301
1879	 300
1807	 297
1876	 293
1788	 286
1882	 285
1878	 283
1792	 279
1791	 272
1806	 271
1809	 268
1877	 245
1787	 245
1801	 240
1800	 236
1802	 234
1786	 232
1798	 227
1772	 227
1778	 225
1775	 218
1803	 215
1799	 212
1785	 211
1776	 201
1797	 197
1875	 194
1771	 192
1784	 191
1872	 183
1777	 171
1757	 170
1874	 169
1795	 169
1697	 169
1766	 168
1796	 164
1774	 163
1873	 160
1779	 160
1773	 152
1780	 147
1805	 145
1741	 143
1694	 141
1871	 139
1870	 139
1855	 139
1782	 138
1769	 138
1762	 138
1690	 138
1688	 135
1781	 133
1748	 133
1695	 132
1869	 131
1760	 126
1693	 126
1685	 125
1679	 125
1770	 124
1765	 124
1735	 124
1804	 122
1745	 122
1864	 121
1783	 121
1751	 121
1862	 120
1861	 118
1863	 117
1680	 117
1866	 115
1692	 113
1754	 111
1793	 109
1732	 109
1689	 109
1752	 108
1687	 108
1865	 107
1794	 107
1753	 107
1700	 106
1768	 105
1764	 105
1712	 105
1868	 104
1856	 104
1738	 104
1756	 103
1691	 101
1867	 100
1737	 100
1686	 100
1761	  99
1763	  98
1744	  97
1709	  97
1858	  96
1698	  95
1730	  94
1682	  94
1664	  94
1708	  93
1653	  93
1650	  93
1767	  92
1742	  92
1681	  92
1673	  92
1707	  91
1743	  90
1857	  89
1729	  89
1652	  89
1852	  88
1655	  88
1853	  87
1819	  87
1759	  87
1696	  86
1675	  86
1656	  86
1827	  85
1860	  84
1851	  84
1684	  84
1747	  83
1823	  82
1755	  82
1740	  82
1683	  81
1678	  81
1649	  81
1648	  81
1750	  80
1703	  80
1859	  79
1699	  79
1654	  79
1844	  77
1733	  77
1854	  76
1758	  76
1674	  76
1726	  75
1651	  75
1736	  74
1728	  74
1810	  73
1669	  73
1749	  72
1815	  71
1734	  71
1821	  70
1746	  70
1677	  70
1660	  70
1850	  69
1826	  69
1739	  69
1646	  69
1671	  67
1731	  66
1847	  65
1670	  64
1848	  63
1818	  62
1661	  62
1647	  62
1849	  61
1706	  60
1662	  60
1817	  59
1704	  59
1702	  59
1676	  59
1710	  58
1822	  57
1672	  57
1845	  55
1668	  55
1667	  54
1711	  53
1705	  53
1666	  53
1846	  51
1724	  51
1840	  49
1825	  49
1665	  49
1645	  49
1839	  48
1832	  47
1701	  47
1643	  47
1657	  46
1841	  45
1842	  44
1829	  44
1824	  44
1835	  43
1834	  43
1811	  43
1663	  43
1644	  43
1843	  42
1816	  42
1721	  42
1713	  42
1820	  41
1717	  41
1725	  40
1723	  40
1836	  39
1838	  37
1830	  37
1722	  37
1837	  36
1714	  36
1659	  36
1828	  35
1658	  35
1833	  33
1727	  32
1812	  31
1720	  29
1718	  29
1831	  28
1719	  28
1813	  27
1633	  23
1814	  20
1716	  19
1715	  19
1642	  18
1634	  17
1632	  17
1640	  15
1639	  15
1620	  15
1619	  15
1641	  14
1631	  14
1614	  14
1628	  12
1622	  12
1608	  12
1621	  11
1638	  10
1635	  10
1629	  10
1611	  10
1637	   9
1623	   9
1616	   9
1630	   8
1625	   8
1615	   8
1609	   8
1612	   7
1610	   7
1636	   6
1626	   6
1618	   6
1617	   6
1613	   6
1597	   6
1596	   6
1605	   5
1603	   5
1583	   5
1562	   5
1627	   4
1624	   4
1607	   4
1604	   4
1600	   4
1599	   4
1584	   4
1549	   4
1602	   3
1595	   3
1592	   3
1551	   3
1606	   2
1601	   2
1593	   2
1591	   2
1590	   2
1582	   2
1543	   2
1919	   1
1598	   1
1589	   1
1587	   1
1586	   1
1577	   1
1575	   1
1574	   1
1567	   1
1565	   1
1559	   1
1555	   1
1552	   1
1548	   1
1544	   1
1522	   1
1488	   1
