original publication_year n
1915 1915 38
1917 1917 37
1914 1914 30
1912 1912 29
1913 1913 26
1908 1908 25
1910 1910 23
1901 1901 22
1907 1907 22
1911 1911 22
1916 1916 22
1900 1900 19
1903 1903 19
1904 1904 19
1897 1897 18
1899 1899 18
1909 1909 18
1895 1895 17
1902 1902 17
1906 1906 15
1894 1894 13
1898 1898 12
1905 1905 12
1888 1888 10
1891 1891 9
1892 1892 9
1896 1896 8
1887 1887 7
[1792] 1792 5
[1803] 1803 5
[1806] 1806 5
1877 1877 5
1878 1878 5
1881 1881 5
1884 1884 5
1886 1886 5
1893 1893 5
[1692] 1692 4
[1757] 1757 4
[1762] 1762 4
[1807] 1807 4
[1911] 1911 4
1873 1873 4
1874 1874 4
1875 1875 4
1876 1876 4
1880 1880 4
1882 1882 4
1883 1883 4
1885 1885 4
1889 1889 4
1890 1890 4
[1700] 1700 3
[1736] 1736 3
[1741] 1741 3
[1743] 1743 3
[1748] 1748 3
[1758] 1758 3
[1764] 1764 3
[1785] 1785 3
[1798] 1798 3
[1801] 1801 3
[1805] 1805 3
[1809] 1809 3
[1909] 1909 3
[1910] 1910 3
1780 1780 3
1855 1855 3
1857 1857 3
1865 1865 3
1872 1872 3
[1655] 1655 2
[1664] 1664 2
[1665] 1665 2
[1686] 1686 2
[1690] 1690 2
[1696] 1696 2
[1704] 1704 2
[1726] 1726 2
[1738] 1738 2
[1744] 1744 2
[1751] 1751 2
[1754] 1754 2
[1767] 1767 2
[1768] 1768 2
[1771] 1771 2
[1772] 1772 2
[1774] 1774 2
[1776] 1776 2
[1777] 1777 2
[1778] 1778 2
[1788] 1788 2
[1791] 1791 2
[1793] 1793 2
[1797] 1797 2
[1800] 1800 2
[1808] 1808 2
[1823] 1823 2
[1839] 1839 2
[1842] 1842 2
1646 1646 2
1769 1769 2
1778 1778 2
1804 1804 2
1807 1807 2
1815 1815 2
1846 1846 2
1847 1847 2
1852 1852 2
1860 1860 2
1861 1861 2
1862 1862 2
1864 1864 2
1870 1870 2
1879 1879 2
1901-1905 1901 2
1906-1906 1906 2
anno 1652 1652 2
[1593] 1593 1
[1647] 1647 1
[1648] 1648 1
[1657] 1657 1
[1659] 1659 1
[1660] 1660 1
[1662] 1662 1
[1666?] 1666 1
[1668] 1668 1
[1669] 1669 1
[1670] 1670 1
[1673] Turku 1673 1
[1674] 1674 1
[1675] 1675 1
[1678] 1678 1
[1680] 1680 1
[1684] 1684 1
[1687] 1687 1
[1691] 1691 1
[1693] 1693 1
[1694] 1694 1
[1697] 1697 1
[1698] 1698 1
[1703] 1703 1
[1706] 1706 1
[1707] 1707 1
[1708] 1708 1
[1709] 1709 1
[1712] 1712 1
[1714] 1714 1
[1715] 1715 1
[1718] 1718 1
[1720] 1720 1
[1721] 1721 1
[1722-1729] 1722 1
[1723] 1723 1
[1725] 1725 1
[1732] 1732 1
[1733] 1733 1
[1734] 1734 1
[1735] 1735 1
[1739] 1739 1
[1742] 1742 1
[1745] 1745 1
[1749] 1749 1
[1750] 1750 1
[1752] 1752 1
[1753?] 1753 1
[1753] 1753 1
[1755] 1755 1
[1756] 1756 1
[1759] 1759 1
[1763] 1763 1
[1765] 1765 1
[1769] 1769 1
[1770] 1770 1
[1773] 1773 1
[1775] 1775 1
[1783] 1783 1
[1784] 1784 1
[1787] 1787 1
[1789] 1789 1
[1790] 1790 1
[1794] 1794 1
[1796] 1796 1
[1799] 1799 1
[1804] 1804 1
[1810] 1810 1
[1821] 1821 1
[1822] 1822 1
[1826] 1826 1
[1827] 1827 1
[1828] 1828 1
[1866] 1866 1
[1872] 1872 1
[1876] 1876 1
[1886] 1886 1
[1890] 1890 1
[1896-1900] 1896 1
[1897?] 1897 1
[1898?] 1898 1
[1900] 1900 1
[1903] 1903 1
[1903]-1905 1897 1
[1904] 1904 1
[1905] 1905 1
[1906?] 1906 1
[1907] 1907 1
[1908] (painettu osakeyhtiö F. Tilgmannilla) 1908 1
[1911?]-1912 1911 1
[1912] 1912 1
[1914?]-[1916?] 1914 1
[1916] 1916 1
[anno 1575 septembris 12] 1575 1
[anno 1648] 1648 1
[år 1770] 1770 1
[ca. 1730] 1730 1
[n. 1917?] 1917 1
1644 1644 1
1645 1645 1
1647 1647 1
1648 1648 1
1652-1657? 1652 1
1731-1732 1731 1
1733 1733 1
1738 1738 1
1741 1741 1
1755 1755 1
1757 1757 1
1761 1761 1
1768 1768 1
1772 1772 1
1775 1775 1
1776 1776 1
1779 1779 1
1781 1781 1
1789 1789 1
1791 1791 1
1793 1793 1
1795 1795 1
1799 1799 1
1800 1800 1
1809 1809 1
1811 1811 1
1826 1826 1
1830 1830 1
1831 1831 1
1834 1834 1
1837 1837 1
1849 1849 1
1851 1851 1
1853 1853 1
1856 1856 1
1858 1858 1
1863 1863 1
1863-1866 1863 1
1867 1867 1
1878-1879 1878 1
1880-1896 1880 1
1886-1890 1886 1
1886-1891 1886 1
1886-1900 1886 1
1887-1898 1887 1
1888-1895 1888 1
1890-1892 1890 1
1891-1892 1891 1
1891-1909 1891 1
1892-1917 1892 1
1893-1895 1893 1
1893-1900 1893 1
1893-1908 1893 1
1897-1900 1897 1
1899-1903 1899 1
1901-1901 1901 1
1901-1902 1901 1
1901-1904 1901 1
1901-1909 1901 1
1902-1906 1902 1
1902-1912 1902 1
1903-1907 1903 1
1906-1908 1906 1
1907-1907 1907 1
1907-1908 1907 1
1908-1908 1908 1
1908-1909 1908 1
1909-1910 1909 1
1910-14 1910 1
1910-1911 1910 1
1910-1913 1910 1
1910-1917 1910 1
1911-1912 1911 1
1911-1913 1911 1
1912-1913 1912 1
1914-1915 1914 1
an, 1647 1647 1
anno 1632 1632 1
anno 1642 1642 1
anno 1650 1650 1
anno 1651 1651 1
anno 1662 1662 1
anno 1672 1672 1
anno 1683 1683 1
anno 1689 1689 1
anno 1694 1694 1
anno 1699 1699 1
im Iahr 1623 1623 1
prändätty tänä wuona [1700--1720] 1700 1
prändätty wuonna 1753 1753 1
prändätty wuonna 1785 1785 1
prändätty wuonna 1792 1792 1
prändätty wuonna 1805 1805 1
prändätyt wuonna 1802 1802 1
wastaudesta prändätty 1801 1801 1
wuonna 1734 1734 1
wuonna 1750 1750 1
wuonna 1781 1781 1
wuonna 1787 1787 1
wuonna 1790 1790 1
