Name	Count
Total count: 	n= 4330  ( 100 % non-NA values)
1915	264
1917	238
1914	222
1913	197
1910	191
1900	167
1912	164
1916	163
1905	162
1908	154
1909	142
1906	136
1899	133
1911	111
1907	110
1901	110
1902	100
1903	 92
1898	 89
1895	 87
1904	 84
1897	 66
1890	 64
1894	 60
1887	 59
1896	 53
1891	 51
1893	 49
1892	 47
1889	 45
1888	 45
1885	 35
1884	 26
1883	 25
1882	 23
1886	 21
1879	 20
1804	 19
1881	 18
1880	 17
1866	 16
1875	 14
1876	 13
1857	 13
1877	 12
1865	 11
1873	 10
1872	 10
1870	 10
1869	 10
1863	 10
1861	  9
1868	  8
1864	  8
1855	  8
1878	  7
1862	  7
1856	  7
1849	  7
1846	  7
1831	  7
1874	  6
1867	  6
1843	  6
1802	  6
1693	  6
1832	  5
1821	  5
1801	  5
1800	  5
1785	  5
1779	  5
1701	  5
1919	  4
1871	  4
1859	  4
1853	  4
1848	  4
1838	  4
1809	  4
1786	  4
1697	  4
1918	  3
1860	  3
1852	  3
1850	  3
1847	  3
1845	  3
1841	  3
1840	  3
1803	  3
1776	  3
1759	  3
1742	  3
1710	  3
1704	  3
1690	  3
1647	  3
1927	  2
1858	  2
1854	  2
1844	  2
1808	  2
1799	  2
1792	  2
1789	  2
1784	  2
1782	  2
1766	  2
1761	  2
1755	  2
1750	  2
1746	  2
1737	  2
1733	  2
1732	  2
1729	  2
1728	  2
1700	  2
1698	  2
1695	  2
1684	  2
1679	  2
1664	  2
1657	  2
1990	  1
1951	  1
1947	  1
1944	  1
1936	  1
1925	  1
1924	  1
1923	  1
1922	  1
1920	  1
1851	  1
1839	  1
1836	  1
1835	  1
1834	  1
1829	  1
1826	  1
1825	  1
1823	  1
1822	  1
1819	  1
1818	  1
1813	  1
1810	  1
1806	  1
1791	  1
1783	  1
1775	  1
1771	  1
1770	  1
1769	  1
1763	  1
1760	  1
1753	  1
1752	  1
1749	  1
1747	  1
1744	  1
1740	  1
1734	  1
1730	  1
1725	  1
1724	  1
1720	  1
1719	  1
1712	  1
1707	  1
1703	  1
1702	  1
1699	  1
1691	  1
1689	  1
1686	  1
1683	  1
1681	  1
1678	  1
1675	  1
1674	  1
1663	  1
1660	  1
1655	  1
1640	  1
1589	  1
1559	  1
