Place|Documents
Helsinki|26935
Turku|13633
Tukholma|3969
Porvoo|3769
Vaasa|3499
Tampere|2469
Kuopio|1568
Hämeenlinna|1408
Viipuri|1320
Jyväskylä|1028
Uppsala|746
Pori|709
Oulu|652
Pietari|598
Sortavala|547
Rauma|251
Mikkeli|240
Hancock MI|217
Tartto|212
Leipzig|190
Kotka|176
Karjaa|175
Lontoo|167
Tammisaari|162
Hamina|160
Lahti|158
Berliini|152
Fitchburg MA|140
Joensuu|125
Kööpenhamina|123
Brooklyn NY|120
Kokkola|107
Örebro|94
Savonlinna|91
Hanko|81
Pietarsaari|76
Maarianhamina|66
Käkisalmi|62
Uusikaupunki|57
Rostock|55
Lappeenranta|55
Kristiinankaupunki|54
New York NY|53
Lund|51
Ashtabula OH|51
Kaleva MI|50
Tallinna|49
Duluth MN|42
Kajaani|41
Wittenberg|38
Kemi|38
Moskova|37
Calumet MI|37
Oslo|36
Riika|34
Amsterdam|34
Heinola|33
Göteborg|31
Loviisa|29
Lapua|29
Jena|27
Raahe|26
Skara|25
Astoria OR|25
Västerås|24
Strängnäs|24
Port Arthur ON|24
Uusikaarlepyy|23
München|22
Chicago IL|22
Kruunupyy|21
Wien|20
Stuttgart|20
Parkano|20
Dresden|20
Budapest|19
Linköping|18
Kaskinen|18
Turenki|16
Hyvinkää|16
Greifswald|16
Braunschweig|16
Superior WI|14
Ironwood MI|13
Iisalmi|13
Hampuri|13
Sairala|12
Pärnu|11
Tornio|10
Norrköping|10
New York Mills MN|10
Laihia|10
Forssa|10
Nürnberg|9
Leiden|9
Isokyrö|9
Heidelberg|9
Worcester MA|8
Terijoki|8
Salo|8
Rooma|8
Pest|8
Lübeck|8
Karlskrona|8
Haaparanta|8
Göttingen|8
Giessen|8
Zürich|7
Wiesbaden|7
Weimar|7
Tübingen|7
Quincy MA|7
Ishpeming MI|7
Härnösand|7
Firenze|7
Eura|7
Augsburg|7
Varsova|6
Utrecht|6
Norimbergae|6
Narva|6
Ísafjördur|6
Frankfurt|6
Bonn|6
Bergen|6
Wilno|5
Pernau|5
Odense|5
Nytorp|5
Milano|5
Jämsä|5
Halle|5
Haapajärvi|5
Falun|5
Cambridge|5
Bern|5
Almena WI|5
Tromsø|4
Te Haarlem|4
Strassburg|4
Seinäjoki|4
Seattle WA|4
S Peterburg' A È Vineke|4
Rovaniemi|4
Reykjavik|4
Parainen|4
Orivesi|4
Odessa|4
Marburg|4
Madrid|4
Laitila|4
Kuortane|4
Kouvola|4
Kiel|4
Karjalohja|4
Jönköping|4
Gotha|4
Cassel|4
Brahestad|4
Basel|4
Arhangel'sk|4
Anvers|4
Amstelodami|4
V' Sanktpeterburge|3
Stettin|3
Scaris|3
Satakunta|3
Sääksmäki|3
Rock Island IL|3
Rigae Livonum|3
Regiomonti Borvssiae|3
Port Arthur Ont Can|3
Piikkis|3
Piikkiö|3
Petrozavodsk|3
Peterisa|3
Parikkala|3
Nyslott|3
Mitau|3
Malm|3
Leeuwarden|3
Kauvatsa|3
Kaliningrad|3
Kainuu|3
Juva|3
Hauniae|3
Har'kov|3
Hankoniemi|3
Gefle|3
Espoo|3
Cincinnati OH|3
Bruxelles|3
Barcelona|3
Amsterodami|3
Altdorf|3
Ypäjä|2
Ylistaro|2
Weimar Verlage des Industrie Comptoirs|2
Wandsbek|2
Virolahti|2
Viitasaari|2
Vicenza|2
Urjala|2
Tyrvää|2
Tukhulmissa|2
Trieste|2
Te Utrecht|2
Suomussalmi|2
Stockton|2
Sorau|2
Smithville MN|2
Sipoo|2
Saarijärvi|2
Pihlava|2
Pietärissä|2
Philadelphia PA|2
Petropoli|2
Petäjävesi|2
Pernå|2
Pargas|2
På nytt medh egen bekostnadt vplagd och tryckt i Stockholm|2
Oxford|2
Offenbach am Main|2
Nyköping|2
Nuremberg|2
New Haven|2
Napoli|2
Naantali|2
Mustiala|2
Mu Helsinki|2
Montréal|2
Minneapolis MN|2
Lvgd Batav|2
Lubecae|2
Lojo|2
Lipsiae|2
Lapualla|2
Lahdessa|2
Kyrkslätt|2
Krakow|2
Köping|2
Köln|2
Koivisto|2
Kiiminki|2
Kazan|2
Karstula|2
Karlstad|2
Karkku|2
Karhula|2
Jurjew|2
Junecopiae|2
Joensuussa|2
Jelgawa|2
Janakkala|2
Jaakkima|2
Ilmajoki|2
Ikaalinen|2
Huopalahti|2
Helsingfors|2
Helsingborg|2
Helmaestadii|2
Heinävesi|2
Hannover|2
Hämeenkyrö|2
Halle ad Saale|2
Hållas|2
Hafniae|2
Haarlem|2
Genève|2
Gamburg'|2
Fürth|2
Dessau|2
Cleveland OH|2
Chisholm MN|2
Brvnsbergae|2
Bridgeport CT|2
Breslau|2
Boston MA|2
Berlin Charlottenburg|2
B'' Sanktpeterburge|2
Augustae Vindel Augsburg|2
At the Theater in Oxford|2
Amstelaedami|2
Alten Stettin|2
Aalborg|2
Aabenraa|2
Zu Riga|1
York|1
Ylivieska|1
Ylimarkku|1
Würzburg|1
Wismariae|1
Wisingzborg|1
Wisingsbvrgi|1
Wisingsburgi|1
Wiljandis|1
Wiljandi|1
Wijsingzborg|1
Wijsingsborg|1
Wib|1
Weida|1
Watton Mich|1
Warschau|1
W Krakowie|1
Vthi Åbo|1
Vreta|1
Vlm|1
Vjatka|1
Virginia Minn|1
Vilna|1
Vïden|1
Viborgae|1
Verteutscht und gedruckt zu Riga|1
Verona|1
Venise|1
Venezia|1
Varsovie|1
Varšava|1
Vammala|1
Valkjärvi|1
Valaam|1
Vainikkala|1
V Telči|1
Uusikirkko|1
Uudessakaupungissa|1
USA|1
Ûr'ev|1
Upsaliae et Aboae|1
Ugra|1
tʼAmsterdam|1
Tyrnaviae|1
Typis ver Rigae Livonum|1
Tvrvsa|1
Tuusula|1
Turusa pränd|1
Turusa Johan Winterildä kuningda boktrdä suures ruhtinan maasa Suomes|1
Turusa Johan Winterildä cuningda boktrdä suures ruhtinan maasa Suomes|1
Turusa anomuxen jälkeen präntätyt|1
Turun kaupungisa|1
Turtle Lake Wis|1
Turku tai Viipuri|1
Turku ja Helsinki|1
Turasaprändätty|1
Tulkittu sures fangiuxes olles mutta painettu Stocholmisa|1
Ttyckti Abo|1
Tsingshi|1
Tryct i Åbo|1
TrycktiVpsala|1
Tryckt vthi Wästeråås|1
Tryckt vthi Stockholm|1
Tryckt samma åhr|1
Tryckt Dorpati Livonúm|1
Trycki Åbo|1
Trukketum Hernösandesne|1
Trondhjem|1
Tromsö|1
Torgelow|1
Tomsk|1
toisen kerran Turusa|1
Toholampi|1
Tockholmisa ja Turusa|1
Tikkurila|1
Thus|1
then konungzlige hufwudstaden Stockholm|1
Tervonsalmi|1
Terni|1
tê Gryfisbaldía Greifswald|1
Te Dordrecht|1
Te Amersfoort|1
Tavastgus|1
Tammela|1
Taipalsaari|1
t'Amsterdam|1
Svartå|1
Suonenjoki|1
Suomen niemen Turusa|1
Suobaci recusa|1
Suobaci|1
Sundsvall|1
Sudbury Ontario|1
Stukkolmis|1
Strengnesii|1
Strengnensii|1
Strasburg|1
Strasbourg|1
Stralsund|1
Stralesundii|1
Stokgol'm|1
Stockohlm|1
Stockholmisa ja Turvsa|1
Stockholmiae Sveonum|1
Stockholm Upsala und Åbo|1
Stockholm Upsala & Åbo|1
Stockholm på nytt|1
Stockholm aff Georg Hantsch Kongl booktr|1
Stockholm & Åbo|1
Stockh ja Turus|1
Stetini|1
Ståkkhålm|1
Ståkhålm|1
St Pietarissa|1
St Petersburgisa|1
St Peterborissa|1
St Peterborisa|1
St Petarborisa|1
St Louis Kaunti Minn|1
Sl 4b Viipurin läänin maatalouskomisioni|1
Sl|1
Simola|1
Siena|1
Serdobol|1
Schwerin|1
Savonlinnassa|1
Sauvo|1
Sarvlaks|1
Sandstone Minn|1
Salmi|1
Sakkola|1
Säkkijärvi|1
Saint Pétersbourg|1
S Peterburg' M Merkušev|1
S Peterburg' B Gosudarstvennaâ tipografìa|1
s a|1
Rotterdam|1
Rock Springs Wyo|1
Riga & Mietau|1
Reykjavík|1
Rewalisa|1
Revisa et recusa Aboae|1
Reikjavik|1
Regenspurg|1
Regensburg|1
Red Lodge Mont|1
Red Jacket Mich|1
Red Jacket MI|1
Recusa Aboae|1
Räwelisä|1
Ravenna|1
Rautio|1
Rautalampi|1
Rantasalmi|1
Raisio|1
Räisälä|1
Rääkkylä|1
Quedlinburg|1
Purleigh|1
Prunkkala|1
primo Upsaliae per Eschillum Matthiae a 1631 nunc recusum Stockholmiae|1
primo Rostochii nunc recusum Stockholmiae|1
Praze|1
Poznán|1
Portland OR|1
Port Arth Ont Can|1
Pori Otto Andersin|1
Pistoia|1
Pirkkala|1
Pinjainen|1
Piitem|1
Pietarporissa|1
Pieksämäki|1
Pesten|1
Perno|1
Perkjärvi|1
Perho|1
Pejteri|1
Paynettu Stockholisa|1
Paris chez le sr Desnos Rue St Jacques au globe 1766|1
Pani präntihin Turusa|1
Paimio|1
Padova|1
Oulunkylä|1
Oulainen|1
Ottawa Canada|1
Ottawa|1
Otavan asema|1
Östersund|1
Orismala|1
Orisberg|1
Orimattila|1
Örebroosa|1
Oniipa|1
och på mångas begäran ånyo uplagd i Åbo|1
Occidentalis Arhusae|1
Oahspe Home Letchworth|1
Nya Wasa|1
Nurmijärvi|1
Nummela|1
Nu på nytt vplagdt och tryckt i Vpsala|1
Norimberge|1
Nora|1
Noormarkku|1
Nokia|1
Neuchatel|1
Neu Ruppin|1
Neapel|1
Närpiö|1
Närpes|1
Nanaimo BC|1
Nagy Várad|1
Mutta nytt toisen kerran wastwdest Stockholmin|1
Mustasaari|1
Moscou|1
Moscoosa|1
Montpellier|1
Mitau und Leipzig|1
Minsk|1
Milwaukee WI|1
Messina|1
Marttila|1
Mäntyharju|1
Mänttä|1
Malmö|1
Magdeburg|1
Made and sold by George Willdey at the corner house in Ludgate street next St Pauls Church London|1
Macon|1
Maastricht|1
Maaninka|1
Lvtetiae Parisorvm|1
Luulaja|1
Lutetiae Parisiorum|1
Luleå|1
Lugd Batavorum|1
Londini|1
Loimijoki|1
Loimaa|1
Lohtaja|1
Lohja|1
Liverpoolissa|1
Lith i Åbo|1
Lisboa|1
Linköpingisä|1
Liège|1
Libau|1
Leitmeritz|1
Leipzig und Amsterdam|1
Leipsic|1
Le Mans|1
Lausanne|1
Landskrona|1
Lammi|1
Laihiala|1
La Haye|1
La Chapelle Montligeon|1
L'vìv|1
Kyrö|1
Kyôpenhaminassa|1
Kylmäkoski|1
Kvevlaks|1
Kuusankoski|1
Kurkijoki|1
Kuopio linnas|1
Kristinehamn|1
Korsnäs|1
Korsholm|1
Kolozsvár|1
kolmanen kerran Turusa|1
Kokemäki|1
Kodisjoki|1
Kjøbnehavn|1
