publisher	self_published	Count
Total count (na.rm TRUE): 	60807	
WSOY	FALSE	2881
Frenckell, Johan Christopher II	FALSE	2205
Otava 	FALSE	2188
Londicer, Georg Wilhelm	FALSE	2100
Frenckell, Johan Christopher I	FALSE	1742
Wall, Johan Larsson	FALSE	1266
Söderström 	FALSE	1207
Edlund	FALSE	1066
Kämpe, Johan	FALSE	 987
Hansson, Peter	FALSE	 982
Merckell, Jacob	FALSE	 960
G.W. Edlunds Förlag	FALSE	 919
Suomalaisen Kirjallisuuden Seura	FALSE	 899
Winter, Johan	FALSE	 886
Författarens förlag	FALSE	 839
Karisto	FALSE	 662
J.C. Frenckell ja poika	FALSE	 517
Londicer, Carl Anton	FALSE	 500
Raittiuden ystävät	FALSE	 480
Wald, Peder Eriksson	FALSE	 477
Carlbohm, Johan Arvid	FALSE	 453
Yrjö Weilin 	FALSE	 444
Weilin & Göös 	FALSE	 433
Gummerus 	FALSE	 433
Johan Christopher Frenckellin leski	FALSE	 427
Kansanvalistusseura	FALSE	 350
Kirja	FALSE	 344
Suomen lähetysseura	FALSE	 316
Wilén	FALSE	 307
Frenckell'in kp	FALSE	 290
Kansanvalistus-seura	FALSE	 271
Helios 	FALSE	 249
Isak Julin	FALSE	 248
Holm	FALSE	 244
K.E. Holms förlag	FALSE	 241
Finska Vetenskapssocieteten	FALSE	 231
Henric Christopher Merckellin leski	FALSE	 228
Senaten	FALSE	 222
Londicerin leski	NA	 214
Edlundska Bokhandeln 	FALSE	 203
Suomen luth. evank.-yhdistys	FALSE	 194
Schildt 	FALSE	 188
Suomalainen Tiedeakatemia	FALSE	 182
Hagelberg	FALSE	 181
Svenska litteratursällskapet i Finland	FALSE	 178
Bonnier	FALSE	 178
Sällskapet för Finlands geografi	FALSE	 175
Edman, Johan	FALSE	 168
Fougt, Elsa	FALSE	 162
Werner, Johan Henric	FALSE	 161
Salvius, Lars	FALSE	 155
W. Toivonen	FALSE	 151
Kansa	FALSE	 148
Merckell, Henric Christopher	FALSE	 144
Societatis pro fauna et flora Fennica	FALSE	 142
Flodström, Eric	FALSE	 142
W. Hagelstam 	FALSE	 139
Werner Söderström	FALSE	 137
Momma, Peter	FALSE	 137
Lutherska Evangeliföreningen	FALSE	 136
Työväen sanomalehti	FALSE	 130
Character(0)	FALSE	 126
Universitet	NA	 125
Clouberg	FALSE	 120
Suomen Historiallinen seura	FALSE	 119
Lilius & Hertzberg 	FALSE	 119
Otto Andersinin kp	FALSE	 118
Merckell, Henric Christopher	 TRUE	 116
Meurer, Ignatius	FALSE	 115
Suomentaja	FALSE	 113
Kuopion uusi kp	FALSE	 111
G.W. Wilén	FALSE	 109
Valistus	FALSE	 108
Teosofinen kirjakauppa	FALSE	 106
KS kp	FALSE	 105
Suomalais-amerikkalainen kustannus	FALSE	 105
Carlbohm, Arvid	FALSE	 101
Beijers förlag	FALSE	 100
U.W. Telén & Co	FALSE	  99
Sortavalan evank. seura	FALSE	  99
Björckman, Anders	FALSE	  98
Finska Litteratur-Sällskapets Tryckeri	FALSE	  95
Svenska Folkskolans Vänner	FALSE	  93
Pellervo	FALSE	  91
Akademiska Bokhandeln 	FALSE	  88
Voen. Top. Depo	NA	  87
Karjalan kirjakauppa	FALSE	  82
Toimittaja	FALSE	  82
Societas geographica Fenniae	FALSE	  80
Suomi Kustannus	FALSE	  80
Vihtori Kosonen	FALSE	  80
Tryckt hos P.A. Norstedt & Söner	FALSE	  78
Weilin ja Göös	FALSE	  78
Rauman kp	FALSE	  77
Suomen Naisyhdistys	FALSE	  75
Vogel, Johann	FALSE	  75
Suomen merimieslähetysseura	FALSE	  74
Yrjö Weilin & Coumpp	FALSE	  74
Finska Missionssällskapet	FALSE	  73
Mattsson, Eskil	FALSE	  73
Akademiska Bokhandeln, jakaja	FALSE	  72
Rauman Kirjapaino-osake	FALSE	  70
Nya Pressen	FALSE	  70
Nyström, Petter Jöransson	FALSE	  70
Brendeken, Johann	FALSE	  67
Folkupplysningssällskapet	FALSE	  65
Telén	FALSE	  64
Societas scientiarum Fennicae	FALSE	  64
Suomen senaatti	FALSE	  64
Suomen maanviljelystaloudellinen koelaitos	FALSE	  63
Horrn, Johan Laurentius I	FALSE	  63
Finsk-ugriska Sällskapet	FALSE	  61
K.J. Gummerus	FALSE	  60
Peder Eriksson Waldin leski	FALSE	  60
Keyser, Henric II	FALSE	  60
Lutherilainen Evankeliumi	FALSE	  59
Satakunnan kirjakauppa	FALSE	  59
Sampo	FALSE	  59
Aikain Vartijas förlag	FALSE	  58
Wickström 	FALSE	  57
Barck	FALSE	  56
Suomen kirkon sisälähetysseura	FALSE	  55
U.W. Telén	FALSE	  54
Holger Schildts förlag	FALSE	  54
Sortavalan evankelinen seura	FALSE	  54
