original	polished	Count
WSOY	wsoy	2917
Otava	otava	2168
[G. W. Londicer]	w londicer	1823
[J. C. Frenckell]	c frenckell	1207
Söderström	söderström	1188
typis Frenckellianis	frenckellianis	1178
Edlund	edlund	979
G. W. Edlund	w edlund	896
Karisto	karisto	663
Suomalaisen Kirjallisuuden Seura	suomalaisen kirjallisuuden seura	531
[C. A. Londicer]	c londicer	483
Raittiuden ystävät	raittiuden ystävät	450
Yrjö Weilin	yrjö weilin	436
Gummerus	gummerus	432
Weilin & Göös	Weilin & Göös	421
[Johan Winter]	johan winter	369
Kansanvalistusseura	Kansanvalistusseura	326
[Johan Larsson Wall]	johan larsson wall	274
Kansanvalistus-seura	kansanvalistus seura	271
Frenckell	frenckell	266
[Peter Hansson]	peter hansson	250
Isak Julin	isak julin	249
Wilén	wilén	244
Senaten	senaten	232
Helios	helios	229
Holm	holm	227
K. E. Holm	k e holm	225
Suomen lähetysseura	suomen lähetysseura	224
Kirja	kirja	215
excudebat Petrus Wald, Acad. typogr.	petrus wald acad typogr	214
impressit direct. & typogr. reg. magn. duc. Finland. Jacob Merckell	typogr reg magn duc finland jacob merckell	198
Schildt	schildt	187
[J. C. Frenckells änka]	c frenckells änka	185
[G. W. Londicers änka]	w londicers änka	181
Suomen luth. evank.-yhdistys	suomen luth evank yhdistys	175
Bonnier	bonnier	173
Sällskapet för Finlands geografi	sällskapet för finlands geografi	170
Finska Vetenskapssocieteten	finska vetenskapssocieteten	167
Hagelberg	hagelberg	164
Clouberg	clouberg	161
W. Toivonen	w toivonen	145
tryckt hos Johan Christopher Frenckell	johan christopher frenckell	141
impressit Joh. Christoph. Frenckell	joh christoph frenckell	136
Universitet	universitet	125
[Frenckell]	frenckell	123
Kongl. tryckeriet	kongl tryckeriet	118
Svenska litteratursällskapet i Finland	svenska litteratursällskapet i finland	118
[Suomalaisen Kirjallisuuden Seura]	suomalaisen kirjallisuuden seura	117
Werner Söderström	werner söderström	116
Kansa	kansa	112
[Johan Wall]	johan wall	112
Otto Andersin	otto andersin	110
KS	ks	110
Lutherska Evangeliföreningen	lutherska evangeliföreningen	109
typis Frenckelliorum	frenckelliorum	108
excusa â Petro Hansonio Acad. typ.	â petro hansonio acad typ	108
in officina Frenckelliana	officina frenckelliana	105
G. W. Wilén	w wilén	103
Valistus	valistus	103
Suomalainen Tiedeakatemia	suomalainen tiedeakatemia	100
Teosofinen kirjakauppa	teosofinen kirjakauppa	99
Societatis pro fauna et flora Fennica	societatis pro fauna flora fennica	95
Pellervo	pellervo	92
U. W. Telén & C:o	u w telén c o	92
exc. Jo. Wal.	jo wal	92
Edlundska bokhandeln, distr.	edlundska bokhandeln distr	91
Lilius & Hertzberg	lilius hertzberg	90
tryckt i Frenckellska boktryckeriet	frenckellska boktryckeriet	90
Kuopion uusi kirjapaino	kuopion uusi kirjapaino	89
Voen. Top. Depo	voen top depo	87
Sortavalan evank. seura	sortavalan evank seura	87
Societas pro fauna et flora Fennica	societas pro fauna flora fennica	85
Suomentaja	suomentaja	85
Suomalainen tiedeakatemia	suomalainen tiedeakatemia	85
Kustannusoy. Kirja	kustannusoy kirja	83
Edlundska Bokhandeln, distr.	edlundska bokhandeln distr	81
prändätty Frenckellin kirjan-prändisä	frenckellin kirjan prändisä	80
Societas geographica Fenniae	societas geographica fenniae	79
präntätty Kuningallisesa suomalaisesa präntisä	kuningallisesa suomalaisesa präntisä	79
Beijer	beijer	78
Karjalan kirjakauppa	karjalan kirjakauppa	78
Toimittaja	toimittaja	77
Suomen Historiallinen seura	suomen historiallinen seura	77
Weilin ja Göös	Weilin & Göös	75
typis Johannis Christophori Frenckell	johannis christophori frenckell	75
[J. Kämpe]	kämpe	74
tryckt af Joh. Kiämpe, Kongl. acad. boktr.	joh kiämpe kongl acad boktr	74
Telén	telén	73
[J. Merckell]	merckell	73
Vihtori Kosonen	vihtori kosonen	72
Suomen merimieslähetysseura	suomen merimieslähetysseura	71
Suomalais-amerikkalainen kustannusyhtiö	suomalais amerikkalainen kustannusyhtiö	70
[Nya Pressen]	nya pressen	69
Rauman kirjapaino-osakeyhtiö	rauman kirjapaino osakeyhtiö	68
tryckt hos Joh. Christoph. Frenckell	joh christoph frenckell	68
Suomalaisen Kirjallisuuden seura	suomalaisen kirjallisuuden seura	68
[Johan Kämpe]	johan kämpe	68
W. Hagelstam	w hagelstam	67
Rauman kirjapaino	rauman kirjapaino	64
[Finska Litteratur-sällskapets tryckeri]	finska litteratur sällskapets tryckeri	63
tryckt i Kongl. tryckeriet	kongl tryckeriet	62
Työväen sanomalehti-o.y.	työväen sanomalehti oy	62
Societas scientiarum Fennicae	societas scientiarum fennicae	62
Yrjö Weilin & Kumpp.	yrjö weilin kumpp	61
P. A. Norstedt & Söner	p norstedt söner	60
Satakunnan kirjakauppa	satakunnan kirjakauppa	59
Suomen senaatti	suomen senaatti	56
tryckt hos J. C. Frenckell	c frenckell	56
impr. apud Jo. Wallium	apud jo wallium	56
Suomalaisen kirjallisuuden seura	suomalaisen kirjallisuuden seura	55
K. J. Gummerus	k gummerus	55
Barck	barck	55
Sampo	sampo	55
Suomen Lähetysseura	suomen lähetysseura	54
Suomalaisen Kirjallisuuden Seuran kirjapaino	suomalaisen kirjallisuuden seuran kirjapaino	53
Holger Schildt	holger schildt	52
Työväen sanomalehti	työväen sanomalehti	52
Finska Missionssällskapet	finska missionssällskapet	52
Suomen kirkon sisälähetysseura	suomen kirkon sisälähetysseura	52
impressit Johannes Christophorus Frenckell	johannes christophorus frenckell	52
[Jacob Merckell]	jacob merckell	52
tryckt af Joh. Kiämpe Kongl. acad. boktr.	joh kiämpe kongl acad boktr	52
Lutherilainen Evankeliumi-yhtiö	lutherilainen evankeliumi yhtiö	51
J. C. Frenckell	c frenckell	50
Suomalais-ugrilainen seura	suomalais ugrilainen seura	50
Henkivakuutusyhtiö Suomi	henkivakuutusyhtiö suomi	50
F. Vetenskapssocieteten	f vetenskapssocieteten	50
Herättäjä	herättäjä	49
exc. apud Joh. L. Wallium, A. t.	apud joh l wallium t	49
Victor Hoving	victor hoving	48
Clouberg ja K.	clouberg k	48
U. W. Telén ja K.	u w telén k	48
Boman ja Karlsson	boman karlsson	48
Svenska Folkskolans Vänner	svenska folkskolans vänner	48
impressa â Petro Hansonio Acad. typ.	â petro hansonio acad typ	48
[H. C. Merckell]	h c merckell	48
Gosudarstvennaâ tipografìâ	gosudarstvennaâ tipografìâ	47
Folkupplysningssällskapet	folkupplysningssällskapet	47
Suomen Naisyhdistys	suomen naisyhdistys	46
Lähetyskirjakauppa	lähetyskirjakauppa	46
U. W. Telén	u w telén	46
K. Malmström	k malmström	46
Sällskapet Pellervo	sällskapet pellervo	45
Tidn.- & tryckeriaktiebol.	tidn tryckeriaktiebol	45
[J. Wall]	wall	45
tryckt af Georg Wilhelm Londicer	georg wilhelm londicer	44
