original	polished	Count
Total count: 	9736	
[s.n.]		1219
WSOY		 381
Otava		 316
[G. W. Londicer]	Londicer, Georg Wilhelm	 251
Tekijä		 200
Söderström		 166
G. W. Edlund		 142
Edlund		 138
typis Frenckellianis	Frenckell, Johan Christopher II	 111
[J. C. Frenckell]	Frenckell, Johan Christopher I	  99
Karisto		  87
Suomalaisen Kirjallisuuden Seura		  82
Förf.		  77
[C. A. Londicer]	Londicer, Carl Anton	  69
Weilin & Göös		  61
Raittiuden ystävät		  59
[J. C. Frenckell]	Frenckell, Johan Christopher II	  59
Yrjö Weilin		  57
[Johan Winter]	Winter, Johan	  56
Kansanvalistusseura		  50
typis Frenckellianis	J. C. Frenckell ja poika	  44
Wilén		  42
Gummerus		  39
Senaten		  36
Frenckell		  35
Bonnier		  35
Kansanvalistus-seura		  35
[Johan Larsson Wall]	Wall, Johan Larsson	  35
impressit direct. & typogr. reg. magn. duc. Finland. Jacob Merckell	Merckell, Jacob	  34
excudebat Petrus Wald, Acad. typogr.	Wald, Peder Eriksson	  33
Holm		  32
Kirja		  31
K. E. Holm		  31
[Peter Hansson]	Hansson, Peter	  31
Isak Julin		  29
Schildt		  28
Helios		  27
W. Toivonen		  26
Finska Vetenskapssocieteten		  25
impressit Joh. Christoph. Frenckell	Frenckell, Johan Christopher I	  24
Werner Söderström		  24
Författare		  24
[J. C. Frenckells änka]	Johan Christopher Frenckellin leski	  24
[Tekijä]		  23
[G. W. Londicers änka]	Londicerin leski	  22
Hagelberg		  22
Suomen luth. evank.-yhdistys		  22
Suomen lähetysseura		  21
tryckt hos Johan Christopher Frenckell	Frenckell, Johan Christopher I	  21
[Johan Wall]	Wall, Johan Larsson	  20
Lilius & Hertzberg		  20
KS		  20
Pellervo		  20
in officina Frenckelliana	Frenckell, Johan Christopher II	  19
Sällskapet för Finlands geografi		  19
Societatis pro fauna et flora Fennica		  18
Clouberg		  18
Universitet		  18
exc. Jo. Wal.	Wall, Johan Larsson	  16
Suomen Historiallinen seura		  16
Societas pro fauna et flora Fennica		  16
Otto Andersin		  15
[Suomalaisen Kirjallisuuden Seura]		  15
Suomen merimieslähetysseura		  15
Kansa		  15
prändätty Frenckellin kirjan-prändisä	Frenckell, Johan Christopher II	  15
tryckt af Joh. Kiämpe, Kongl. acad. boktr.	Kämpe, Johan	  15
Teosofinen kirjakauppa		  14
Barck		  14
typis Frenckelliorum	J. C. Frenckell ja poika	  14
[Frenckell]	Frenckell, Johan Christopher II	  13
tryckt i Frenckellska boktryckeriet	Frenckell, Johan Christopher II	  13
Kustannusoy. Kirja		  13
Suomalainen Tiedeakatemia		  13
Toimittaja		  13
[Johan Kämpe]	Kämpe, Johan	  13
Svenska litteratursällskapet i Finland		  13
Beijer		  12
Lutherska Evangeliföreningen		  12
[J. Merckell]	Merckell, Jacob	  12
excusa â Petro Hansonio Acad. typ.	Hansson, Peter	  12
Vihtori Kosonen		  12
Kuopion uusi kirjapaino		  11
P. A. Norstedt & Söner		  11
Suomen senaatti		  11
K. J. Gummerus		  11
Sederholm		  11
Suomalainen tiedeakatemia		  11
[J. Kämpe]	Kämpe, Johan	  11
tryckt hos direct. Lars Salvius	Salvius, Lars	  11
Henkivakuutusyhtiö Suomi		  11
Weilin ja Göös		  11
U. W. Telén & C:o		  11
excud. Joh. Kaempe, Reg. Acad. typ.	Kämpe, Johan	  10
Karjalan kirjakauppa		  10
Telén		  10
Societas geographica Fenniae		  10
Suomentaja		  10
Kongl. tryckeriet	Fougt, Elsa	  10
Holger Schildt		  10
Voen. Top. Depo		  10
Suomen maanviljelys-taloudellinen koelaitos		   9
Työväen sanomalehti		   9
Folkupplysningssällskapet		   9
Lähetyskirjakauppa		   9
G. W. Wilén		   9
Suomalaisen Kirjallisuuden seura		   9
Rauman kirjapaino		   9
Yrjö Weilin & Kumpp.		   9
K. Malmström		   9
W. Hagelstam		   9
[Finska Litteratur-sällskapets tryckeri]		   9
Edlundska Bokhandeln, distr.		   8
Sortavalan evank. seura		   8
Gosudarstvennaâ tipografìâ		   8
Societas scientiarum Fennicae		   8
tryckt af Joh. Kiämpe Kongl. acad. boktr.	Kämpe, Johan	   8
U. W. Telén		   8
Finska Missionssällskapet		   8
OWB		   8
Suomalais-amerikkalainen kustannusyhtiö		   8
Finskugriska sällskapet		   8
Boman ja Karlsson		   8
prändätyt G. W. Londicerildä	Londicer, Georg Wilhelm	   8
tryckt i Kongl. tryckeriet	Fougt, Elsa	   8
Rauman kirjapaino-osakeyhtiö		   8
Suomalais-ugrilainen seura		   8
Suomen kalastusyhdistys		   7
Lääkintöhallitus		   7
excud. Joh. Kiaempe, Reg. Acad. typogr.	Kämpe, Johan	   7
Clouberg ja K.		   7
impressa apud viduam Reg. Acad. typ. J. C. Frenckell	Johan Christopher Frenckellin leski	   7
Kaleva		   7
Valistus		   7
literis Wernerianis	Werner, Johan Henric	   7
af Iohan Winter, kongl. booktr.	Winter, Johan	   7
Sampo		   7
Wentzel Hagelstam		   7
excudebat Petrus Wald Acad. typogr.	Wald, Peder Eriksson	   7
Suomalaisen kirjallisuuden seura		   7
Suomen historiallinen seura		   7
Geologiska kommissionen		   7
impr. apud Jo. Laurentii Wallium	Wall, Johan Larsson	   7
Satakunnan kirjakauppa		   7
Victor Hoving		   7
tryckt af Georg Wilhelm Londicer	Londicer, Georg Wilhelm	   7
Herättäjä		   7
ex officina typographica Frenckelliana	J. C. Frenckell ja poika	   7
tryckt hos Joh. Christoph. Frenckell	Frenckell, Johan Christopher I	   7
impressa â Petro Hansonio Acad. typ.	Hansson, Peter	   6
Boman & Karlsson		   6
Författaren		   6
[Vårt Land]		   6
H. Fougt	Fougt, Henrik I	   6
Evankelinen kustannusliike		   6
Suomen Lähetysseura		   6
imprimebat Petrus Wald, Acad. typ.	Wald, Peder Eriksson	   6
Toivonen		   6
impr. apud Jo. Wallium	Wall, Johan Larsson	   6
[Nya Pressen]		   6
impressa â Petro Hansonio, Acad. typog.	Hansson, Peter	   6
tryckt hos Lars Salvius	Salvius, Lars	   6
[Jacob Merckell]	Merckell, Jacob	   6
Edlundska bokhandeln, distr.		   6
Tidn.- & tryckeriaktiebol.		   6
Suomen kirkon sisälähetysseura		   6
C. J. Bergström		   6
Suomen kylvösiemenyhdistys		   6
Finlands Svenska Nykterhetsförbund		   6
Société néophilologique		   6
exc. Joh. Kiämpe, R. Ac. typ.	Kämpe, Johan	   6
Utg.		   6
J. Merckell	Merckell, Jacob	   6
Svenska Folkskolans Vänner		   6
K. F. Kivekäs		   5
Osuuskunta Kehitys		   5
excud. Joh. Kiaempe, Reg. Acad. typ.	Kämpe, Johan	   5
Suomen Naisyhdistys		   5
impressit Johannes Christophorus Frenckell	Frenckell, Johan Christopher I	   5
[Öfverstyrelsen för landtmäteriet]		   5
Sällskapet Pellervo		   5
G. M. Giescke		   5
Wahlström & Widstrand		   5
excusa â Petro Hansonio Acad. typogr.	Hansson, Peter	   5
M. V. Vuolukka		   5
excud. Joh. Kiämpe Reg. Acad. typ.	Kämpe, Johan	   5
prändätty Cuning:sesa suomalaisesa präntisä	Carlbohm, Johan Arvid	   5
tryckt hos J. C. Frenckell & son	J. C. Frenckell ja poika	   5
Pyh. Sergein ja Hermanin veljeyskunta		   5
Länkelä		   5
typis Johannis Christophori Frenckell	Frenckell, Johan Christopher I	   5
Simelius		   5
U. W. Telén ja K.		   5
[Finska Metallindustrins Arbetsgifvareförbund]		   5
Finsk-ugriska sällskapet		   5
Söderström & C:o		   5
excudebat Petrus Hansonius Acad. typ.	Hansson, Peter	   5
P. A. Norstedt & söner		   5
[H. C. Merckell]	Merckell, Henric Christopher	   5
Frenckell :;Edlund		   5
impressit direct. & typogr. reg. mag. duc. Finland. Jacob Merckell	Merckell, Jacob	   5
Nykterhetens vänner		   5
tryckt hos J. C. Frenckell	Frenckell, Johan Christopher I	   5
tryckt uti Kongl. tryckeriet	Momma, Peter	   5
Akateeminen kirjakauppa		   5
Tilgmann		   5
impr. apud Joh. Wallium, A. t.	Wall, Johan Larsson	   5
tryckt hos directeuren och kongl. boktryckaren i stor-förstendömet Finland, Jacob Merckell	Merckell, Jacob	   5
Kongl. tryckeriet	Momma, Peter	   5
excudebat Petrus Wald, Acad. typog	Wald, Peder Eriksson	   5
Chr. Ev. Barck		   5
[Peder Eriksson Wald]	Wald, Peder Eriksson	   5
[Evald Ziervogel]	Ziervogel, Evald	   5
Emil Vainio		   5
Folkupplysningssällkapet		   5
hoos Ignatium Meurer	Meurer, Ignatius	   4
excusa â Petro Hansonio	Hansson, Peter	   4
Lillja :;Wilén		   4
prändätty J. C. Frenckellildä	Frenckell, Johan Christopher I	   4
[C. W. Gyldén]		   4
Maanviljelyshallitus		   4
[ s. n. ]		   4
Suomalaisen Kirjallisuuden Seuran kirjapaino		   4
[Kongl. tryckeriet]	Momma, Peter	   4
Lillja		   4
P. Tikkanen		   4
Työväen sanomalehti-o.y.		   4
Työmiehen kustannusyhtiö		   4
Sammon kp.		   4
