publisher	Count
[s.n.]	8142
WSOY	2917
Otava	2168
[G. W. Londicer]	1803
Tekijä	1555
Söderström	1188
[J. C. Frenckell]	1127
Edlund	 979
G. W. Edlund	 894
Karisto	 663
Suomalaisen Kirjallisuuden Seura	 531
Förf.	 508
[C. A. Londicer]	 468
Raittiuden ystävät	 450
Yrjö Weilin	 436
Gummerus	 432
Weilin & Göös	 421
Kansanvalistusseura	 326
Kansanvalistus-seura	 271
Frenckell	 264
Isak Julin	 249
Wilén	 244
Författare	 234
Senaten	 232
typis Frenckellianis	 230
Helios	 229
Holm	 227
K. E. Holm	 225
Suomen lähetysseura	 224
Kirja	 215
Schildt	 187
[J. C. Frenckells änka]	 184
[G. W. Londicers änka]	 181
Suomen luth. evank.-yhdistys	 175
Bonnier	 172
Sällskapet för Finlands geografi	 170
Finska Vetenskapssocieteten	 167
Hagelberg	 164
Clouberg	 161
W. Toivonen	 145
[Tekijä]	 135
Universitet	 125
Svenska litteratursällskapet i Finland	 118
Werner Söderström	 116
[Suomalaisen Kirjallisuuden Seura]	 115
Kansa	 112
KS	 110
Otto Andersin	 110
Lutherska Evangeliföreningen	 109
Valistus	 103
G. W. Wilén	 103
Kongl. tryckeriet	 102
Suomalainen Tiedeakatemia	 100
Teosofinen kirjakauppa	  99
Societatis pro fauna et flora Fennica	  95
U. W. Telén & C:o	  92
Pellervo	  92
Edlundska bokhandeln, distr.	  91
Lilius & Hertzberg	  90
Kuopion uusi kirjapaino	  89
Voen. Top. Depo	  87
Sortavalan evank. seura	  87
tryckt hos Johan Christopher Frenckell	  86
Societas pro fauna et flora Fennica	  85
Suomalainen tiedeakatemia	  85
Suomentaja	  85
Kustannusoy. Kirja	  83
Edlundska Bokhandeln, distr.	  81
Societas geographica Fenniae	  79
Beijer	  78
Karjalan kirjakauppa	  78
Suomen Historiallinen seura	  77
Toimittaja	  77
Weilin ja Göös	  75
Telén	  73
[J. Kämpe]	  73
Vihtori Kosonen	  72
Suomen merimieslähetysseura	  71
Suomalais-amerikkalainen kustannusyhtiö	  70
[Nya Pressen]	  69
tryckt af Joh. Kiämpe, Kongl. acad. boktr.	  69
Rauman kirjapaino-osakeyhtiö	  68
Suomalaisen Kirjallisuuden seura	  68
W. Hagelstam	  67
[J. Merckell]	  67
Rauman kirjapaino	  64
[Finska Litteratur-sällskapets tryckeri]	  63
Societas scientiarum Fennicae	  62
Työväen sanomalehti-o.y.	  62
Yrjö Weilin & Kumpp.	  61
P. A. Norstedt & Söner	  60
Satakunnan kirjakauppa	  59
Suomen senaatti	  56
Sampo	  55
Suomalaisen kirjallisuuden seura	  55
K. J. Gummerus	  55
Barck	  54
Suomen Lähetysseura	  54
Suomalaisen Kirjallisuuden Seuran kirjapaino	  53
[Johan Kämpe]	  53
Finska Missionssällskapet	  52
Holger Schildt	  52
Työväen sanomalehti	  52
Suomen kirkon sisälähetysseura	  52
Lutherilainen Evankeliumi-yhtiö	  51
tryckt af Joh. Kiämpe Kongl. acad. boktr.	  51
F. Vetenskapssocieteten	  50
Suomalais-ugrilainen seura	  50
Henkivakuutusyhtiö Suomi	  50
Herättäjä	  49
tryckt i Kongl. tryckeriet	  49
Boman ja Karlsson	  48
U. W. Telén ja K.	  48
Svenska Folkskolans Vänner	  48
Victor Hoving	  48
Clouberg ja K.	  48
Gosudarstvennaâ tipografìâ	  47
Folkupplysningssällskapet	  47
K. Malmström	  46
Suomen Naisyhdistys	  46
U. W. Telén	  46
Lähetyskirjakauppa	  46
[Johan Winter]	  46
Sällskapet Pellervo	  45
Tidn.- & tryckeriaktiebol.	  45
tryckt hos J. C. Frenckell	  43
Toivonen	  42
Kaleva	  42
Sederholm	  42
Palander	  41
[Vårt Land]	  41
Utgifvaren	  41
Työmiehen kustannusyhtiö	  41
tryckt af Georg Wilhelm Londicer	  41
Nykterhetens vänner	  40
tryckt i Frenckellska boktryckeriet	  40
OWB	  39
Finskugriska sällskapet	  39
Författaren	  39
Finsk-ugriska sällskapet	  39
tryckt hos Joh. Christoph. Frenckell	  39
N. M. Lindh	  38
Utg.	  38
Albert Bonnier	  38
Boman & Karlsson	  37
Kansan lehti	  37
Wickström	  37
Lillja :;Wilén	  36
Wentzel Hagelstam	  36
Maanviljelyshallitus	  36
in officina Frenckelliana	  36
Geologiska kommissionen	  35
[Peter Hansson]	  34
Simelius	  33
Alfred Lagerbom	  33
Suomen maanviljelystaloudellinen koelaitos	  33
Osuuskunta Kehitys	  33
Sortavalan evankelinen seura	  33
tryckt hos Lars Salvius	  33
[Jacob Merckell]	  33
[Öfverstyrelsen för landtmäteriet]	  32
[C. W. Gyldén]	  32
Aschan	  32
Finlands Svenska Nykterhetsförbund	  32
Edlundska Bokhandeln, jakaja	  32
Suomen naisyhdistys	  32
Pelastusarmeijan päämaja	  32
[J. Wall]	  32
Svenska folkskolans vänner	  31
GEJ	  31
[Svenska litteratursällskapet i Finland]	  31
Société néophilologique	  31
Suomen historiallinen seura	  31
J. C. Frenckell	  30
Söderström & C:o	  29
Tilgmann	  29
Pečatan' pri Admiraltejskoj Kollegïi v' Tipografïi morskago šlâhetnago kadetskago Korpusa	  29
Naisasialiitto Unioni	  28
P. A. Norstedt & söner	  28
Hagelstam	  28
G. M. Giescke	  28
Akateeminen kirjakauppa	  28
Suom.-amer. kustannusyhtiö	  28
[Londicer]	  27
Olan	  27
Statens kommission för huslig ekonomi	  27
Suomen kalastusyhdistys	  27
Suomen kylvösiemenyhdistys	  27
Suomen metsänhoitoyhdistys	  27
Emil Vainio	  27
P. Momma	  27
Alex. Lundström	  26
Gyldendalske Boghandel Nordisk Forlag	  26
Lutherska evangeliföreningen	  26
Gust. Ronelius	  26
Finska missionssällskapet	  26
C. J. Bergström	  26
Työväen kp.	  26
Suomen maanviljelys-taloudellinen koelaitos	  26
Tampereen työväen sanomalehti	  26
Valtion kotitaloustoimikunta	  26
Evankelinen kustannusliike	  26
tryckt i kongl. tryckeriet	  26
excudebat Petrus Wald, Acad. typogr.	  26
s.n.	  26
[ s. n. ]	  25
Osuuskunta Wäinämöinen	  25
Wahlström & Widstrand	  25
