Name	Count
NA (1781-1855)	32
NA (1863-1915)	4
NA (1825-1892)	3
NA (1796-1875)	3
Rosberg, J E	2
NA (1849-1923)	2
Forsman, Juho Rudolf	2
Erikson, Maria	2
Wallgren, Axel	1
Summa, Vilho	1
Snellman, H (1864-1924)	1
Seligson, Salomon	1
Sandelin, Torsten	1
Rosberg, Johan Evert	1
Palmberg, Bertil Albert	1
NA (1890-1958)	1
NA (1886-1950)	1
NA (1873-1943)	1
NA (1871-1906)	1
NA (1869-1949)	1
NA (1869-1947)	1
NA (1868-1934)	1
NA (1860-1909)	1
NA (1852-1919)	1
NA (1850-1930)	1
NA (1849-1917)	1
NA (1832-1896)	1
NA (1826-1896)	1
NA (1824-1895)	1
NA (1814-1894)	1
Mellberg, Bruno	1
Lindstedt, Wilhelm (1838-1915)	1
Lindfors, Akseli	1
Lindberg, John Gustaf	1
Koskinen, J E	1
Karvonen, Juhana Jaakko	1
Karsten, Henrik (1877-1959)	1
Ignatius, K E F	1
Hermanson, Berta	1
Helle, Juhana Augustinus	1
Heinrichs, Alfred	1
Heinonen, Verner	1
Hammar, Rauha	1
Forsman, Anton Oskar	1
Flinck, Johan August	1
Engelberg, Kaarlo	1
Engel, Abraham	1
Engdahl, John	1
Charpentier, Axel (1865-1949)	1
Boehm, Emil	1
Backlund, R J	1
Andersson, G A	1
Ahlman, Erik (1892-1952)	1
