X1	X2	Count
Författaren	NA	2
Författaren	Kronman, A.	2
Författaren	Fabritius, Ernst	2
Författaren	Wartiainen, August.	1
Författaren	Vasenius, Valfrid.	1
Författaren	Smirnoff, Alexandra.	1
Författaren	Nordman, E. Aug.	1
Författaren	Neovius, Arvid.	1
Författaren	Nicolson, William.	1
Författaren	Neovius, L.	1
Författaren	Modeen, Hjalmar.	1
Författaren	Lönnbeck, Waldemar.	1
Författaren	Löfström, Theodor.	1
Författaren	Louise.	1
Författaren	Londen, Oskar.	1
Författaren	Lindroos, Karl.	1
Författaren	Lindman, Volmar	1
Författaren	Lindholm, Artur J.	1
Författaren	Lindén, Georg.	1
Författaren	Lemström, Selim	1
Författaren	Laurén, Walter.	1
Författaren	Lagerblad, Elis.	1
Författaren	Kurtén, Lennart.	1
Författaren	Kurtén, Karl.	1
Författaren	Kolster, Rud.	1
[Författaren]	Komppa, Gust.	1
Författaren	Klockars, Johannes	1
Författaren	Johansson, Erik	1
Författaren	Jansson, E.	1
[Författaren]	Hougberg, Emil.	1
Författaren	Holmberg, Mårten.	1
[Författaren]	Holmberg, Mårten.	1
FÖrfattaren	Hagfors, K. J.	1
Författaren	Hagfors, Edwin.	1
Författaren	Heikel, Viktor	1
[författaren]	Heikel, Viktor	1
Författaren	Frosterus, Benj.	1
Författaren	Edvin.	1
Författaren	Collan, Valter.	1
Författaren	Trygg, Alli.	1
Författaren	Westlin, F. R.	1
printed for the author	Ståhlberg, George G.	1
