Name	Count
Total count (na.rm TRUE): 	5838
Ruotsi	907
Vaasan lääni	904
Suomi	695
Turun ja Porin lääni	412
Turku	180
Helsinki	155
Kreikka	 93
Pohjoismaat	 92
Rooman valtakunta	 81
Uppsala	 80
Tukholma	 62
Turun ja Porin lääni;Ahvenanmaa	 62
Pohjanmaa	 61
Ruotsi;Venäjä	 51
Tartto	 39
Kyminkartanon lääni	 34
Eurooppa	 33
Oulun lääni	 31
Uudenmaan ja Hämeen lääni	 30
Suomenlahti	 28
Viipuri	 27
Uusimaa	 26
Pietarsaari	 25
Ilmola	 24
Suomi;Ruotsi	 24
Ruotsi;Suomi	 23
Lapväärtti	 22
Tampere	 22
Venäjä	 22
Suomi;Ruotsi;Norja;Tanska	 20
Pohjanlahti	 19
Ahvenanmaa	 18
Itämeri	 18
Kaskinen	 18
Porvoo	 17
Hamina	 16
Narva	 16
Oulu	 16
Vaasa	 16
Heinola	 15
Karjala	 15
Laihia	 15
Lappi	 15
Häme	 14
Suomi;Venäjä	 14
Wittenberg	 14
Göteborg	 13
Kreikka;Ruotsi	 13
Kuopion lääni	 12
Pohjois-Amerikka	 12
Preussi	 12
Saimaa	 12
Skaraborg	 12
Hämeenlinna	 11
Karlskrona	 11
Turun lääni	 11
Saaristomeri;Turun saaristo	 10
Pori	  9
Uusikaupunki	  9
Jönköping	  8
Kuopio	  8
Loviisa	  8
Mikkeli	  8
Rostock	  8
Vänersborg	  8
Hämeen lääni	  7
Kulosaari;Helsinki	  7
Pohjanmaa;Länsipohja	  7
Rauma	  7
Ruotsi;Pietarsaari	  7
Ruotsinsalmi	  7
Satakunta	  7
Sortavala	  7
Ilmajoki	  6
Jyväskylä	  6
Kreikka;Suomi	  6
Länsipohja	  6
Lappeenranta	  6
Mäntyharju	  6
Mynämäki	  6
Novgorod	  6
Oulun lääni;Lappi	  6
Pärnu	  6
Pirkkala	  6
Södermanlanti	  6
Uumaja	  6
Uusimaa;Häme	  6
Älfsborg	  5
Imatra	  5
Kokemäenjoki	  5
Kokkola	  5
Lapua	  5
Linköping	  5
Mustasaari	  5
Pietari	  5
Ruotsi;Tanska	  5
Saksa	  5
Savon ja Karjalan lääni	  5
Suomenlahti;Pohjanlahti;Itämeri	  5
Tornio	  5
Varsinais-Suomi	  5
Ylistaro	  5
Etelä-Suomi	  4
Greifswald	  4
Hattula;Hämeenlinna	  4
Jokioinen	  4
Kotka	  4
Naantali	  4
Porin lääni	  4
Pultava	  4
Ruotsi;Saksa	  4
Savo;Karjala	  4
Suomenlahti;Itämeri	  4
Turku;Ruotsi	  4
Uppsala;Ruotsi	  4
Venäjä;Suomi	  4
Viipurin lääni	  4
Alatornio	  3
Arabian niemimaa	  3
Bohuslän	  3
Gallia	  3
Gävleborg	  3
Götanmaa	  3
Hanko	  3
Helmstedt	  3
Itägöötanmaa	  3
Itämeri;Suomenlahti	  3
Itämeri;Suomenlahti;Pohjanlahti	  3
Kajaani	  3
Kangasala	  3
Keski-Suomi	  3
Kirkkonummi	  3
Klissov	  3
Kopparberg	  3
Köyliö	  3
Kristiinankaupunki	  3
Kyminkartanon ja Savon lääni;Karjala	  3
Lahti	  3
Lammi	  3
Länsi-Götanmaa	  3
Lappi;Suomi	  3
Lohtaja	  3
Lontoo	  3
Maksamaa	  3
Naantali;Raisio	  3
Parainen	  3
Ruotsi;Puola	  3
Ruotsi;Tartto	  3
Ruotsi;Tukholma	  3
Ruovesi	  3
Savo	  3
Savonlinna	  3
Strängnäs	  3
Suomenlahti;Helsinki	  3
Suomi;Ruotsi;Karjala;Baltia	  3
Suomi;Ruotsi;Norja;Islanti	  3
Suomi;Ruotsi;Norja;Karjala;Kuolan niemimaa	  3
Suomi;Ruotsi;Norja;Tanska;Baltia	  3
Suomi;Turun ja Porin lääni	  3
Tallinna	  3
Tammisaari	  3
Tartto;Ruotsi	  3
Tornio;Haaparanta	  3
Uskela	  3
Uudenmaan lääni;Hämeen lääni	  3
Uusikaarlepyy	  3
Vähäkyrö	  3
Vanha Suomi	  3
Viipurin kuvernementti	  3
Viro	  3
Visingsö	  3
Ahvenanmaa;Lemland;Lumparland	  2
Ahvenanmaa;Turun saaristo	  2
