Name	Count
Total count: 	4700
hautajaiset	251
etsintäkuulutukset	211
yliopistot	163
Turku	159
häät	153
juhlamenot	105
virret	 98
kartat	 96
dogmatiikka	 95
arkkiveisut	 84
historia	 80
kuninkaalliset	 59
eksegetiikka	 58
moraali	 58
filosofia	 50
homiletiikka	 49
ruumissaarnat	 47
eläimet	 46
eläinsuojelu	 45
promootiot	 42
ruotuarmeijat	 42
hartauskirjat	 40
rikokset	 34
katekismukset	 33
metafysiikka	 30
historialliset kartat	 29
kirkkohistoria	 29
verohinnat	 28
oikeus	 27
lääketiede	 26
naiset	 25
naisasialiikkeet	 24
naisen asema	 24
viinanpoltto	 24
rukouspäivät	 23
eläinsuojeluyhdistykset	 22
valtiopäivät	 22
almanakat	 21
maastokartat	 21
opetus	 21
toivotukset	 21
verotus	 21
fysiikka	 20
kaupungit	 20
pastoraalityöt	 20
psykologia	 20
talous	 20
kirjallisuus	 19
logiikka	 18
rangaistukset	 18
valmistus	 18
latinan kieli	 17
salpietari	 17
heprean kieli	 16
saarnat	 16
aapiset	 15
hautauspuheet	 15
katselmus	 15
asemakaavoitus	 14
matematiikka	 14
merikartat	 14
rukoukset	 14
koulut	 13
maantiede	 13
oikeudet	 13
paikallishallinto	 13
retoriikka	 13
vilja	 13
huutokauppa	 12
kasvatus	 12
naisasiajärjestöt	 12
papisto	 12
raamatunhistoria	 12
sodat	 12
tähtitiede	 12
hovioikeudet	 11
rekrytointi	 11
suomen kieli	 11
lunastus	 10
oppikirjat	 10
ostot	 10
taistelut	 10
Vaasa	 10
virkamiehet	 10
antiikki	  9
kasvisto	  9
kasvitiede	  9
kreikan kieli	  9
raha	  9
riita-asiat	  9
rukous	  9
velvollisuudet	  9
eläintiede	  8
kemia	  8
kirjastonhoitajat	  8
kirkko	  8
kruununtilat	  8
kunnallishallinto	  8
kylät	  8
kylätoiminta	  8
luettelot	  8
luonnonhistoria	  8
oikeusjärjestelmät	  8
Suomenlinna	  8
vaatteet	  8
asiakirjat	  7
fossiilit	  7
hevonen	  7
hinnat	  7
järjestöt	  7
kirjastot	  7
kivilajit	  7
kokoukset	  7
kruununmakasiinit	  7
maatalous	  7
palkkiot	  7
perusoikeudet	  7
poetiikka	  7
raportit	  7
ratsutilat	  7
ruotusotilaat	  7
sanomalehdet	  7
synodaaliväitöskirjat	  7
vuokraus	  7
armeijat	  6
isojako	  6
Kokkola	  6
korvaukset	  6
kyyditys	  6
maanmittaus	  6
matkailu	  6
merenkulku	  6
myynti	  6
perintötilat	  6
rajoitukset	  6
sairaalat	  6
tavat	  6
tuomiot	  6
valitukset	  6
varusteet	  6
velkasuhteet	  6
viljely	  6
yksityiskirjastot	  6
akatemiat	  5
hengelliset laulut	  5
hyötykasvit	  5
itämaiset kielet	  5
joulu	  5
kalastus	  5
kielioppi	  5
köyhäinhoito	  5
läänit	  5
lait	  5
lapset	  5
Loviisa	  5
löytötavarat	  5
maanomistus	  5
maanviljely	  5
matkakertomukset	  5
menetelmät	  5
nimipäivät	  5
rakennukset	  5
rykmentit	  5
saaristolaivasto	  5
sivistys	  5
sotilaat	  5
taide	  5
tienpito	  5
tilikirjat	  5
tuomioistuimet	  5
upseerit	  5
valat	  5
valtiofilosofia	  5
eläimistö	  4
eläkeläiset	  4
elinkeinot	  4
geofysiikka	  4
henkilöhistoria	  4
hyväntekeväisyys	  4
kansainväliset suhteet	  4
kilpapyöräily	  4
kirkkokuri	  4
kustannukset	  4
liikkumisvapaus	  4
linnut	  4
luonnontieteet	  4
meteorologia	  4
mineralogia	  4
oikeudenkäynti	  4
opaskartat	  4
organisaatio	  4
palkat	  4
piispat	  4
pyöräily	  4
rautatiet	  4
ruodut	  4
saamelaiset	  4
säännöt	  4
sota	  4
sotilastorpat	  4
teologia	  4
Uusikaarlepyy	  4
väärennökset	  4
väestö	  4
valinta	  4
veroparselit	  4
yhteiskuntafilosofia	  4
äänestäminen	  3
äänioikeus	  3
anatomia	  3
arabian kieli	  3
arpajaiset	  3
avioliitto	  3
diplomaattisuhteet	  3
eläinrääkkäys	  3
eläintaudit	  3
eläkkeet	  3
elämäntaito	  3
elintarvikkeet	  3
elintavat	  3
haaksirikot	  3
hallinto	  3
harjoitukset	  3
hattujen sota	  3
historiankirjoitus	  3
Hollola	  3
hyönteiset	  3
Isokyrö	  3
järjestötoiminta	  3
järjestyshäiriöt	  3
Kajaani	  3
kartastot	  3
katovuodet	  3
keisarinnat	  3
kihlakunnat	  3
kilpailutoiminta	  3
kirjanpainajat	  3
kirjapainot	  3
kirjat	  3
kirkkorakennukset	  3
komppaniat	  3
Kruunupyy	  3
kuninkaat	  3
Kuopio	  3
lääkekasvit	  3
laiduntaminen	  3
levinneisyys	  3
luonnonvarat	  3
maakunnat	  3
maanpetos	  3
maksut	  3
meritaistelut	  3
oppihistoria	  3
osakunnat	  3
pakkohuutokauppa	  3
perinnöt	  3
perustuslait	  3
politiikka	  3
Porvoo	  3
posti	  3
presidentit	  3
puheet	  3
rahalaitokset	  3
rajat	  3
rauhansopimukset	  3
ruotsin kieli	  3
säänennustus	  3
sakko	  3
sotavangit	  3
Suomen sota	  3
suostuntavero	  3
suuri Pohjan sota	  3
tartuntataudit	  3
terveydenhuolto	  3
teurastus	  3
todistajat	  3
tupakka	  3
tutkimusmatkat	  3
uusivuosi	  3
velkakirjat	  3
Viipuri	  3
virkatalot	  3
viron kieli	  3
aateli	  2
alioikeudet	  2
angiina	  2
aseet	  2
asetukset	  2
astrologia	  2
asumisoikeus	  2
aviorikokset	  2
avustuskassat	  2
ehkäisy	  2
etiikka	  2
etuoikeudet	  2
Eura	  2
geodesia	  2
geologia	  2
geometria	  2
hakuteokset	  2
Hämeenlinna	  2
harhaoppisuus	  2
heinä	  2
historiantutkimus	  2
irtolaisuus	  2
isoviha	  2
jäsenyys	  2
juopumus	  2
kaavoitus	  2
kansainväliset sopimukset	  2
kansakoulu	  2
kansat	  2
käräjät	  2
kartoitus	  2
käsityöläiset	  2
kasvinviljely	  2
kauppa	  2
käyttö	  2
kehruu	  2
keittäjät	  2
kielitiede	  2
kirkkokäsikirjat	  2
kirkkomusiikki	  2
kirkollisvero	  2
konkurssi	  2
kotieläimet	  2
koululaitos	  2
Kristiinankaupunki	  2
kuolema	  2
lääkkeet	  2
lainsäädäntö	  2
laitteet	  2
laivanrakennus	  2
lastenhuolto	  2
Laukaa	  2
löytöeläimet	  2
