Name	Count
etsintäkuulutukset	186
ruotuarmeijat	35
rikokset	33
Suomen sota	19
siviiliväestö	13
pakkohuutokauppa	11
perintötilat	10
Suomenlinna	10
ruotusotilaat	9
kyyditys	8
rekrytointi	8
salpietari	8
elintarvikkeet	7
hallinto	7
kustannukset	7
ostot	7
Vaasa	7
harjoitukset	6
järjestyshäiriöt	6
korvaukset	6
liikkumisvapaus	6
löytötavarat	6
palkat	6
rajoitukset	6
valmistus	6
vilja	6
virkatalot	6
vuokraus	6
huutokauppa	5
kokoukset	5
rakennukset	5
ruodut	5
velvollisuudet	5
vienti	5
viljalainat	5
löytöeläimet	4
Mustasaari	4
paikallishallinto	4
posti	4
rupla	4
sairaalat	4
sotavahingot	4
tienpito	4
hevonen	3
Isokyrö	3
katselmus	3
kestikievarit	3
komppaniat	3
kruununtilat	3
Kruunupyy	3
Kuortane	3
laiduntaminen	3
maanmittaus	3
markkinat	3
merenkulku	3
raportit	3
sodanuhka	3
sodat	3
sotilasrikokset	3
tartuntataudit	3
ulosotto	3
Uusikaarlepyy	3
vaatteet	3
Vähäkyrö	3
varusteet	3
viinanpoltto	3
aseet	2
ehkäisy	2
eläkkeet	2
haaksirikot	2
Hämeenlinna	2
Helsinki	2
isojako	2
katovuodet	2
Kauhava	2
kauppa	2
kaupungit	2
Kokkola	2
kokoontumiset	2
korjaus	2
kotiutus	2
koulut	2
kruununpolttimot	2
laitteet	2
laivanrakennus	2
liikekannallepano	2
lunastus	2
Maalahti	2
naiset	2
organisaatio	2
Oulu	2
perinnöt	2
Porvoo	2
rahalaitokset	2
rangaistukset	2
rauhansopimukset	2
suola	2
Turku	2
Vaasan lääni	2
valat	2
veroparselit	2
verotus	2
virkamiehet	2
Vöyri	2
Alajärvi	1
aluehallinto	1
apteekkarit	1
arkkiveisut	1
arvonimet	1
asiakirjat	1
eroraha	1
hakkuut	1
hallintaoikeus	1
hautajaiset	1
hinnat	1
Hollola	1
hovioikeudet	1
Iitti	1
irtolaisuus	1
Isojoki	1
Jalasjärvi	1
julkiset rakennukset	1
Kalajoki	1
Kemi	1
kerjäläiset	1
Köyliö	1
Kristiinankaupunki	1
Kuhmo	1
kuljetus	1
kuninkaalliset	1
kuolinpesät	1
kuriirit	1
Laihia	1
Lammi	1
Lapua	1
Laukaa	1
Loviisa	1
luotsit	1
maanviljely	1
myllyt	1
myynti	1
Närpiö	1
nostoväki	1
Oravaisten taistelu	1
padot	1
palkkaus	1
palovakuutus	1
paperi	1
papisto	1
pappilat	1
perustuslait	1
Porvoon valtiopäivät	1
puutavara	1
raha	1
rakentaminen	1
riita-asiat	1
Ristiina	1
ruuti	1
rykmentit	1
Saarijärvi	1
sahalaitokset	1
sensuuri	1
siviilivastarinta	1
sotilaskarkuruus	1
sotilastorpat	1
Sulva	1
suostuntavero	1
tervanpoltto	1
terveydenhuolto	1
torpparit	1
tullit	1
tullivalvonta	1
tuomiokapitulit	1
tuonti	1
työvoima	1
upseerit	1
valtiopäivät	1
valuuttakurssit	1
valvonta	1
vankeinhoito	1
vankilat	1
värväys	1
Vehmaa	1
verovilja	1
Viitasaari	1
Virrat	1
voi	1
