Name	Count
etsintäkuulutukset	20
Turku	20
hautajaiset	17
virret	16
yliopistot	15
arkkiveisut	14
häät	13
juhlamenot	11
ruotuarmeijat	11
eksegetiikka	10
historia	8
hartauskirjat	6
heprean kieli	6
moraali	6
vaatteet	6
velvollisuudet	6
viinanpoltto	6
kuninkaalliset	5
oikeus	5
varusteet	5
rangaistukset	4
ratsutilat	4
rikokset	4
homiletiikka	3
katselmus	3
kokoukset	3
matematiikka	3
myynti	3
ostot	3
promootiot	3
rykmentit	3
talous	3
toivotukset	3
viinat	3
eläintaudit	2
eläkeläiset	2
eläkkeet	2
filosofia	2
huutokauppa	2
hyötykasvit	2
kemia	2
kirjallisuus	2
kirkkohistoria	2
kivilajit	2
kotietsintä	2
metafysiikka	2
mineralogia	2
opetus	2
rajoitukset	2
ruotusotilaat	2
salpietari	2
sotilaat	2
tähtitiede	2
tavat	2
tuomiot	2
uskonnot	2
valitukset	2
valmistus	2
varkaus	2
viljely	2
yhteiskunta	2
alioikeudet	1
aliupseerit	1
arpajaiset	1
asuminen	1
diplomatia	1
dogmatiikka	1
ehkäisy	1
eläimet	1
eläintiede	1
fysiikka	1
harjoitukset	1
hartauspuheet	1
heinä	1
hengelliset laulut	1
hovioikeudet	1
ilmasto	1
isojako	1
järjestyshäiriöt	1
karjanhoito	1
käsityöläiset	1
kasvatus	1
kasvinviljely	1
kasvisto	1
kasvitaudit	1
katekismukset	1
kaupungit	1
kirkkorakennukset	1
korjaus	1
köyhäinhoito	1
kruunajaiset	1
kruununmakasiinit	1
kruununpolttimot	1
kunnianloukkaus	1
kuolema	1
kuolinpesät	1
lääkekasvit	1
lääketiede	1
laiduntaminen	1
luettelot	1
maanmittaus	1
maanviljely	1
markkinat	1
merenkulku	1
nimipäivät	1
ohjeet	1
oikeudenkäynti	1
oikeustapaukset	1
oppihistoria	1
pakkohuutokauppa	1
palkat	1
paloturvallisuus	1
Parainen	1
perintä	1
psykologia	1
puutarhaviljely	1
rakennukset	1
rakkaus	1
rauta	1
ravinto	1
rekrytointi	1
rukous	1
rukouspäivät	1
ruodut	1
saaristolaivasto	1
saaristot	1
saarnat	1
sairaalat	1
salapoltto	1
Siuntio	1
sukulaiset	1
suomen kieli	1
Suomenlinna	1
synodaaliväitöskirjat	1
synti	1
syntymäpäivät	1
tarkastus	1
tartuntataudit	1
teologia	1
tienrakennus	1
todistajat	1
toiminta	1
tuomarit	1
tupakka	1
ulosotto	1
valinta	1
valtiopäivämiehet	1
valtiopäivät	1
vankeinhoito	1
värväys	1
veroparselit	1
verotus	1
Vesilahti	1
vesistöt	1
vientirajoitukset	1
vilja	1
virkamiehet	1
vuokraus	1
yksityiskirjastot	1
ylellisyystavarat	1
