Name	Count
dogmatiikka	30
arkkiveisut	24
pastoraalityöt	22
virret	20
yliopistot	19
etsintäkuulutukset	17
Turku	17
juhlamenot	15
eksegetiikka	13
historia	13
kirkkohistoria	11
hartauskirjat	8
kuninkaalliset	8
katekismukset	7
rukouspäivät	7
kasvatus	6
matematiikka	6
moraali	6
ruotuarmeijat	5
sanomalehdet	5
aapiset	4
fysiikka	4
heprean kieli	4
kirjallisuus	4
lääketiede	4
lapset	4
saarnat	4
talous	4
antiikki	3
hautajaiset	3
järjestöt	3
kemia	3
oikeus	3
opetus	3
rukoukset	3
eläintiede	2
elinkeinot	2
filosofia	2
geodesia	2
homiletiikka	2
jäsenluettelot	2
kasvitiede	2
katovuodet	2
kirjastot	2
maatalous	2
metafysiikka	2
oikeudet	2
ostot	2
raha	2
rekrytointi	2
riita-asiat	2
rikokset	2
sotaoikeus	2
Suomenlinna	2
toivotukset	2
tuomioistuimet	2
tuomiot	2
varusteet	2
viinanpoltto	2
viljalainat	2
vuokraus	2
arpajaiset	1
asevoimat	1
asiakirjat	1
ehkäisy	1
eläinlääketiede	1
estetiikka	1
hallintaoikeus	1
harjoitukset	1
hartauspuheet	1
hautauspuheet	1
heinä	1
Helsinki	1
hengelliset laulut	1
hovioikeudet	1
huvit	1
isojako	1
itämaiset kielet	1
kansainväliset suhteet	1
karjanhoito	1
käsitteet	1
kaupungit	1
Kiikala	1
kirkolliskokoukset	1
Kitee	1
kivilajit	1
kokoukset	1
komppaniat	1
köyhäinhoito	1
kreikan kieli	1
kruununmakasiinit	1
Kuopio	1
latinan kieli	1
linnoitukset	1
lintutiede	1
lunastus	1
luonnonvarat	1
maanmittarit	1
maanmittaus	1
Maaria	1
maksut	1
markkinat	1
metsätalous	1
miehistö	1
myynti	1
ohjesäännöt	1
omistusoikeus	1
opettajat	1
oppikirjat	1
palkat	1
palkkiot	1
paloturvallisuus	1
palovahingot	1
palovakuutus	1
pelikortit	1
perintötilat	1
peruna	1
perustuslait	1
pientilat	1
poetiikka	1
Porvoon valtiopäivät	1
Pöytyä	1
puutavara	1
raamatunhistoria	1
rakkaus	1
ratsutilat	1
ritarikunnat	1
ruumissaarnat	1
saaristolaivasto	1
sakko	1
sodanuhka	1
sota	1
sotavangit	1
suomen kieli	1
synodaaliväitöskirjat	1
tähtitiede	1
Tampere	1
tartuntataudit	1
teologia	1
testamentti	1
tienpito	1
toimintakertomukset	1
tupakka	1
Turun ja Porin lääni	1
työvoima	1
upseerit	1
väärennökset	1
veronhuojennukset	1
Vesilahti	1
viljely	1
