Name	Count
dogmatiikka	164
hautajaiset	98
yliopistot	87
Turku	83
filosofia	79
juhlamenot	61
moraali	61
homiletiikka	56
logiikka	54
ruumissaarnat	49
yhteiskuntafilosofia	46
häät	41
psykologia	34
retoriikka	32
kirkkohistoria	28
promootiot	22
eksegetiikka	21
metafysiikka	20
oikeus	15
harhaoppisuus	12
hautauspuheet	12
kuninkaalliset	12
luonnonfilosofia	12
tähtitiede	11
almanakat	10
papisto	9
saarnat	9
matematiikka	8
sodat	8
lääketiede	7
luonnontieteet	7
synodaaliväitöskirjat	7
ajanlasku	6
antiikki	6
historia	6
valtiofilosofia	6
kasvatus	5
sivistys	5
teologia	5
etiikka	4
kirkko	4
koulutus	4
opetus	4
oppikirjat	4
poetiikka	4
taide	4
aistit	3
aritmetiikka	3
eläintiede	3
fysiikka	3
hallitusmuodot	3
hartauskirjat	3
katekismukset	3
kielioppi	3
latinan kieli	3
oikeusjärjestelmät	3
opiskelu	3
valtiopäivät	3
virret	3
aapiset	2
akatemiat	2
älykkyys	2
kasvitiede	2
kirjastot	2
kreikan kieli	2
maantiede	2
metallit	2
meteorologia	2
nuoret	2
piispat	2
synodaalisaarnat	2
ääni	1
anatomia	1
geodesia	1
geometria	1
hallitsijat	1
hengelliset laulut	1
järjestyshäiriöt	1
kansanopetus	1
kemia	1
kiertokirjeet	1
kihlakunnantuomarit	1
kiitokset	1
kirkkokäsikirjat	1
kirkon työntekijät	1
koululaitos	1
koulut	1
kymmenykset	1
lait	1
lapset	1
lukkarit	1
maaherrat	1
markkinat	1
muistomerkit	1
oikeudet	1
opettajat	1
opiskelijat	1
paavit	1
poliittiset järjestelmät	1
professorit	1
pyhäpäivät	1
raha	1
raittius	1
raskaus	1
rauhanneuvottelut	1
rukoukset	1
rukouspäivät	1
säänennustus	1
saksan kieli	1
sielu	1
suola	1
suvut	1
synodaalipuheet	1
talous	1
talousjärjestelmät	1
tapakasvatus	1
tavat	1
tullit	1
valo	1
valtiomuodot	1
vanheneminen	1
verotus	1
Viipuri	1
virat	1
virsikirjat	1
vuodenajat	1
yhteiskuntajärjestelmät	1
