Name	Count
hautajaiset	103
Turku	68
häät	66
yliopistot	64
juhlamenot	36
homiletiikka	35
promootiot	28
arkkiveisut	18
virret	18
rangaistukset	8
kuninkaalliset	6
papisto	5
seksuaalirikokset	4
valtiopäivät	4
dogmatiikka	3
koulutus	3
kymmenykset	3
rukoukset	3
taistelut	3
hartauskirjat	2
hovioikeudet	2
kiitokset	2
kinkerit	2
kirjapainot	2
latinan kieli	2
luettelot	2
maailmankaikkeus	2
presidentit	2
raportit	2
varallisuusrikokset	2
aateli	1
aritmetiikka	1
armeijat	1
harjoitukset	1
hautauspuheet	1
henkirikokset	1
joulu	1
kaivosteollisuus	1
kasvatus	1
katekismukset	1
kauppa	1
kauppiaat	1
kielioppi	1
kirkot	1
kolehti	1
kreikan kieli	1
Kristiinankaupunki	1
kuolemanrangaistus	1
lesket	1
matematiikka	1
oikeudenkäynti	1
opetus	1
oppikirjat	1
orvot	1
papit	1
piispat	1
poetiikka	1
psykologia	1
raamatunhistoria	1
rehtorit	1
ruotsin kieli	1
saksan kieli	1
sunnuntai	1
suomen kieli	1
synodaaliväitöskirjat	1
taide	1
todistajat	1
työ	1
venäläiset	1
