Name	Count
etsintäkuulutukset	105
rikokset	18
salpietari	14
valmistus	14
Vaasa	11
ruotuarmeijat	9
vilja	9
arkkiveisut	8
homiletiikka	8
kruununtilat	8
virret	7
häät	6
lunastus	6
myynti	6
korvaukset	5
palkat	5
palovakuutus	5
ruotusotilaat	5
Uusikaarlepyy	5
viinanpoltto	5
hautajaiset	4
kruununmakasiinit	4
ostot	4
pakkohuutokauppa	4
Suomenlinna	4
velvollisuudet	4
viljalainat	4
hartauspuheet	3
kehittäminen	3
Kokkola	3
Kristiinankaupunki	3
Kruunupyy	3
Kuopio	3
markkinat	3
Mustasaari	3
oikeudet	3
paikallishallinto	3
perintötilat	3
rajoitukset	3
rangaistukset	3
saaristolaivasto	3
vaatteet	3
värväys	3
viinat	3
Vöyri	3
armeijat	2
hallintaoikeus	2
hartauskirjat	2
huutokauppa	2
Isokyrö	2
Kemi	2
kerjäläiset	2
kirjapainot	2
kruununpolttimot	2
kyyditys	2
lääkärit	2
Lapua	2
lastenhuolto	2
löytötavarat	2
luettelot	2
maanmittaus	2
maanviljely	2
mitalit	2
papisto	2
rakennukset	2
rekrytointi	2
riita-asiat	2
tullivalvonta	2
tuonti	2
väärennökset	2
valtiopäivät	2
varusteet	2
veroparselit	2
verovapaus	2
verovilja	2
vienti	2
virkatalot	2
aateli	1
Ähtäri	1
Alavus	1
alioikeudet	1
arvoitukset	1
arvopaperit	1
avustuskassat	1
eläkeläiset	1
eläkkeet	1
elintarvikkeet	1
erivapaus	1
haaksirikot	1
Hämeenlinna	1
hevonen	1
hinnat	1
Ikaalinen	1
Ilomantsi	1
irtolaiset	1
irtolaisuus	1
isovanhemmat	1
järjestyshäiriöt	1
julkaisutoiminta	1
kansankertomukset	1
käsityöläiset	1
kasvatus	1
katovuodet	1
katselmus	1
kestikievarit	1
kirkkorakennukset	1
kokoontumiset	1
konkurssi	1
kuninkaalliset	1
kuolema	1
kuolinpesät	1
Kuortane	1
laivanrakennus	1
lautamiehet	1
löytöeläimet	1
luotsit	1
maanpuolustus	1
maaoikeus	1
miehistö	1
Närpiö	1
olut	1
ottovanhemmat	1
palkkiot	1
paloturvallisuus	1
pelikortit	1
perinnöt	1
puutavara	1
rahalaitokset	1
rälssitilat	1
raportit	1
ratsutilat	1
rehut	1
rukous	1
ruodut	1
ruoka	1
ruotsin kieli	1
ruuti	1
sairaalat	1
salapoltto	1
sankaruus	1
säteritilat	1
sodanuhka	1
sodat	1
sotaraportit	1
sotilastorpat	1
suomen kieli	1
synodaalisaarnat	1
Sysmä	1
taistelut	1
talous	1
Tammisaari	1
Tampere	1
tarkastus	1
tavat	1
Teerijärvi	1
tervakauppa	1
terveydenhuolto	1
tienrakennus	1
tuomioistuimet	1
tuomiot	1
työnjako	1
upseerit	1
uudisasukkaat	1
vaakunat	1
Vähäkyrö	1
vahingonkorvaus	1
valat	1
valinta	1
valtionvelka	1
valtiopäivämiehet	1
vankeinhoito	1
vankilat	1
varkaus	1
värvätyt	1
velkaantuminen	1
velkakirjat	1
verotus	1
veroviranomaiset	1
viljely	1
vuokraus	1
