Name	Count
yliopistot	198
Turku	191
hautajaiset	183
juhlamenot	146
häät	117
moraali	91
filosofia	69
dogmatiikka	68
eksegetiikka	57
metafysiikka	57
raamatunhistoria	52
psykologia	47
promootiot	37
tähtitiede	33
historia	27
oikeus	22
logiikka	20
retoriikka	20
eläintiede	18
opetus	17
valtiofilosofia	17
ruumissaarnat	16
fysiikka	15
heprean kieli	15
hautauspuheet	14
kuninkaalliset	14
teologia	14
geodesia	11
matematiikka	11
geofysiikka	10
poetiikka	10
tutkimus	10
aistit	9
lääketiede	9
sodat	9
almanakat	8
kielitiede	8
kirjoitustaito	8
historiankirjoitus	7
hallinto	6
kirjallisuus	6
oikeudenkäynti	6
rangaistukset	6
toivotukset	6
yhteiskuntafilosofia	6
antiikki	5
kasvitiede	5
latinan kieli	5
luonnonfilosofia	5
mielikuvitus	5
oppikirjat	5
uskomukset	5
älykkyys	4
fysiologia	4
hartauskirjat	4
kemia	4
kirkkokuri	4
kreikan kieli	4
lait	4
maantiede	4
meteorologia	4
saarnat	4
akatemiat	3
arkkiveisut	3
aviorikokset	3
etiikka	3
hallitsijat	3
Jumala	3
kasvatus	3
kirkko	3
luonnontieteet	3
menetelmät	3
noituus	3
opiskelu	3
oppihistoria	3
puhe	3
suomen kieli	3
taide	3
teoriat	3
todistajat	3
tyylintutkimus	3
valat	3
vanha aika	3
virret	3
aateli	2
anatomia	2
asiakirjat	2
avioliitto	2
eläimistö	2
historianfilosofia	2
kirkkohistoria	2
kirkkomusiikki	2
korruptio	2
kuolemanrangaistus	2
lahjonta	2
lähteet	2
leijona	2
luonnonhistoria	2
mekaniikka	2
mineralogia	2
paperi	2
papisto	2
polemiikki	2
professorit	2
sotilaskarkuruus	2
tavat	2
tietoteoria	2
tuomarit	2
tuomioistuimet	2
ukkonen	2
väärinkäyttö	2
vanhuus	2
aivot	1
aivotutkimus	1
alkuperä	1
aristotelismi	1
aritmetiikka	1
arkkitehtuuri	1
arviointi	1
arvoitukset	1
asessorit	1
asianosaiset	1
estetiikka	1
harhaoppisuus	1
hovioikeudet	1
itku	1
kansanusko	1
kansat	1
kappalaiset	1
kiitokset	1
kirjastot	1
kirjoittaminen	1
kirkkoherrat	1
klassiset kielet	1
komeetat	1
koululaitos	1
kunnianloukkaus	1
lääkärit	1
laamannit	1
lajit	1
legendat	1
linnunrata	1
luettelot	1
luonnonmaantiede	1
maksut	1
meret	1
metsäpalot	1
moniavioisuus	1
musiikki	1
mytologia	1
naiset	1
nimipäivät	1
numerologia	1
oikeustiede	1
ominaisuudet	1
omistusoikeus	1
opiskelijat	1
papit	1
perintöoikeus	1
piispat	1
pilvet	1
Pohjoismaat	1
politiikka	1
pyhiinvaellukset	1
raatimiehet	1
rajoitukset	1
rauhansopimukset	1
rikokset	1
ritarikunnat	1
roomalaiskatolinen kirkko	1
ruoansulatus	1
ruotsin kieli	1
sielu	1
sivistys	1
sukunimet	1
sukupolvet	1
superintendentit	1
suurvaltapolitiikka	1
synodaaliväitöskirjat	1
syntymäpäivät	1
talous	1
tieteet	1
toiminta	1
tunteet	1
tuomiot	1
unet	1
uskonnonvapaus	1
valitukset	1
valtio	1
valtiovarainhallinto	1
värit	1
velkasuhteet	1
velvollisuudet	1
vuodenajat	1
yhteiskunta	1
yhteiskuntajärjestelmät	1
ympäristörikokset	1
