Name	Count
hautajaiset	85
häät	59
Turku	58
yliopistot	56
homiletiikka	33
juhlamenot	31
promootiot	25
arkkiveisut	17
virret	17
rangaistukset	8
papisto	5
kuninkaalliset	4
seksuaalirikokset	4
valtiopäivät	4
koulutus	3
kymmenykset	3
rukoukset	3
taistelut	3
dogmatiikka	2
hartauskirjat	2
kiitokset	2
kinkerit	2
kirjapainot	2
latinan kieli	2
luettelot	2
maailmankaikkeus	2
raportit	2
varallisuusrikokset	2
aateli	1
aritmetiikka	1
armeijat	1
harjoitukset	1
hautauspuheet	1
henkirikokset	1
hovioikeudet	1
joulu	1
kaivosteollisuus	1
kasvatus	1
katekismukset	1
kauppa	1
kielioppi	1
kirkot	1
kolehti	1
kreikan kieli	1
Kristiinankaupunki	1
kuolemanrangaistus	1
lesket	1
matematiikka	1
oikeudenkäynti	1
oppikirjat	1
orvot	1
piispat	1
poetiikka	1
presidentit	1
psykologia	1
raamatunhistoria	1
rehtorit	1
ruotsin kieli	1
saksan kieli	1
sunnuntai	1
suomen kieli	1
todistajat	1
työ	1
venäläiset	1
