Name	Count
dogmatiikka	186
pastoraalityöt	150
historia	93
eksegetiikka	91
kirjallisuus	87
kirkkohistoria	79
Turku	70
yliopistot	68
fysiikka	54
kemia	54
juhlamenot	50
moraali	48
matematiikka	36
lääketiede	33
heprean kieli	26
latinan kieli	26
oikeus	24
fossiilit	23
filosofia	20
kirjastonhoitajat	20
opetus	19
antiikki	16
suomen kieli	16
oppihistoria	15
tähtitiede	15
itämaiset kielet	14
metafysiikka	14
poetiikka	14
eläintiede	13
kasvitiede	13
retoriikka	13
kirjastot	12
kirkko	12
kreikan kieli	12
geodesia	11
kasvisto	10
opiskelu	8
yhteiskunta	8
estetiikka	7
kasvatus	7
psykologia	7
geofysiikka	6
raamatunhistoria	6
käsitteet	5
politiikka	5
arabian kieli	4
eläimistö	4
käytännöllinen teologia	4
logiikka	4
ruotsin kieli	4
talous	4
tavat	4
historiantutkimus	3
kielet	3
lintutiede	3
menetelmät	3
mineralogia	3
paikallishistoriat	3
papisto	3
suomalaiset	3
teologia	3
uskonpuhdistus	3
vanha aika	3
viron kieli	3
ajanmittaus	2
harvinaiskirjat	2
kansat	2
kielitiede	2
kirjallisuudenhistoria	2
koulut	2
koulutus	2
länsigootit	2
linnut	2
musiikki	2
mytologia	2
noituus	2
numismatiikka	2
ominaisuudet	2
ortodoksinen kirkko	2
parodia	2
synodaaliväitöskirjat	2
tietoteoria	2
valtio	2
värit	2
anatomia	1
asparagus	1
ateismi	1
eläinlääketiede	1
farmakologia	1
hakuteokset	1
Jumala	1
kansainväliset suhteet	1
keisarit	1
kirjallisuudentutkimus	1
kivilajit	1
kristinusko	1
kuolema	1
latinankielinen kirjallisuus	1
luonnollinen teologia	1
luonnontieteet	1
maanviljely	1
metallit	1
meteorologia	1
nuoret	1
opettajat	1
päiväkirjat	1
roomalaiskatolinen kirkko	1
saksan kieli	1
sanakirjat	1
satiiri	1
sodat	1
taide	1
taikausko	1
taloushistoria	1
teatteri	1
uskonnot	1
uskonto	1
verotus	1
