Name	Count
Total count: 	12
Amerikan suom. ev. luth. kansalliskirkkokunta	1
Evangelisk-lutherska söndagsskoleföreningen i Finland;Ev.-luth. söndagsskoleföreningen i Finland	1
Finska läkaresällskapet	1
Finska sortimentsbokhandlareföreningen;Suomen lajittelu-kirjakauppiasyhdistys	1
Fotografiklubben i Helsingfors	1
Henkivakuutusosakeyhtiö Fennia	1
Livförsäkringsaktiebolaget Fennia	1
Lutherska evangeliföreningen i Finland	1
Päällyksellä: Näytelmä	1
Savon siipikarjanhoitoyhdistys	1
Societas pro fauna et flora Fennica	1
Suomen M.P.K. sisälähetys	1
