Name	Count
Total count: 	37328
22	15720
13	 8666
12.5	 3235
30	 3177
12	 2069
19	  449
60	  404
14	  370
15	  364
18	  357
20	  297
9	  257
11	  223
27	  217
10	  207
90	  104
21	   94
7	   91
8	   79
23	   44
37.7	   35
32	   31
17	   24
37.8	   21
37.5	   20
45	   20
16	   19
24	   18
26	   18
28	   17
35	   13
41	   13
8.5	   12
25	   11
32.3	   11
36	   11
43.1	   10
57	   10
58.5	   10
63	   10
40	    9
43	    9
58	    9
6	    9
29	    8
31	    8
33	    8
37.6	    8
41.5	    8
5	    8
56	    8
64	    8
65	    8
49	    7
55	    7
37.9	    6
40.4	    6
42.9	    6
61	    6
62	    6
37	    5
38	    5
42.8	    5
44	    5
47	    5
51	    5
52	    5
54	    5
55.5	    5
59	    5
66	    5
71	    5
32.5	    4
34	    4
40.5	    4
40.7	    4
43.5	    4
46.8	    4
49.5	    4
50.5	    4
53	    4
68	    4
69	    4
70	    4
33.8	    3
36.3	    3
38.2	    3
40.3	    3
42.5	    3
42.7	    3
46	    3
46.5	    3
47.5	    3
48	    3
48.2	    3
49.3	    3
50	    3
50.8	    3
51.5	    3
54.5	    3
61.5	    3
65.5	    3
67	    3
68.5	    3
74	    3
93	    3
17.2	    2
18.3	    2
18.8	    2
19.3	    2
19.5	    2
20.3	    2
23.2	    2
24.2	    2
28.3	    2
30.8	    2
32.2	    2
36.4	    2
36.5	    2
37.3	    2
37.4	    2
38.5	    2
39	    2
39.5	    2
40.2	    2
40.6	    2
40.8	    2
40.9	    2
41.2	    2
41.7	    2
42	    2
43.2	    2
43.4	    2
43.7	    2
43.8	    2
44.1	    2
44.4	    2
44.5	    2
45.5	    2
46.7	    2
47.4	    2
47.6	    2
48.3	    2
48.5	    2
48.6	    2
50.2	    2
50.3	    2
51.3	    2
52.5	    2
52.7	    2
53.5	    2
57.5	    2
61.8	    2
63.3	    2
63.7	    2
64.7	    2
66.3	    2
68.4	    2
73	    2
75	    2
84	    2
101	    1
10.6	    1
10.7	    1
136	    1
13.6	    1
137	    1
14.5	    1
146	    1
16.3	    1
16.6	    1
16.8	    1
17.3	    1
17.5	    1
17.6	    1
18.5	    1
19.2	    1
19.7	    1
20.9	    1
21.5	    1
22.1	    1
22.4	    1
22.5	    1
22.7	    1
23.3	    1
23.4	    1
24.6	    1
24.7	    1
24.8	    1
24.9	    1
26.2	    1
26.5	    1
26.7	    1
27.2	    1
28.5	    1
29.2	    1
29.3	    1
29.5	    1
29.7	    1
29.8	    1
30.1	    1
31.3	    1
31.5	    1
32.7	    1
32.9	    1
33.2	    1
33.3	    1
33.5	    1
35.3	    1
35.4	    1
35.5	    1
36.2	    1
37.1	    1
38.4	    1
39.2	    1
39.3	    1
39.6	    1
4	    1
41.3	    1
42.2	    1
42.4	    1
42.6	    1
43.3	    1
44.2	    1
44.6	    1
44.7	    1
45.7	    1
45.9	    1
46.2	    1
46.3	    1
47.1	    1
47.8	    1
47.9	    1
48.9	    1
49.1	    1
49.6	    1
49.8	    1
50.4	    1
50.6	    1
50.9	    1
52.1	    1
52.3	    1
52.8	    1
53.2	    1
53.3	    1
54.2	    1
54.3	    1
54.6	    1
5.5	    1
55.2	    1
55.3	    1
56.4	    1
56.5	    1
57.3	    1
57.4	    1
57.7	    1
59.2	    1
60.3	    1
60.5	    1
60.8	    1
61.3	    1
61.7	    1
62.3	    1
62.5	    1
62.8	    1
63.8	    1
64.2	    1
64.3	    1
65.3	    1
66.7	    1
66.8	    1
67.2	    1
67.4	    1
67.5	    1
68.2	    1
68.3	    1
69.2	    1
70.5	    1
70.8	    1
71.5	    1
72	    1
72.5	    1
73.4	    1
73.8	    1
75.5	    1
76	    1
76.3	    1
76.5	    1
80	    1
81	    1
83	    1
90.5	    1
92	    1
96.5	    1
97	    1
