"","publisher","n"
"1","G. W. Londicer",1829
"2",NA,1463
"3","J. C. Frenckell",1316
"4","Frenckellianis",1185
"5","C. A. Londicer",484
"6","Johan Winter",375
"7","Johan Larsson Wall",276
"8","Peter Hansson",262
"9","Joh. Christoph. Frenckell",248
"10","debat Petrus Wald, Acad. typogr",213
"11","Kongl. tryckeriet",204
"12","& typogr. reg. magn. duc. Finland. Jacob Merckell",202
"13","J. C. Frenckells änka",186
"14","G. W. Londicers änka",181
"15","Johan Christopher Frenckell",154
"16","Frenckell",132
"17","Johan Wall",112
"18","Frenckelliorum",108
"19","sa a^ Petro Hansonio Acad. typ",108
"20"," Jo. Wal",105
"21","in officina Frenckelliana",105
"22","Frenckellska boktryckeriet",103
"23","J. Merckell",87
"24","präntätty Kuningallisesa suomalaisesa präntisä",85
"25"," apud Joh. L. Wallium, A. t",82
"26","Frenckellin kirjan-prändisä",80
"27","Georg Wilhelm Londicer",80
"28","Lars Salvius",76
"29","Johannis Christophori Frenckell",75
"30","J. Kämpe",74
"31","Joh. Kiämpe, Kongl. acad. boktr",74
"32","Johan Kämpe",67
"33","H. C. Merckell",62
"34"," apud Jo. Wallium",61
"35","Johannes Christophorus Frenckell",57
"36","Petrus Wald, Acad. typog",55
"37","apud Reg. Acad. typ. J. C. Frenckell",55
"38","Jacob Merckell",53
"39","Joh. Kiämpe Kongl. acad. boktr",52
"40","a^ Petro Hansonio Acad. typ",49
"41","J. Wall",46
"42","Petrus Wald, Acad. typogr",46
"43","Joh. C. Frenckell",44
"44","Joh. Kaempe, Reg. Acad. typ",44
"45","directeurildä ja cuning:da kirjan-präntäjäldä suuresa-ruhtinan-maasa Suuomesa, Jacob Merckellildä",44
"46","Joh. Kiaempe, Reg. Acad. typ",42
"47","Johan Christopher Frenckellildä",41
"48","Georg Wilhelm Londicerildä",40
"49","Joh. Kiaempe, Reg. Acad. typogr",40
"50","Cuning:sesa suomalaisesa präntisä",38
"51","J. H. Werner",38
"52","P. Momma",38
"53","literis Wernerianis",38
"54","debat Petrus Wald Acad. typogr",37
"55","directeuren och kongl. boktr. i stor-förstendömet Finland, Jacob Merckell",37
"56","prändätty, directeurildä ja cuningalliselda kirjan präntäjäldä, Jacob Merckellildä",36
"57"," Joh. Kiämpe, R. Ac. typ",35
"58"," apud Joh. Wallium, A. t",35
"59","Joh. Kiaempe, Reg. Ac. typ",34
"60","af Iohan Winter, kongl. booktr",34
"61","Johan Christofer Frenckell II",33
"62","Kuningallisesa suomalaisesa prändisä",33
"63","Kuningallisesa suomalaisesa präntisä",31
"64","kongl. tryckeriet",31
"65","och kongl. boktr. i stor-förstendömet Finland, Jacob Merckell",31
"66"," apud Jo. Laurentii Wallium",30
"67","Edmannianis",30
"68","Johan Christoph. Frenckell",30
"69","debat Petrus Hansonius Acad. typ",30
"70","debat Petrus Wald, Acad. typog",30
"71","sa a^ Petro Hansonio Acad. typogr",30
"72","tekijä",30
"73","Joh. Christoph. Frenckellildä",29
"74","Londicer",29
"75","Pec<U+030C>atan' pri Admiraltejskoj Kollegi¨i v' Tipografi¨i morskago s<U+030C>la^hetnago kadetskago Korpusa",29
"76","Petrus Wald, Acad. typ",29
"77","directeuren och kongl. boktryckaren i stor-förstendömet Finland, Jacob Merckell",29
"78","Anders Björkman",28
"79","J. C. Frenckell & son",28
"80","Joh. Kaempe, Reg. Acad. typogr",28
"81","präntätty Kuning:sesa suomalaisesa präntisä, direktörin Johan A. Carlbohmin tykönä",28
"82","Erik Flodström",27
"83","Peter Jöransson Nyström",27
