"","publisher","n"
"1",NA,10030
"2","WSOY",2920
"3","Otava",2177
"4","G. W. Londicer",1830
"5","Tekijä",1688
"6","J. C. Frenckell",1330
"7","Söderström",1190
"8","Frenckellianis",1185
"9","Edlund",985
"10","G. W. Edlund",901
"11","Karisto",663
"12","Suomalaisen Kirjallisuuden Seura",649
"13","Förf",524
"14","C. A. Londicer",486
"15","Raittiuden ystävät",455
"16","Yrjö Weilin",437
"17","Gummerus",432
"18","Weilin & Göös",431
"19","Frenckell",391
"20","Johan Winter",377
"21","Kansanvalistusseura",331
"22","Johan Larsson Wall",276
"23","Kansanvalistus-seura",274
"24","Peter Hansson",263
"25","Isak Julin",249
"26","Joh. Christoph. Frenckell",248
"27","Wile´n",246
"28","Författare",243
"29","Senaten",232
"30","Helios",230
"31","Holm",228
"32","K. E. Holm",225
"33","Suomen lähetysseura",225
"34","Kirja",215
"35","debat Petrus Wald, Acad. typogr",214
"36","Kongl. tryckeriet",204
"37","& typogr. reg. magn. duc. Finland. Jacob Merckell",202
"38","Schildt",187
"39","J. C. Frenckells änka",186
"40","G. W. Londicers änka",181
"41","Suomen luth. evank.-yhdistys",175
"42","Sällskapet för Finlands geografi",175
"43","Bonnier",173
"44","Hagelberg",170
"45","Finska Vetenskapssocieteten",167
"46","Clouberg",161
"47","Johan Christopher Frenckell",154
"48","Svenska litteratursällskapet i Finland",149
"49","W. Toivonen",145
"50","Universitet",125
"51","Werner Söderström",116
"52","Johan Wall",112
"53","Kansa",112
"54","Otto Andersin",111
"55","KS",110
"56","Lutherska Evangeliföreningen",109
"57","Frenckelliorum",108
"58","G. W. Wile´n",108
"59","sa a^ Petro Hansonio Acad. typ",108
"60","Valistus",106
"61"," Jo. Wal",105
"62","in officina Frenckelliana",105
"63","Frenckellska boktryckeriet",103
"64","Suomalainen Tiedeakatemia",100
"65","Teosofinen kirjakauppa",99
"66","Societatis pro fauna et flora Fennica",95
"67","Kuopion uusi kirjapaino",93
"68","Pellervo",92
"69","U. W. Tele´n & C:o",92
"70","Edlundska bokhandeln, distr",91
"71","Lilius & Hertzberg",91
"72","Suomentaja",89
"73","J. Merckell",88
"74","Societas pro fauna et flora Fennica",87
"75","Sortavalan evank. seura",87
"76","Voen. Top. Depo",87
"77","Suomalainen tiedeakatemia",86
"78","präntätty Kuningallisesa suomalaisesa präntisä",85
"79","Kustannusoy. Kirja",83
"80"," apud Joh. L. Wallium, A. t",82
"81","Edlundska Bokhandeln, distr",81
"82","Frenckellin kirjan-prändisä",81
"83","Georg Wilhelm Londicer",81
"84","Societas geographica Fenniae",80
"85","Beijer",79
"86","Toimittaja",79
"87","Karjalan kirjakauppa",78
"88","Suomen Historiallinen seura",77
"89","Lars Salvius",76
"90","Johannis Christophori Frenckell",75
"91","Weilin ja Göös",75
"92","J. Kämpe",74
"93","Joh. Kiämpe, Kongl. acad. boktr",74
"94","Tele´n",73
"95","Vihtori Kosonen",72
"96","Nya Pressen",71
"97","Suomen merimieslähetysseura",71
"98","Johan Kämpe",70
"99","Suomalais-amerikkalainen kustannusyhtiö",70
"100","Rauman kirjapaino-osakeyhtiö",68
"101","Suomalaisen Kirjallisuuden seura",68
"102","W. Hagelstam",68
"103","Finska Litteratur-sällskapets tryckeri",67
