"publication_place","country","longitude","latitude","chosen_id"
"Leyden","Netherlands",4.5,52.15,"<http://vocab.getty.edu/tgn/7006809>"
"Groningen","Netherlands",6.56666666666667,53.2166666666667,"<http://dbpedia.org/resource/Groningen>"
"Leeuwarden","Netherlands",5.783333333,53.2,"<http://www.wikidata.org/entity/Q25390>"
"Deventer","Netherlands",6.16,52.251111111,"<http://www.wikidata.org/entity/Q26296883>"
"Harlem","Netherlands",4.65,52.366667,"<http://vocab.getty.edu/tgn/7007048>"
"Arnhem","Netherlands",5.916667,51.983333,"<http://vocab.getty.edu/tgn/7006876>"
"Harderwijk","Netherlands",5.61666666666667,52.35,"<http://dbpedia.org/resource/Harderwijk>"
"Gent","Belgium",3.716667,51.05,"<http://vocab.getty.edu/tgn/7007887>"
"Gouda","Netherlands",4.70833,52.01667,"<http://www.wikidata.org/entity/Q33439340>"
"Den Haag","Netherlands",4.3,52.083333,"<http://vocab.getty.edu/tgn/7006810>"
"Brussel","Belgium",4.333333,50.833333,"<http://vocab.getty.edu/tgn/7007868>"
"Hoorn","Netherlands",5.066667,52.65,"<http://vocab.getty.edu/tgn/7007056>"
"Zwolle","Netherlands",6.09444,52.5125,"<http://www.wikidata.org/entity/Q13189044>"
"Alkmaar","Netherlands",4.75,52.633333,"<http://vocab.getty.edu/tgn/7007057>"
"Franeker","Netherlands",5.53333333333333,53.2,"<http://dbpedia.org/resource/Franeker>"
"Nijmegen","Netherlands",5.85278,51.8425,"<http://www.wikidata.org/entity/Q33467482>"
"Mechelen","Belgium",4.479538888,51.027419444,"<http://www.wikidata.org/entity/Q21765751>"
"Maastricht","Netherlands",5.68333333333333,50.85,"<http://dbpedia.org/resource/Maastricht>"
"Kampen","Netherlands",5.916667,52.55,"<http://vocab.getty.edu/tgn/7006948>"
"Gorinchem","Netherlands",4.97243,51.83652,"<http://www.wikidata.org/entity/Q33439227>"
"Harlingen","Germany",6.65,49.416667,"<http://vocab.getty.edu/tgn/7169045>"
"Vlissingen","Netherlands",3.57361,51.4425,"<http://www.wikidata.org/entity/Q33512335>"
"Bologna","Italy",11.351,44.507,"<http://vocab.getty.edu/tgn/7004847>"
"Zutphen","Netherlands",6.2,52.1333333333333,"<http://dbpedia.org/resource/Zutphen>"
"Schiedam","Netherlands",4.4,51.916667,"<http://vocab.getty.edu/tgn/7006800>"
"Amersfoort","Netherlands",5.38333333333333,52.15,"<http://dbpedia.org/resource/Amersfoort>"
"Breda","Netherlands",4.783333333,51.583333333,"<http://www.wikidata.org/entity/Q40844>"
"Goes","Netherlands",3.883333333,51.5,"<http://www.wikidata.org/entity/Q81220>"
"Embden","Germany",10.35,53.183333,"<http://vocab.getty.edu/tgn/7188823>"
"Rostock","Germany",12.133333,54.083333,"<http://vocab.getty.edu/tgn/7004717>"
"Zaandam","Netherlands",4.842222222,52.441666666,"<http://www.wikidata.org/entity/Q211260>"
"Colombo","Sri Lanka",79.8427777777778,6.93444444444444,"<http://dbpedia.org/resource/Colombo>"
"Holland","Netherlands",5.15,51.366667,"<http://vocab.getty.edu/tgn/7263522>"
"Mons","Belgium",3.95,50.45,"<http://dbpedia.org/resource/Mons>"
"Nancy","France",6.1846,48.6936,"<http://dbpedia.org/resource/Nancy,_France>"
"Paramaribo","Suriname",-55.166666666,5.866666666,"<http://www.wikidata.org/entity/Q3001>"
"Cleve","Germany",6.15,51.783333,"<http://vocab.getty.edu/tgn/7012313>"
"Altona","Germany",11.433333,53.233333,"<http://vocab.getty.edu/tgn/7060796>"
"Bremen","Germany",8.8,53.083333,"<http://vocab.getty.edu/tgn/7005286>"
"Harlingen","Netherlands",5.416667,53.183333,"<http://vocab.getty.edu/tgn/7007015>"
"Stockholm","Sweden",18.0686111111111,59.3294444444444,"<http://dbpedia.org/resource/Stockholm>"
"Villefranche","France",2.947179,48.246273,"<http://vocab.getty.edu/tgn/7601392>"
"Bergen","Norway",5.33,60.3894444444444,"<http://dbpedia.org/resource/Bergen>"
"Düsseldorf","Germany",6.766667,51.216667,"<http://vocab.getty.edu/tgn/7004443>"
"Grenoble","France",5.726388888,45.186944444,"<http://www.wikidata.org/entity/Q1289>"
"Sedan","France",4.9411,49.7025,"<http://dbpedia.org/resource/Sedan,_Ardennes>"
"Luxembourg","Luxembourg",6.1333,49.6167,"<http://vocab.getty.edu/tgn/7006254>"
"Trier","Germany",6.63333333333333,49.75,"<http://dbpedia.org/resource/Trier>"
"Barby","England",-1.2,52.316667,"<http://vocab.getty.edu/tgn/7030766>"
"Lille","France",3.0575,50.631944444,"<http://www.wikidata.org/entity/Q648>"
"Madrid","Spain",-3.683333,40.4,"<http://vocab.getty.edu/tgn/7010413>"
"Parma","Italy",10.333333,44.8,"<http://vocab.getty.edu/tgn/7004942>"
"Prague","Czechia",14.4333,50.1,"<http://vocab.getty.edu/tgn/7006464>"
"Wittenberg","Germany",12.65,51.8833,"<http://vocab.getty.edu/tgn/7012349>"
"Arras","France",2.780306,50.291799,"<http://vocab.getty.edu/tgn/7008468>"
"Aurich","Germany",7.483611111,53.471388888,"<http://www.wikidata.org/entity/Q14839>"
"Avignon","France",4.808333333,43.948611111,"<http://www.wikidata.org/entity/Q6397>"
"Danzig","Poland",18.6833,54.3667,"<http://vocab.getty.edu/tgn/7007660>"
"Duisburg","Germany",6.761111111,51.432222222,"<http://www.wikidata.org/entity/Q2100>"
"Erfurt","Germany",11.033333,50.983333,"<http://vocab.getty.edu/tgn/7024031>"
"Freiburg","Germany",7.85,48,"<http://vocab.getty.edu/tgn/7004423>"
"Herford","Germany",8.683333,52.133333,"<http://vocab.getty.edu/tgn/7012503>"
"La Rochelle","France",-1.151388888,46.159444444,"<http://www.wikidata.org/entity/Q82185>"
"Lion","France",3.703194,48.522784,"<http://vocab.getty.edu/tgn/7629930>"
