name;synonyme
Aabenraa;Aabenraa
Aalborg;Aalborg
à amsterdam;Amsterdam
A_ Amsterdam;Amsterdam
Aarhus;Aarhus
aarhus;Århus
abae sic;Turku
Abae sic;Turku
åbae !;Turku
Åbae !;Turku
à berlin;Berlin
a_ Berlin;Berlin
aboae fennorum;Turku
aboae ime;Turku
aboae impensis autoris;Turku
Aboae impensis autoris;Turku
Aboae meime;Turku
aboae;Turku
abóa turku;Turku
aboâ turku;Turku
Abo_a Turku;Turku
Aboa_ Turku;Turku
abo sic;Turku
Abo sic;Turku
Åbo sic;Turku
abost;Turku
Abost;Turku
abo !;Turku
Abo !;Turku
åbo;Turku
åco sic;Turku
adoae po aboae;Turku
Adoae po Aboae;Turku
Af Åbo;Turku
Aff vthgöngit i Åbo;Turku
åggelby;Åggelby
Åggelby;Helsinki
Ågggelby;Helsinki
Agnifitiae;NA
Akureyri;Akureyri
ala tornio;Alatornio
Ala Tornio;Tornio
Alfeld Leine;Alfend
Almena WI;Almena WI
Altdorf;Altdorf
Alten Stetin;Altenstein
Alten Stettin;Altenstein
amersfoort;Amersfoort
Amersfoort;Amersfoort
amstelaedami;Amsterdam
Amstelaedami;Amsterdam
Amsteldam et a Leipzig;Amsterdam
amstelodami;Amsterdam
Amstelodami;Amsterdam
Amsterdam;Amsterdam
Amsterdam et a Leipzig;Amsterdam
Ancova;NA
anttola;Anttola
Anttola;Anttola
Anvers;Antwerpen
ånyo stockholm;Stockholm
åpo;Turku
Arezzo;Arezzo
Argentorati;Strasbourg
Arhangel'sk';Archangelsk
Arhangel'sk'';Archangelsk
Arhangelsk;Archangelsk
Armollisimman käskyn jälken Rigasa;Riga
arnstadt;Arnstadt
Arnstadt;Arnstadt
Ashtabula OH;Ashtabula OH
Askersundiae;Askersund
Astoria OR;Astoria OR
Auctoritate Regia Privilegialis Holmiae;Stockholm
Augsburg;Augsburg
Augustae Vindel Augsburg;Augsburg
Barcelona;Barcelona
Basel;Basel
B borg;NA
Bennäs;Pännäinen
Bergen;Bergen
Berliini;Berlin
berlin';Berlin
berlin' berlin;Berlin
Berlin' Berlin;Berlin
berlin charlottenburg;Berlin
Berlin Charlottenburg;Berlin
berlin grunewald;Berlin
Berlin Grunewald;Berlin
berlin und stettin;Berlin
Berlin und Stettin;Berlin
Bern;Bern
Berttula;NA
bielefeld;Bielefeld
Bielefeld;Bielefeld
billnäs;Billnäs
Billnäs;Billnäs
Birmingham;Birmingham
björkboda;Björkboda
Björkboda;Björkboda
Bonn;Bonn
Borgosa;NA
borgosa;Porvoo
Boston MA;Boston MA
brahestad;Brahe
Brahestad;Raahe
brahestads;Brahe
Brahestads;Raahe
brändö;Brändö
Brändö;Brändö
Braunschweig;Braunschweig
Bremae;Bremen
Breslau;Breslau
Bridgeport CT;Bridgeport CT
brisbane;Brisbane
Brisbane;Brisbane
Bronx NY;New York NY
brooklyn ny;Brooklyn
brooklyn n y;New York NY
Brooklyn NY;New York NY
Bru_nn;Bru_nn
Brussels;Brussels
Brvnsbergae;Braniewo
Brvnsvigae;Braniewo
brvnsvigae;Brunnsvik
b'' sanktpeterburgê;Saint Petersbourg
B'' Sanktpeterburge_;Saint Petersburg
Budapest;Budapest
buenos aires;Buenos Aires
Buenos Aires;Buenos Aires
Burgo Sancti Petri;Saint Petersburg
b viipurin läänin maatalouskomisioni;Viipuri
b Viipurin läänin maatalouskomisioni;Viipuri
Calcutta;Calcutta
Calumet MI;Calumet MI
Cambridge;Cambridge
carlstad;Carlstad
Carlstad;Carlstad
Cassel;Cassel
chicago il;Chicago
Chicago IL;Chicago IL
chicago ill;Chicago
chigaco ill;Chicago
Chisholm MN;Chisholm MN
christianstad;Christianstad
Christianstad;Copenhagen
Cincinnati OH;Cincinnati OH
Clear Creek Utah;Clear Creek UT
Cleveland OH;Cleveland OH
dantzig;Dantzig
Dantzig;Dantzig
der königlichen Heubtstadt Stockholm;
Dessau;Dessau
Deutschland Stralsund;Stralsund
Dieren;Dieren
dordrecht;Dordrecht
Dordrecht;Dordrecht
Dorpati Livonu_m;Tartu
Dorpato Pernaviam translatae;Tartu
dorp;Dorp
Dorp;Tartu
Dorpt i Lieflandh;Tartu
Dorpt;Tartu
Dörpt;Tartu
Dresden;Dresden
Duluth MN;Duluth MN
Edinburgh;Edinburgh
Edita Wittebergae;Wittenberg
elbingen;Elbingen
Elbingen;Elbingen
Ely MI;Ely MI
Ely Minn;Ely MI
Enare;Inari
enthlímmenon en abóe;Turku
Enthli_mmenon en Abo_e;Turku
Erffurt;Erfurt
Erfurt;Erfurt
Erlangen;Erlangen
Espoo;Espoo
Eura;Eura
Eveleth Minnesota;Eveleth MI
Exeter;Exeter
Falun;Falun
Firenze;Firenze
Fitchburg MA;Fitchburg MA
fitchburg mass;Fitchburg MA
Folkhögskolan Breidablick;NA
Forssa;Forssa
Förut Stockholm och ö nyo uplagd i Åbo;Stockholm
Francfort et Leipzig;Leipzig
Franc fort Leipzig;Leipzig
franckfurth;Frankfurt
Franckfurth;Frankfurt
francofurti;Frankfurt
Francofurti;Frankfurt
francofvrti;Frankfurt
Francofvrti;Frankfurt
frankfurt a/m;Frankfurt
Frankfurt a/M;Frankfurt
frankfurt am main;Frankfurt
Frankfurt am Main;Frankfurt
Frankfurt;Frankfurt
Frankfurt und Leipzig;Frankfurt
Freiburg im Breisgau;Freiburg im Breisgau
Freiburg in Baden;Freiburg im Breisgau
Fridrihsgamn';Hamina
Fu_rth;Fu_rth
Gamburg';Gamburg
gamburg';Hamburg
Gedrukkt Azu bo sic;NA
Gefle;Gefle
genève;Geneve
Gene_ve;Gene_ve
Gera;Gera
g gel'singfors';Helsinki
G Gel'singfors';Helsinki
Giessen;Giessen
giöthebörisa ruotzin kielen eric stackbergildä mutta palkan edestä suomexi turusa;Turku
Giöthebörisa ruotzin kielen Eric Stackbergildä Mutta palkan edestä suomexi Turusa;Turku
godby åland;Godby
Göteborg;Gothenburg
Gotha;Gotha
götheborg;Gothenburg
Göttingen;Göttingen
Göttingen und Gotha;Göttingen
Grand Rapids Mich;Grand Rapids MI
Greifswald;Greifswald
Gu_tersloh;Gu_tersloh
haag;The Hague
Haag;The Hague
haapajärvi;Haapajärvi
Haapajärvi;Haapajärvi
Haaparanta;Haaparanta
Haarlem;Haarlem
Haderslev;Haderslev
Hafniae;Copenhagen
Halberstadtiae;Halberstadt
Halle a d Saale;Halle
Halle a S;Halle
Halle a/S;Halle
Halle;Halle
hamburgi;Hamburg
hämeenkyrö;Hämeenkyrö
Hämeenkyrö;Hämeenkyrö
Hämeenlinna;Hämeenlinna
Hamina;Hamina
Hampuri;Hampuri
hancockissa mich;Hancock
Hancock MI;Hancock MI
Hanko;Hanko
Hankoniemi;Hanko
hankoniemi;Hankoniemi
Hanna Wyo;Hanna WY
Hannover;Hannover
Harbor;Harbor OH
Harbor OH;Harbor OH
harjavallassa;Harjavalta
Harjavallassa;Harjavalta
Har'kov';Kharkiv
Härnösand;Härnösand
Haukilahti;Espoo
haukilahti;Haukilahti
Hauniae;Haunia
Heidelberg;Heidelberg
heilbronn;Heilbronn
Heilbronn;Heilbronn
heinävesi;Heinävesi
Heinävesi;Heinävesi
heinjoki;Heinäjoki
Heinjoki;Heinjoki
Heinola;Heinola
Helmaestadii;Helmstedt
Helmstadii;Helmstedt
helsingborg;Helsingborg
Helsingborg;Helsingborg
helsingfors helsingissä;Helsinki
Helsingfors Helsingissä;Helsinki
helsingforsiae;Helsinki
Helsingforsiae;Helsinki
helsingforsiæ;Helsinki
helsingi linnas;Helsinki
Helsingi linnas;Helsinki
helsingin kaupungisa;Helsinki
Helsingin kaupungisa;Helsinki
helsingissä helsingfors;Helsinki
Helsingissä Helsingfors;Helsinki
helsingofrs;Helsinki
Helsingofrs;Helsinki
helsingör;Helsingör
Helsingör;Helsinki
helsinki b frenckell;Helsinki
Helsinki b Frenckell;Helsinki
helsinki frenckell;Helsinki
Helsinki Frenckell;Helsinki
Helsinki;Helsinki
helsinki k e holm;Helsinki
Helsinki K E Holm;Helsinki
helsinki otava;Helsinki
Helsinki Otava;Helsinki
helsinki simelius;Helsinki
Helsinki Simelius;Helsinki
hinnerjoki;Hinnerjoki
Hinnerjoki;Hinnerjoki
hirvensalmi;Hirvensalmi
Hirvensalmi;Hirvensalmi
Höllas;Halle
Holmiae recusa;Stockholm
Holmiae Sueonum;Stockholm
Holmiae Svecorum;Stockholm
Holmiae Sveonum;Stockholm
Holmi_as;Stockholm
Holmis;Stockholm
Houghton Mich;Houghton MI
Houghton MI;Houghton MI
Hull;Hull
Huopalahti;Huopalahti
hvitträsk;Hvitträsk
Hvitträsk;Hvitträsk
Hyvinkää;Hyvinkää
Iisalmi;Iisalmi
ikaalinen;Ikaalinen
Ikaalinen;Ikaalinen
ilmajoki;Ilmajoki
Ilmajoki;Ilmajoki
Imatra;Imatra
imè a abo;Turku
ime à åbo;Turku
ime a stockholm
ime á stockholm
impilahti;Impilahti
Impilahti;Impilahti
ingå;Inkoo
Ingö;Inkoo
Ingressu Aboae;Turku
Inkerinmaalla;Inkeri
inkerinmaalla;Inkerinmaa
Ironwood MI;Ironwood MI
I_safjördur;I_safjördur
Ishpeming MI;Ishpeming MI
Isokyrö;Isokyrö
jaakkima;Jaakkima
Jaakkima;Jaakkima
Jääski;Jääski
Jacobson Minn;Jacobson MI
Ja kolmanen kerran Turusa;Turku
jalasjärvi;Jalasjärvi
Jalasjärvi;Jalasjärvi
jämsä;Jämsä
Jämsä;Jämsä
janakkala;Janakkala
Janakkala;Janakkala
